"e11103","year","bildungsniveau","migback","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Vollzeit","1984","(noch) kein Abschluss","kein Migrationshintergrund","22","","",""
"Vollzeit","1984","(noch) kein Abschluss","direkter Migrationshintergrund","550","0.48960069116618","0.459219312946767","0.519982069385593"
"Vollzeit","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","3","","",""
"Vollzeit","1984","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Vollzeit","1984","Hauptschule","kein Migrationshintergrund","2241","0.382053735761768","0.369152620126606","0.39495485139693"
"Vollzeit","1984","Hauptschule","direkter Migrationshintergrund","1044","0.532039671285366","0.508506608735167","0.555572733835564"
"Vollzeit","1984","Hauptschule","indirekter Migrationshintergrund","37","0.474546403484402","0.359996905933175","0.58909590103563"
"Vollzeit","1984","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Vollzeit","1984","Realschule","kein Migrationshintergrund","842","0.467606030312344","0.444012489282977","0.49119957134171"
"Vollzeit","1984","Realschule","direkter Migrationshintergrund","49","0.337071673867616","0.258487497108365","0.415655850626867"
"Vollzeit","1984","Realschule","indirekter Migrationshintergrund","9","","",""
"Vollzeit","1984","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Vollzeit","1984","(Fach-)Abitur","kein Migrationshintergrund","185","0.314546478744347","0.277047290770709","0.352045666717985"
"Vollzeit","1984","(Fach-)Abitur","direkter Migrationshintergrund","138","0.3991445999608","0.340945837171666","0.457343362749934"
"Vollzeit","1984","(Fach-)Abitur","indirekter Migrationshintergrund","2","","",""
"Vollzeit","1984","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Vollzeit","1984","AkademikerIn","kein Migrationshintergrund","398","0.579751780032209","0.542264410861637","0.61723914920278"
"Vollzeit","1984","AkademikerIn","direkter Migrationshintergrund","66","0.498660867234263","0.409571914733696","0.587749819734831"
"Vollzeit","1984","AkademikerIn","indirekter Migrationshintergrund","1","","",""
"Vollzeit","1984","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1984","(noch) kein Abschluss","kein Migrationshintergrund","15","","",""
"Teilzeit","1984","(noch) kein Abschluss","direkter Migrationshintergrund","115","0.127772241608725","0.107483055292127","0.148061427925324"
"Teilzeit","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","1","","",""
"Teilzeit","1984","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1984","Hauptschule","kein Migrationshintergrund","807","0.139146543150947","0.129957072147727","0.148336014154167"
"Teilzeit","1984","Hauptschule","direkter Migrationshintergrund","248","0.150002205363662","0.133161524582368","0.166842886144955"
