year,age_gr,sampreg,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,West,Full Time,0.45735,1568,3442,0.44070,0.47399
1984,17-29 y.,West,Part Time,0.20449,664,3442,0.19101,0.21796
1984,17-29 y.,West,Not Working,0.33817,1210,3442,0.32236,0.35397
1984,30-45 y.,West,Full Time,0.57213,2269,3906,0.55662,0.58765
1984,30-45 y.,West,Part Time,0.19222,707,3906,0.17986,0.20458
1984,30-45 y.,West,Not Working,0.23564,930,3906,0.22233,0.24895
1984,46-65 y.,West,Full Time,0.45357,1770,3556,0.43720,0.46993
1984,46-65 y.,West,Part Time,0.14158,475,3556,0.13012,0.15304
1984,46-65 y.,West,Not Working,0.40485,1311,3556,0.38872,0.42099
1984,66 and older,West,Part Time,0.03166,42,1245,0.02193,0.04139
1984,66 and older,West,Not Working,0.95497,1203,1245,0.94344,0.96649
1985,17-29 y.,West,Full Time,0.44607,1354,3140,0.42868,0.46346
1985,17-29 y.,West,Part Time,0.22296,681,3140,0.20840,0.23752
1985,17-29 y.,West,Not Working,0.33096,1105,3140,0.31450,0.34743
1985,30-45 y.,West,Full Time,0.56225,1969,3475,0.54575,0.57875
1985,30-45 y.,West,Part Time,0.21472,687,3475,0.20107,0.22838
1985,30-45 y.,West,Not Working,0.22303,819,3475,0.20919,0.23687
1985,46-65 y.,West,Full Time,0.44324,1607,3304,0.42630,0.46018
1985,46-65 y.,West,Part Time,0.14767,465,3304,0.13557,0.15977
1985,46-65 y.,West,Not Working,0.40909,1232,3304,0.39232,0.42586
1985,66 and older,West,Not Working,0.96512,1062,1062,0.95408,0.97616
1986,17-29 y.,West,Full Time,0.46614,1372,3057,0.44845,0.48383
1986,17-29 y.,West,Part Time,0.23136,680,3057,0.21641,0.24631
1986,17-29 y.,West,Not Working,0.30250,1005,3057,0.28622,0.31879
1986,30-45 y.,West,Full Time,0.56860,1860,3269,0.55162,0.58558
1986,30-45 y.,West,Part Time,0.21293,653,3269,0.19890,0.22697
1986,30-45 y.,West,Not Working,0.21847,756,3269,0.20430,0.23263
1986,46-65 y.,West,Full Time,0.45187,1589,3228,0.43470,0.46904
1986,46-65 y.,West,Part Time,0.14476,462,3228,0.13262,0.15690
1986,46-65 y.,West,Not Working,0.40337,1177,3228,0.38645,0.42030
1986,66 and older,West,Not Working,0.96689,989,989,0.95573,0.97805
1987,17-29 y.,West,Full Time,0.49225,1401,3011,0.47439,0.51011
1987,17-29 y.,West,Part Time,0.25296,716,3011,0.23743,0.26849
1987,17-29 y.,West,Not Working,0.25479,894,3011,0.23923,0.27036
1987,30-45 y.,West,Full Time,0.59211,1857,3168,0.57500,0.60923
1987,30-45 y.,West,Part Time,0.19966,606,3168,0.18573,0.21358
1987,30-45 y.,West,Not Working,0.20823,705,3168,0.19409,0.22237
1987,46-65 y.,West,Full Time,0.45840,1595,3208,0.44116,0.47565
1987,46-65 y.,West,Part Time,0.15370,461,3208,0.14122,0.16618
1987,46-65 y.,West,Not Working,0.38790,1152,3208,0.37104,0.40477
1987,66 and older,West,Not Working,0.96670,1024,1024,0.95571,0.97770
1988,17-29 y.,West,Full Time,0.48863,1355,2873,0.47035,0.50691
1988,17-29 y.,West,Part Time,0.24429,672,2873,0.22857,0.26000
1988,17-29 y.,West,Not Working,0.26709,846,2873,0.25091,0.28327
1988,30-45 y.,West,Full Time,0.58358,1692,2952,0.56579,0.60136
1988,30-45 y.,West,Part Time,0.22317,643,2952,0.20815,0.23820
1988,30-45 y.,West,Not Working,0.19325,617,2952,0.17900,0.20750
1988,46-65 y.,West,Full Time,0.45797,1517,3111,0.44046,0.47549
1988,46-65 y.,West,Part Time,0.16562,498,3111,0.15255,0.17868
1988,46-65 y.,West,Not Working,0.37641,1096,3111,0.35938,0.39344
1988,66 and older,West,Part Time,0.02913,32,1020,0.01880,0.03946
1988,66 and older,West,Not Working,0.96059,988,1020,0.94864,0.97254
1989,17-29 y.,West,Full Time,0.49344,1386,2829,0.47502,0.51187
1989,17-29 y.,West,Part Time,0.22751,617,2829,0.21206,0.24296
1989,17-29 y.,West,Not Working,0.27905,826,2829,0.26252,0.29558
1989,30-45 y.,West,Full Time,0.60228,1670,2842,0.58428,0.62028
1989,30-45 y.,West,Part Time,0.20979,598,2842,0.19482,0.22476
1989,30-45 y.,West,Not Working,0.18793,574,2842,0.17357,0.20230
1989,46-65 y.,West,Full Time,0.46330,1466,2982,0.44540,0.48120
1989,46-65 y.,West,Part Time,0.16003,463,2982,0.14686,0.17319
1989,46-65 y.,West,Not Working,0.37668,1053,2982,0.35928,0.39407
1989,66 and older,West,Not Working,0.95881,964,964,0.94625,0.97136
1990,17-29 y.,West,Full Time,0.50680,1352,2717,0.48800,0.52560
1990,17-29 y.,West,Part Time,0.24012,621,2717,0.22406,0.25619
1990,17-29 y.,West,Not Working,0.25308,744,2717,0.23673,0.26943
1990,30-45 y.,West,Full Time,0.60493,1665,2792,0.58680,0.62307
1990,30-45 y.,West,Part Time,0.21595,594,2792,0.20068,0.23121
1990,30-45 y.,West,Not Working,0.17912,533,2792,0.16489,0.19334
1990,46-65 y.,West,Full Time,0.45954,1393,2914,0.44144,0.47764
1990,46-65 y.,West,Part Time,0.17215,481,2914,0.15844,0.18586
1990,46-65 y.,West,Not Working,0.36831,1040,2914,0.35080,0.38583
1990,66 and older,West,Not Working,0.96329,996,996,0.95161,0.97498
1991,17-29 y.,West,Full Time,0.50346,1345,2685,0.48454,0.52237
1991,17-29 y.,West,Part Time,0.23834,611,2685,0.22222,0.25446
1991,17-29 y.,West,Not Working,0.24823,729,2685,0.23189,0.26458
1991,30-45 y.,West,Full Time,0.60457,1688,2818,0.58651,0.62262
1991,30-45 y.,West,Part Time,0.22306,620,2818,0.20769,0.23843
1991,30-45 y.,West,Not Working,0.17053,510,2818,0.15664,0.18442
1991,46-65 y.,West,Full Time,0.46226,1374,2853,0.44396,0.48055
1991,46-65 y.,West,Part Time,0.18075,490,2853,0.16663,0.19488
1991,46-65 y.,West,Not Working,0.35605,989,2853,0.33848,0.37362
1991,66 and older,West,Part Time,0.02555,31,1044,0.01598,0.03513
1991,66 and older,West,Not Working,0.96806,1013,1044,0.95739,0.97874
1992,17-29 y.,West,Full Time,0.51253,1341,2661,0.49353,0.53152
1992,17-29 y.,West,Part Time,0.23015,591,2661,0.21415,0.24614
1992,17-29 y.,West,Not Working,0.25733,729,2661,0.24071,0.27394
1992,17-29 y.,East,Full Time,0.53887,475,914,0.50654,0.57121
1992,17-29 y.,East,Part Time,0.25299,222,914,0.22479,0.28119
1992,17-29 y.,East,Not Working,0.20814,217,914,0.18180,0.23447
1992,30-45 y.,West,Full Time,0.59949,1684,2825,0.58142,0.61756
1992,30-45 y.,West,Part Time,0.23876,655,2825,0.22304,0.25449
1992,30-45 y.,West,Not Working,0.16174,486,2825,0.14816,0.17533
1992,30-45 y.,East,Full Time,0.73050,1048,1436,0.70754,0.75345
1992,30-45 y.,East,Part Time,0.20829,303,1436,0.18727,0.22930
1992,30-45 y.,East,Not Working,0.06122,85,1436,0.04881,0.07362
1992,46-65 y.,West,Full Time,0.47000,1364,2797,0.45150,0.48850
1992,46-65 y.,West,Part Time,0.17636,473,2797,0.16223,0.19049
1992,46-65 y.,West,Not Working,0.35364,960,2797,0.33592,0.37136
1992,46-65 y.,East,Full Time,0.50792,655,1235,0.48002,0.53581
1992,46-65 y.,East,Part Time,0.18813,232,1235,0.16633,0.20994
1992,46-65 y.,East,Not Working,0.30395,348,1235,0.27829,0.32962
1992,66 and older,West,Not Working,0.97566,1028,1028,0.96624,0.98509
1992,66 and older,East,Not Working,0.97771,383,383,0.96290,0.99251
1993,17-29 y.,West,Full Time,0.50786,1308,2616,0.48870,0.52702
1993,17-29 y.,West,Part Time,0.23499,611,2616,0.21874,0.25124
1993,17-29 y.,West,Not Working,0.25715,697,2616,0.24040,0.27390
1993,17-29 y.,East,Full Time,0.48542,409,868,0.45215,0.51869
1993,17-29 y.,East,Part Time,0.24438,209,868,0.21578,0.27299
1993,17-29 y.,East,Not Working,0.27020,250,868,0.24064,0.29976
1993,30-45 y.,West,Full Time,0.59678,1668,2815,0.57865,0.61490
1993,30-45 y.,West,Part Time,0.24356,668,2815,0.22770,0.25942
1993,30-45 y.,West,Not Working,0.15966,479,2815,0.14612,0.17319
