year,quintil_oecd,sex,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,male,Full Time,0.37321,515,1101,0.34463,0.40179
1984,1st Quintile,male,Part Time,0.15053,164,1101,0.12940,0.17166
1984,1st Quintile,male,Not Working,0.47626,422,1101,0.44675,0.50578
1984,1st Quintile,female,Full Time,0.06787,125,1389,0.05464,0.08110
1984,1st Quintile,female,Part Time,0.11110,178,1389,0.09456,0.12763
1984,1st Quintile,female,Not Working,0.82103,1086,1389,0.80087,0.84120
1984,2nd Quintile,male,Full Time,0.58185,734,1124,0.55300,0.61070
1984,2nd Quintile,male,Part Time,0.11658,135,1124,0.09781,0.13535
1984,2nd Quintile,male,Not Working,0.30157,255,1124,0.27473,0.32841
1984,2nd Quintile,female,Full Time,0.13840,217,1275,0.11944,0.15736
1984,2nd Quintile,female,Part Time,0.18042,252,1275,0.15931,0.20154
1984,2nd Quintile,female,Not Working,0.68117,806,1275,0.65558,0.70676
1984,3rd Quintile,male,Full Time,0.63356,819,1188,0.60615,0.66097
1984,3rd Quintile,male,Part Time,0.11486,127,1188,0.09672,0.13300
1984,3rd Quintile,male,Not Working,0.25158,242,1188,0.22689,0.27626
1984,3rd Quintile,female,Full Time,0.20475,315,1167,0.18159,0.22791
1984,3rd Quintile,female,Part Time,0.21361,264,1167,0.19008,0.23713
1984,3rd Quintile,female,Not Working,0.58164,588,1167,0.55333,0.60995
1984,4th Quintile,male,Full Time,0.67755,931,1267,0.65180,0.70330
1984,4th Quintile,male,Part Time,0.09356,109,1267,0.07752,0.10960
1984,4th Quintile,male,Not Working,0.22889,227,1267,0.20575,0.25203
1984,4th Quintile,female,Full Time,0.30773,462,1218,0.28180,0.33366
1984,4th Quintile,female,Part Time,0.22591,279,1218,0.20242,0.24941
1984,4th Quintile,female,Not Working,0.46636,477,1218,0.43833,0.49439
1984,5th Quintile,male,Full Time,0.74787,990,1269,0.72397,0.77177
1984,5th Quintile,male,Part Time,0.08873,112,1269,0.07308,0.10438
1984,5th Quintile,male,Not Working,0.16340,167,1269,0.14305,0.18375
1984,5th Quintile,female,Full Time,0.41590,521,1150,0.38740,0.44440
1984,5th Quintile,female,Part Time,0.22434,268,1150,0.20022,0.24846
1984,5th Quintile,female,Not Working,0.35976,361,1150,0.33201,0.38751
1985,1st Quintile,male,Full Time,0.37730,463,1001,0.34726,0.40734
1985,1st Quintile,male,Part Time,0.15559,166,1001,0.13312,0.17805
1985,1st Quintile,male,Not Working,0.46711,372,1001,0.43619,0.49804
1985,1st Quintile,female,Full Time,0.07118,122,1256,0.05695,0.08541
1985,1st Quintile,female,Part Time,0.14872,197,1256,0.12903,0.16841
1985,1st Quintile,female,Not Working,0.78010,937,1256,0.75718,0.80301
