year,regtyp,sampreg,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,West,Full Time,0.34150,3944,8685,0.33152,0.35147
1985,Urban regions,West,Part Time,0.13688,1458,8685,0.12965,0.14411
1985,Urban regions,West,Not Working,0.36445,3283,8685,0.35433,0.37458
1985,Rural regions,West,Full Time,0.31515,1003,2341,0.29633,0.33398
1985,Rural regions,West,Part Time,0.13351,403,2341,0.11973,0.14729
1985,Rural regions,West,Not Working,0.37716,935,2341,0.35753,0.39680
1986,Urban regions,West,Full Time,0.34649,3836,8354,0.33628,0.35669
1986,Urban regions,West,Part Time,0.13425,1418,8354,0.12694,0.14157
1986,Urban regions,West,Not Working,0.36181,3100,8354,0.35150,0.37211
1986,Rural regions,West,Full Time,0.32809,999,2231,0.30860,0.34758
1986,Rural regions,West,Part Time,0.14261,405,2231,0.12810,0.15712
1986,Rural regions,West,Not Working,0.35122,827,2231,0.33141,0.37104
1987,Urban regions,West,Full Time,0.35694,3867,8248,0.34660,0.36728
1987,Urban regions,West,Part Time,0.13522,1387,8248,0.12784,0.14260
1987,Urban regions,West,Not Working,0.34961,2994,8248,0.33932,0.35990
1987,Rural regions,West,Full Time,0.33169,1004,2207,0.31204,0.35133
1987,Rural regions,West,Part Time,0.14811,422,2207,0.13329,0.16293
1987,Rural regions,West,Not Working,0.33515,781,2207,0.31545,0.35485
1988,Urban regions,West,Full Time,0.35552,3663,7907,0.34496,0.36607
1988,Urban regions,West,Part Time,0.14068,1414,7907,0.13302,0.14835
1988,Urban regions,West,Not Working,0.34555,2830,7907,0.33507,0.35603
1988,Rural regions,West,Full Time,0.32205,917,2065,0.30189,0.34220
1988,Rural regions,West,Part Time,0.16170,431,2065,0.14581,0.17758
1988,Rural regions,West,Not Working,0.33138,717,2065,0.31107,0.35168
1989,Urban regions,West,Full Time,0.36469,3645,7702,0.35394,0.37544
1989,Urban regions,West,Part Time,0.13498,1324,7702,0.12735,0.14261
1989,Urban regions,West,Not Working,0.34329,2733,7702,0.33268,0.35389
1989,Rural regions,West,Full Time,0.32821,894,1962,0.30742,0.34899
