year,pgisced97,quintil_oecd,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,2nd Quintile,Not Working,0.94677,45,45,0.88043,1.01310
1984,Pre-primary Level,3rd Quintile,Not Working,0.97985,33,33,0.93117,1.02854
1984,Pre-primary Level,4th Quintile,Not Working,0.89174,39,39,0.79295,0.99053
1984,Primary Level,1st Quintile,Full Time,0.19775,99,359,0.15649,0.23901
1984,Primary Level,1st Quintile,Part Time,0.12445,38,359,0.09026,0.15865
1984,Primary Level,1st Quintile,Not Working,0.67780,222,359,0.62939,0.72620
1984,Primary Level,2nd Quintile,Full Time,0.35058,106,236,0.28957,0.41158
1984,Primary Level,2nd Quintile,Part Time,0.20286,37,236,0.15144,0.25427
1984,Primary Level,2nd Quintile,Not Working,0.44657,93,236,0.38300,0.51013
1984,Primary Level,3rd Quintile,Full Time,0.60028,104,104,0.50568,0.69488
1984,Primary Level,4th Quintile,Full Time,0.58576,118,118,0.49650,0.67501
1984,Primary Level,5th Quintile,Full Time,0.80993,71,71,0.71801,0.90184
1984,Lower Secondary Level,1st Quintile,Full Time,0.11258,182,939,0.09235,0.13281
1984,Lower Secondary Level,1st Quintile,Part Time,0.10527,125,939,0.08563,0.12491
1984,Lower Secondary Level,1st Quintile,Not Working,0.78215,632,939,0.75574,0.80857
1984,Lower Secondary Level,2nd Quintile,Full Time,0.22663,262,828,0.19809,0.25516
1984,Lower Secondary Level,2nd Quintile,Part Time,0.14750,127,828,0.12333,0.17167
1984,Lower Secondary Level,2nd Quintile,Not Working,0.62587,439,828,0.59289,0.65885
1984,Lower Secondary Level,3rd Quintile,Full Time,0.27277,260,704,0.23985,0.30570
1984,Lower Secondary Level,3rd Quintile,Part Time,0.17168,119,704,0.14380,0.19955
1984,Lower Secondary Level,3rd Quintile,Not Working,0.55555,325,704,0.51882,0.59228
1984,Lower Secondary Level,4th Quintile,Full Time,0.33199,257,586,0.29383,0.37016
1984,Lower Secondary Level,4th Quintile,Part Time,0.20487,115,586,0.17216,0.23758
1984,Lower Secondary Level,4th Quintile,Not Working,0.46314,214,586,0.42273,0.50354
1984,Lower Secondary Level,5th Quintile,Full Time,0.40747,187,385,0.35832,0.45661
1984,Lower Secondary Level,5th Quintile,Part Time,0.15085,62,385,0.11506,0.18665
1984,Lower Secondary Level,5th Quintile,Not Working,0.44168,136,385,0.39201,0.49135
1984,Upper Secondary Level,1st Quintile,Full Time,0.25899,294,911,0.23052,0.28745
1984,Upper Secondary Level,1st Quintile,Part Time,0.13584,133,911,0.11358,0.15810
1984,Upper Secondary Level,1st Quintile,Not Working,0.60518,484,911,0.57342,0.63694
1984,Upper Secondary Level,2nd Quintile,Full Time,0.41819,505,1103,0.38906,0.44731
1984,Upper Secondary Level,2nd Quintile,Part Time,0.14631,181,1103,0.12544,0.16718
1984,Upper Secondary Level,2nd Quintile,Not Working,0.43550,417,1103,0.40623,0.46478
1984,Upper Secondary Level,3rd Quintile,Full Time,0.46190,593,1164,0.43325,0.49056
1984,Upper Secondary Level,3rd Quintile,Part Time,0.16245,193,1164,0.14125,0.18365
1984,Upper Secondary Level,3rd Quintile,Not Working,0.37564,378,1164,0.34781,0.40348
1984,Upper Secondary Level,4th Quintile,Full Time,0.53520,758,1286,0.50793,0.56247
1984,Upper Secondary Level,4th Quintile,Part Time,0.15440,196,1286,0.13465,0.17416
1984,Upper Secondary Level,4th Quintile,Not Working,0.31040,332,1286,0.28510,0.33570
1984,Upper Secondary Level,5th Quintile,Full Time,0.61817,794,1228,0.59098,0.64535
1984,Upper Secondary Level,5th Quintile,Part Time,0.14273,177,1228,0.12316,0.16231
1984,Upper Secondary Level,5th Quintile,Not Working,0.23910,257,1228,0.21523,0.26297
1984,Post-secondary Non-tertiary Level,3rd Quintile,Full Time,0.54250,34,34,0.37253,0.71248
1984,Post-secondary Non-tertiary Level,4th Quintile,Full Time,0.56581,38,38,0.40610,0.72552
1984,Post-secondary Non-tertiary Level,5th Quintile,Full Time,0.63725,53,53,0.50656,0.76793
1984,First Stage of Tertiary Education,1st Quintile,Not Working,0.61877,43,43,0.47188,0.76566
1984,First Stage of Tertiary Education,2nd Quintile,Not Working,0.46205,34,34,0.29195,0.63215
1984,First Stage of Tertiary Education,3rd Quintile,Full Time,0.62666,72,72,0.51415,0.73917
1984,First Stage of Tertiary Education,4th Quintile,Full Time,0.58518,100,142,0.50386,0.66651
1984,First Stage of Tertiary Education,4th Quintile,Not Working,0.28827,42,142,0.21350,0.36304
1984,First Stage of Tertiary Education,5th Quintile,Full Time,0.61425,146,227,0.55079,0.67771
1984,First Stage of Tertiary Education,5th Quintile,Part Time,0.17428,41,227,0.12483,0.22374
1984,First Stage of Tertiary Education,5th Quintile,Not Working,0.21147,40,227,0.15823,0.26471
1984,Second Stage of Tertiary Education,1st Quintile,Not Working,0.61737,43,43,0.47038,0.76437
1984,Second Stage of Tertiary Education,3rd Quintile,Full Time,0.50943,65,65,0.38695,0.63191
1984,Second Stage of Tertiary Education,4th Quintile,Full Time,0.62882,115,149,0.55098,0.70665
1984,Second Stage of Tertiary Education,4th Quintile,Not Working,0.21867,34,149,0.15207,0.28526
1984,Second Stage of Tertiary Education,5th Quintile,Full Time,0.65388,255,381,0.60605,0.70171
1984,Second Stage of Tertiary Education,5th Quintile,Part Time,0.19044,77,381,0.15096,0.22992
1984,Second Stage of Tertiary Education,5th Quintile,Not Working,0.15568,49,381,0.11923,0.19213
1985,Pre-primary Level,3rd Quintile,Not Working,0.95823,44,44,0.89843,1.01803
1985,Pre-primary Level,4th Quintile,Not Working,0.93783,35,35,0.85666,1.01899
1985,Primary Level,1st Quintile,Full Time,0.17773,83,312,0.13524,0.22022
1985,Primary Level,1st Quintile,Part Time,0.13188,38,312,0.09427,0.16948
1985,Primary Level,1st Quintile,Not Working,0.69039,191,312,0.63901,0.74178
1985,Primary Level,2nd Quintile,Full Time,0.36360,77,165,0.28998,0.43722
