year,pgisced97,sex,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,male,Not Working,0.88834,89,89,0.82253,0.95414
1984,Pre-primary Level,female,Not Working,0.93093,89,89,0.87795,0.98391
1984,Primary Level,male,Full Time,0.56506,300,411,0.51708,0.61305
1984,Primary Level,male,Part Time,0.18188,49,411,0.14454,0.21922
1984,Primary Level,male,Not Working,0.25211,62,411,0.21008,0.29414
1984,Primary Level,female,Full Time,0.27019,198,588,0.23426,0.30611
1984,Primary Level,female,Part Time,0.11582,73,588,0.08993,0.14170
1984,Primary Level,female,Not Working,0.61400,317,588,0.57461,0.65338
1984,Lower Secondary Level,male,Full Time,0.51823,691,1143,0.48925,0.54721
1984,Lower Secondary Level,male,Part Time,0.13946,152,1143,0.11937,0.15955
1984,Lower Secondary Level,male,Not Working,0.34096,300,1143,0.31347,0.36846
1984,Lower Secondary Level,female,Full Time,0.14554,457,2305,0.13115,0.15994
1984,Lower Secondary Level,female,Part Time,0.15410,396,2305,0.13935,0.16884
1984,Lower Secondary Level,female,Not Working,0.69930,1452,2305,0.68058,0.71803
1984,Upper Secondary Level,male,Full Time,0.64716,2194,3159,0.63050,0.66383
1984,Upper Secondary Level,male,Part Time,0.09644,303,3159,0.08614,0.10673
1984,Upper Secondary Level,male,Not Working,0.25640,662,3159,0.24117,0.27163
1984,Upper Secondary Level,female,Full Time,0.26870,750,2547,0.25148,0.28592
1984,Upper Secondary Level,female,Part Time,0.20937,577,2547,0.19357,0.22517
1984,Upper Secondary Level,female,Not Working,0.52193,1220,2547,0.50253,0.54134
1984,Post-secondary Non-tertiary Level,male,Full Time,0.57464,125,170,0.50010,0.64918
1984,Post-secondary Non-tertiary Level,male,Not Working,0.31530,45,170,0.24524,0.38535
1984,Post-secondary Non-tertiary Level,female,Full Time,0.45339,52,88,0.34878,0.55800
1984,Post-secondary Non-tertiary Level,female,Not Working,0.31475,36,88,0.21716,0.41234
1984,First Stage of Tertiary Education,male,Full Time,0.69612,281,384,0.65006,0.74219
1984,First Stage of Tertiary Education,male,Part Time,0.08879,33,384,0.06030,0.11728
1984,First Stage of Tertiary Education,male,Not Working,0.21509,70,384,0.17394,0.25624
