year,age_gr,migback,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,No migration background,Full Time,0.46095,1087,2349,0.44078,0.48111
1984,17-29 y.,No migration background,Part Time,0.20560,474,2349,0.18925,0.22194
1984,17-29 y.,No migration background,Not Working,0.33346,788,2349,0.31439,0.35253
1984,17-29 y.,Direct migration background,Full Time,0.42424,444,1001,0.39361,0.45487
1984,17-29 y.,Direct migration background,Part Time,0.20297,180,1001,0.17804,0.22789
1984,17-29 y.,Direct migration background,Not Working,0.37280,377,1001,0.34283,0.40277
1984,17-29 y.,Indirect migration background,Full Time,0.45502,37,82,0.34657,0.56346
1984,17-29 y.,Indirect migration background,Not Working,0.44813,45,82,0.33983,0.55643
1984,30-45 y.,No migration background,Full Time,0.57265,1398,2498,0.55324,0.59205
1984,30-45 y.,No migration background,Part Time,0.19578,504,2498,0.18022,0.21134
1984,30-45 y.,No migration background,Not Working,0.23157,596,2498,0.21503,0.24812
1984,30-45 y.,Direct migration background,Full Time,0.56764,862,1389,0.54158,0.59371
1984,30-45 y.,Direct migration background,Part Time,0.17213,198,1389,0.15227,0.19199
1984,30-45 y.,Direct migration background,Not Working,0.26022,329,1389,0.23714,0.28330
1984,46-65 y.,No migration background,Full Time,0.44771,1189,2596,0.42858,0.46685
1984,46-65 y.,No migration background,Part Time,0.13943,364,2596,0.12611,0.15276
1984,46-65 y.,No migration background,Not Working,0.41285,1043,2596,0.39391,0.43179
1984,46-65 y.,Direct migration background,Full Time,0.50944,577,948,0.47760,0.54128
1984,46-65 y.,Direct migration background,Part Time,0.15169,108,948,0.12885,0.17454
1984,46-65 y.,Direct migration background,Not Working,0.33887,263,948,0.30872,0.36902
1984,66 and older,No migration background,Part Time,0.03239,41,1209,0.02240,0.04237
1984,66 and older,No migration background,Not Working,0.95409,1168,1209,0.94229,0.96589
1984,66 and older,Direct migration background,Not Working,0.99215,33,33,0.96156,1.02273
1985,17-29 y.,No migration background,Full Time,0.45077,977,2204,0.43000,0.47155
1985,17-29 y.,No migration background,Part Time,0.22280,491,2204,0.20542,0.24018
1985,17-29 y.,No migration background,Not Working,0.32643,736,2204,0.30685,0.34601
1985,17-29 y.,Direct migration background,Full Time,0.40177,336,825,0.36829,0.43524
1985,17-29 y.,Direct migration background,Part Time,0.23337,176,825,0.20449,0.26225
1985,17-29 y.,Direct migration background,Not Working,0.36486,313,825,0.33199,0.39773
1985,17-29 y.,Indirect migration background,Full Time,0.41927,41,97,0.32056,0.51798
1985,17-29 y.,Indirect migration background,Not Working,0.42372,56,97,0.32487,0.52257
1985,30-45 y.,No migration background,Full Time,0.56440,1255,2278,0.54404,0.58477
