year,bula_h,sampreg,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,West,Full Time,0.35170,173,386,0.30400,0.39940
1984,Schleswig-Holstein,West,Part Time,0.12592,63,386,0.09278,0.15906
1984,Schleswig-Holstein,West,Not Working,0.33794,150,386,0.29069,0.38519
1984,Hamburg,West,Full Time,0.35506,146,309,0.30162,0.40850
1984,Hamburg,West,Part Time,0.10906,42,309,0.07425,0.14387
1984,Hamburg,West,Not Working,0.43097,121,309,0.37566,0.48627
1984,Lower Saxony,West,Full Time,0.30279,498,1235,0.27715,0.32842
1984,Lower Saxony,West,Part Time,0.12786,198,1235,0.10923,0.14649
1984,Lower Saxony,West,Not Working,0.39626,539,1235,0.36897,0.42355
1984,Bremen,West,Full Time,0.19736,38,109,0.12229,0.27242
1984,Bremen,West,Not Working,0.58913,71,109,0.49634,0.68192
1984,North Rhine-Westphalia,West,Full Time,0.32321,1443,3256,0.30714,0.33927
1984,North Rhine-Westphalia,West,Part Time,0.12058,489,3256,0.10939,0.13176
1984,North Rhine-Westphalia,West,Not Working,0.37291,1324,3256,0.35630,0.38953
1984,Hesse,West,Full Time,0.34730,591,1247,0.32086,0.37374
1984,Hesse,West,Part Time,0.14353,196,1247,0.12406,0.16300
1984,Hesse,West,Not Working,0.35815,460,1247,0.33153,0.38477
1984,"Rhineland-Palatinate, Saarland",West,Full Time,0.33873,374,851,0.30691,0.37054
1984,"Rhineland-Palatinate, Saarland",West,Part Time,0.10667,113,851,0.08591,0.12742
1984,"Rhineland-Palatinate, Saarland",West,Not Working,0.40265,364,851,0.36968,0.43562
1984,Baden-Wuerttemberg,West,Full Time,0.36063,1156,2255,0.34080,0.38045
1984,Baden-Wuerttemberg,West,Part Time,0.11799,337,2255,0.10468,0.13131
1984,Baden-Wuerttemberg,West,Not Working,0.32480,762,2255,0.30546,0.34413
1984,Bavaria,West,Full Time,0.35547,1000,2092,0.33495,0.37598
1984,Bavaria,West,Part Time,0.13978,359,2092,0.12491,0.15464
1984,Bavaria,West,Not Working,0.33174,733,2092,0.31155,0.35192
1984,Berlin,West,Full Time,0.38690,210,408,0.33958,0.43422
1984,Berlin,West,Part Time,0.11592,68,408,0.08482,0.14702
1984,Berlin,West,Not Working,0.33252,130,408,0.28674,0.37829
1985,Schleswig-Holstein,West,Full Time,0.33382,153,353,0.28455,0.38308
1985,Schleswig-Holstein,West,Part Time,0.13588,63,353,0.10008,0.17168
1985,Schleswig-Holstein,West,Not Working,0.35559,137,353,0.30558,0.40560
1985,Hamburg,West,Full Time,0.35928,129,280,0.30298,0.41558
1985,Hamburg,West,Part Time,0.12853,42,280,0.08926,0.16780
1985,Hamburg,West,Not Working,0.42052,109,280,0.36260,0.47845
1985,Lower Saxony,West,Full Time,0.31331,441,1107,0.28597,0.34065
1985,Lower Saxony,West,Part Time,0.13113,184,1107,0.11124,0.15103
1985,Lower Saxony,West,Not Working,0.40082,482,1107,0.37194,0.42970
1985,Bremen,West,Not Working,0.60126,65,65,0.48130,0.72123
1985,North Rhine-Westphalia,West,Full Time,0.32535,1285,2961,0.30847,0.34222
1985,North Rhine-Westphalia,West,Part Time,0.12911,474,2961,0.11703,0.14119
1985,North Rhine-Westphalia,West,Not Working,0.37329,1202,2961,0.35586,0.39071
1985,Hesse,West,Full Time,0.34566,519,1134,0.31797,0.37336
1985,Hesse,West,Part Time,0.13769,191,1134,0.11763,0.15776
1985,Hesse,West,Not Working,0.37595,424,1134,0.34775,0.40416
1985,"Rhineland-Palatinate, Saarland",West,Full Time,0.33329,332,772,0.30002,0.36656
1985,"Rhineland-Palatinate, Saarland",West,Part Time,0.10986,105,772,0.08779,0.13194
1985,"Rhineland-Palatinate, Saarland",West,Not Working,0.41351,335,772,0.37875,0.44827
1985,Baden-Wuerttemberg,West,Full Time,0.35935,1021,2041,0.33853,0.38017
1985,Baden-Wuerttemberg,West,Part Time,0.13865,341,2041,0.12365,0.15365
1985,Baden-Wuerttemberg,West,Not Working,0.31917,679,2041,0.29894,0.33940
1985,Bavaria,West,Full Time,0.34321,876,1897,0.32184,0.36458
1985,Bavaria,West,Part Time,0.15247,357,1897,0.13629,0.16865
1985,Bavaria,West,Not Working,0.34120,664,1897,0.31986,0.36254
1985,Berlin,West,Full Time,0.34851,163,365,0.29956,0.39746
1985,Berlin,West,Part Time,0.15812,81,365,0.12064,0.19560
1985,Berlin,West,Not Working,0.34480,121,365,0.29597,0.39363
1986,Schleswig-Holstein,West,Full Time,0.33887,140,323,0.28717,0.39057
1986,Schleswig-Holstein,West,Part Time,0.18850,74,323,0.14578,0.23122
1986,Schleswig-Holstein,West,Not Working,0.30113,109,323,0.25102,0.35124
1986,Hamburg,West,Full Time,0.37581,115,256,0.31636,0.43525
1986,Hamburg,West,Part Time,0.10807,37,256,0.06997,0.14618
1986,Hamburg,West,Not Working,0.42761,104,256,0.36689,0.48833
1986,Lower Saxony,West,Full Time,0.32499,457,1108,0.29740,0.35258
1986,Lower Saxony,West,Part Time,0.13423,190,1108,0.11414,0.15431
1986,Lower Saxony,West,Not Working,0.38791,461,1108,0.35920,0.41661
1986,Bremen,West,Full Time,0.19478,33,92,0.11341,0.27615
1986,Bremen,West,Not Working,0.60968,59,92,0.50945,0.70991
1986,North Rhine-Westphalia,West,Full Time,0.32554,1259,2858,0.30836,0.34273
1986,North Rhine-Westphalia,West,Part Time,0.12447,444,2858,0.11236,0.13657
1986,North Rhine-Westphalia,West,Not Working,0.37542,1155,2858,0.35766,0.39318
1986,Hesse,West,Full Time,0.34461,477,1049,0.31584,0.37339
1986,Hesse,West,Part Time,0.13097,188,1049,0.11055,0.15140
1986,Hesse,West,Not Working,0.37562,384,1049,0.34630,0.40494
1986,"Rhineland-Palatinate, Saarland",West,Full Time,0.33565,343,769,0.30225,0.36905
1986,"Rhineland-Palatinate, Saarland",West,Part Time,0.12048,111,769,0.09745,0.14350
1986,"Rhineland-Palatinate, Saarland",West,Not Working,0.40002,315,769,0.36537,0.43467
1986,Baden-Wuerttemberg,West,Full Time,0.36916,999,1988,0.34794,0.39038
1986,Baden-Wuerttemberg,West,Part Time,0.14199,350,1988,0.12664,0.15734
1986,Baden-Wuerttemberg,West,Not Working,0.31049,639,1988,0.29014,0.33083
1986,Bavaria,West,Full Time,0.35369,843,1773,0.33143,0.37595
1986,Bavaria,West,Part Time,0.15227,341,1773,0.13554,0.16900
