year,quintil_oecd,regtyp,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,1st Quintile,Urban regions,Full Time,0.15272,461,1738,0.13581,0.16964
1985,1st Quintile,Urban regions,Part Time,0.11820,271,1738,0.10302,0.13339
1985,1st Quintile,Urban regions,Not Working,0.50363,1006,1738,0.48011,0.52714
1985,1st Quintile,Rural regions,Full Time,0.14055,124,519,0.11062,0.17048
1985,1st Quintile,Rural regions,Part Time,0.11539,92,519,0.08787,0.14290
1985,1st Quintile,Rural regions,Not Working,0.52070,303,519,0.47768,0.56372
1985,2nd Quintile,Urban regions,Full Time,0.24481,632,1661,0.22413,0.26550
1985,2nd Quintile,Urban regions,Part Time,0.12933,276,1661,0.11319,0.14547
1985,2nd Quintile,Urban regions,Not Working,0.43553,753,1661,0.41168,0.45938
1985,2nd Quintile,Rural regions,Full Time,0.24805,183,498,0.21008,0.28602
1985,2nd Quintile,Rural regions,Part Time,0.13559,90,498,0.10549,0.16569
1985,2nd Quintile,Rural regions,Not Working,0.38079,225,498,0.33810,0.42348
1985,3rd Quintile,Urban regions,Full Time,0.34054,821,1728,0.31818,0.36289
1985,3rd Quintile,Urban regions,Part Time,0.14129,305,1728,0.12486,0.15772
1985,3rd Quintile,Urban regions,Not Working,0.36056,602,1728,0.33791,0.38320
1985,3rd Quintile,Rural regions,Full Time,0.35059,219,479,0.30782,0.39337
1985,3rd Quintile,Rural regions,Part Time,0.11764,73,479,0.08876,0.14652
1985,3rd Quintile,Rural regions,Not Working,0.37648,187,479,0.33304,0.41991
1985,4th Quintile,Urban regions,Full Time,0.42454,970,1811,0.40177,0.44731
1985,4th Quintile,Urban regions,Part Time,0.15252,326,1811,0.13596,0.16908
1985,4th Quintile,Urban regions,Not Working,0.30010,515,1811,0.27899,0.32122
1985,4th Quintile,Rural regions,Full Time,0.42194,219,402,0.37360,0.47028
1985,4th Quintile,Rural regions,Part Time,0.15657,77,402,0.12100,0.19214
1985,4th Quintile,Rural regions,Not Working,0.27526,106,402,0.23154,0.31897
1985,5th Quintile,Urban regions,Full Time,0.51809,1060,1740,0.49460,0.54157
1985,5th Quintile,Urban regions,Part Time,0.14133,280,1740,0.12495,0.15770
1985,5th Quintile,Urban regions,Not Working,0.24028,400,1740,0.22020,0.26037
1985,5th Quintile,Rural regions,Full Time,0.49967,258,442,0.45300,0.54634
