year,age_gr,pgisced97,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Pre-primary Level,Not Working,0.94292,178,178,0.90874,0.97710
1984,17-29 y.,Primary Level,Full Time,0.33581,72,178,0.26623,0.40539
1984,17-29 y.,Primary Level,Not Working,0.50993,106,178,0.43628,0.58358
1984,17-29 y.,Lower Secondary Level,Full Time,0.37361,405,1046,0.34428,0.40294
1984,17-29 y.,Lower Secondary Level,Part Time,0.23188,224,1046,0.20629,0.25747
1984,17-29 y.,Lower Secondary Level,Not Working,0.39451,417,1046,0.36487,0.42414
1984,17-29 y.,Upper Secondary Level,Full Time,0.55779,902,1603,0.53347,0.58211
1984,17-29 y.,Upper Secondary Level,Part Time,0.19725,303,1603,0.17776,0.21673
1984,17-29 y.,Upper Secondary Level,Not Working,0.24496,398,1603,0.22390,0.26602
1984,17-29 y.,Post-secondary Non-tertiary Level,Full Time,0.48099,60,98,0.38156,0.58043
1984,17-29 y.,Post-secondary Non-tertiary Level,Not Working,0.29837,38,98,0.20732,0.38943
1984,17-29 y.,First Stage of Tertiary Education,Full Time,0.59020,71,105,0.49568,0.68472
1984,17-29 y.,First Stage of Tertiary Education,Part Time,0.25269,34,105,0.16917,0.33621
1984,17-29 y.,Second Stage of Tertiary Education,Full Time,0.39424,52,128,0.30925,0.47924
1984,17-29 y.,Second Stage of Tertiary Education,Part Time,0.34711,40,128,0.26432,0.42991
1984,17-29 y.,Second Stage of Tertiary Education,Not Working,0.25865,36,128,0.18249,0.33481
1984,30-45 y.,Primary Level,Full Time,0.44441,211,399,0.39559,0.49323
1984,30-45 y.,Primary Level,Part Time,0.17372,50,399,0.13649,0.21094
1984,30-45 y.,Primary Level,Not Working,0.38187,138,399,0.33414,0.42961
1984,30-45 y.,Lower Secondary Level,Full Time,0.35012,371,804,0.31713,0.38312
1984,30-45 y.,Lower Secondary Level,Part Time,0.23214,157,804,0.20294,0.26135
1984,30-45 y.,Lower Secondary Level,Not Working,0.41773,276,804,0.38362,0.45185
1984,30-45 y.,Upper Secondary Level,Full Time,0.59788,1174,1950,0.57611,0.61965
1984,30-45 y.,Upper Secondary Level,Part Time,0.18333,356,1950,0.16615,0.20051
1984,30-45 y.,Upper Secondary Level,Not Working,0.21879,420,1950,0.20043,0.23714
1984,30-45 y.,Post-secondary Non-tertiary Level,Full Time,0.72860,72,72,0.62516,0.83203
1984,30-45 y.,First Stage of Tertiary Education,Full Time,0.67258,168,248,0.61405,0.73110
1984,30-45 y.,First Stage of Tertiary Education,Part Time,0.15944,39,248,0.11379,0.20510
1984,30-45 y.,First Stage of Tertiary Education,Not Working,0.16798,41,248,0.12136,0.21460
1984,30-45 y.,Second Stage of Tertiary Education,Full Time,0.69872,259,378,0.65240,0.74503
1984,30-45 y.,Second Stage of Tertiary Education,Part Time,0.21589,86,378,0.17436,0.25743
1984,30-45 y.,Second Stage of Tertiary Education,Not Working,0.08539,33,378,0.05718,0.11360
1984,46-65 y.,Primary Level,Full Time,0.50215,214,379,0.45175,0.55256
1984,46-65 y.,Primary Level,Part Time,0.12863,44,379,0.09488,0.16238
1984,46-65 y.,Primary Level,Not Working,0.36921,121,379,0.32056,0.41787
1984,46-65 y.,Lower Secondary Level,Full Time,0.27665,367,1084,0.25001,0.30330
1984,46-65 y.,Lower Secondary Level,Part Time,0.15395,157,1084,0.13246,0.17545
1984,46-65 y.,Lower Secondary Level,Not Working,0.56939,560,1084,0.53990,0.59888
1984,46-65 y.,Upper Secondary Level,Full Time,0.51099,860,1583,0.48636,0.53562
1984,46-65 y.,Upper Secondary Level,Part Time,0.13136,201,1583,0.11472,0.14801
1984,46-65 y.,Upper Secondary Level,Not Working,0.35765,522,1583,0.33403,0.38127
1984,46-65 y.,Post-secondary Non-tertiary Level,Full Time,0.66647,45,45,0.52716,0.80578
1984,46-65 y.,First Stage of Tertiary Education,Full Time,0.58410,123,173,0.51044,0.65776
1984,46-65 y.,First Stage of Tertiary Education,Not Working,0.26468,50,173,0.19875,0.33061
1984,46-65 y.,Second Stage of Tertiary Education,Full Time,0.66234,150,221,0.59984,0.72483
1984,46-65 y.,Second Stage of Tertiary Education,Part Time,0.15383,33,221,0.10616,0.20151
1984,46-65 y.,Second Stage of Tertiary Education,Not Working,0.18383,38,221,0.13265,0.23502
1984,66 and older,Lower Secondary Level,Not Working,0.97292,499,499,0.95867,0.98718
1984,66 and older,Upper Secondary Level,Not Working,0.95121,542,542,0.93305,0.96936
1984,66 and older,First Stage of Tertiary Education,Not Working,0.91490,75,75,0.85133,0.97848
1984,66 and older,Second Stage of Tertiary Education,Not Working,0.87270,53,53,0.78210,0.96329
1985,17-29 y.,No answer / don't know,Not Working,0.42609,32,32,0.25201,0.60017
1985,17-29 y.,Pre-primary Level,Not Working,0.95665,180,180,0.92681,0.98648
1985,17-29 y.,Primary Level,Full Time,0.29074,48,137,0.21442,0.36707
1985,17-29 y.,Primary Level,Not Working,0.55711,89,137,0.47363,0.64060
1985,17-29 y.,Lower Secondary Level,Full Time,0.37956,355,959,0.34883,0.41029
1985,17-29 y.,Lower Secondary Level,Part Time,0.22981,221,959,0.20317,0.25645
1985,17-29 y.,Lower Secondary Level,Not Working,0.39063,383,959,0.35973,0.42152
1985,17-29 y.,Upper Secondary Level,Full Time,0.55211,773,1431,0.52634,0.57789
1985,17-29 y.,Upper Secondary Level,Part Time,0.22937,317,1431,0.20757,0.25116
1985,17-29 y.,Upper Secondary Level,Not Working,0.21852,341,1431,0.19710,0.23994
1985,17-29 y.,Post-secondary Non-tertiary Level,Full Time,0.46138,52,86,0.35540,0.56736
1985,17-29 y.,Post-secondary Non-tertiary Level,Not Working,0.30612,34,86,0.20815,0.40410
1985,17-29 y.,First Stage of Tertiary Education,Full Time,0.60164,65,65,0.48170,0.72158
1985,17-29 y.,Second Stage of Tertiary Education,Full Time,0.41806,47,93,0.31727,0.51885
1985,17-29 y.,Second Stage of Tertiary Education,Part Time,0.41350,46,93,0.31287,0.51413
1985,30-45 y.,Primary Level,Full Time,0.41469,157,320,0.36062,0.46875
1985,30-45 y.,Primary Level,Part Time,0.16037,42,320,0.12010,0.20063
