year,bula_h,quintil_oecd,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,1st Quintile,Not Working,0.66565,38,38,0.51364,0.81767
1984,Schleswig-Holstein,2nd Quintile,Full Time,0.37004,31,71,0.25693,0.48315
1984,Schleswig-Holstein,2nd Quintile,Not Working,0.55463,40,71,0.43820,0.67106
1984,Schleswig-Holstein,3rd Quintile,Full Time,0.48998,31,31,0.31109,0.66886
1984,Schleswig-Holstein,4th Quintile,Full Time,0.47340,46,46,0.32752,0.61928
1984,Schleswig-Holstein,5th Quintile,Full Time,0.56399,52,52,0.42789,0.70009
1984,Hamburg,1st Quintile,Not Working,0.77828,33,33,0.63434,0.92221
1984,Hamburg,4th Quintile,Full Time,0.63067,49,49,0.49413,0.76720
1984,Hamburg,5th Quintile,Full Time,0.56493,49,49,0.42468,0.70518
1984,Lower Saxony,1st Quintile,Full Time,0.14958,57,299,0.10908,0.19007
1984,Lower Saxony,1st Quintile,Part Time,0.13391,45,299,0.09524,0.17258
1984,Lower Saxony,1st Quintile,Not Working,0.71651,197,299,0.66534,0.76768
1984,Lower Saxony,2nd Quintile,Full Time,0.33898,85,232,0.27793,0.40002
1984,Lower Saxony,2nd Quintile,Part Time,0.15807,37,232,0.11102,0.20511
1984,Lower Saxony,2nd Quintile,Not Working,0.50296,110,232,0.43848,0.56743
1984,Lower Saxony,3rd Quintile,Full Time,0.39124,100,233,0.32844,0.45404
1984,Lower Saxony,3rd Quintile,Part Time,0.18561,43,233,0.13558,0.23564
1984,Lower Saxony,3rd Quintile,Not Working,0.42315,90,233,0.35957,0.48672
1984,Lower Saxony,4th Quintile,Full Time,0.44238,126,247,0.38031,0.50445
1984,Lower Saxony,4th Quintile,Part Time,0.15910,39,247,0.11339,0.20481
1984,Lower Saxony,4th Quintile,Not Working,0.39852,82,247,0.33734,0.45970
1984,Lower Saxony,5th Quintile,Full Time,0.55415,130,221,0.48846,0.61983
1984,Lower Saxony,5th Quintile,Part Time,0.13972,34,221,0.09390,0.18553
1984,Lower Saxony,5th Quintile,Not Working,0.30614,57,221,0.24523,0.36704
1984,North Rhine-Westphalia,1st Quintile,Full Time,0.16574,191,774,0.13953,0.19195
1984,North Rhine-Westphalia,1st Quintile,Part Time,0.12935,97,774,0.10569,0.15301
1984,North Rhine-Westphalia,1st Quintile,Not Working,0.70491,486,774,0.67276,0.73706
1984,North Rhine-Westphalia,2nd Quintile,Full Time,0.31584,245,632,0.27957,0.35211
1984,North Rhine-Westphalia,2nd Quintile,Part Time,0.14856,97,632,0.12081,0.17631
1984,North Rhine-Westphalia,2nd Quintile,Not Working,0.53561,290,632,0.49669,0.57452
1984,North Rhine-Westphalia,3rd Quintile,Full Time,0.41366,273,582,0.37362,0.45371
1984,North Rhine-Westphalia,3rd Quintile,Part Time,0.14035,85,582,0.11211,0.16860
1984,North Rhine-Westphalia,3rd Quintile,Not Working,0.44598,224,582,0.40556,0.48640
1984,North Rhine-Westphalia,4th Quintile,Full Time,0.49503,362,653,0.45665,0.53341
1984,North Rhine-Westphalia,4th Quintile,Part Time,0.16560,108,653,0.13707,0.19413
1984,North Rhine-Westphalia,4th Quintile,Not Working,0.33937,183,653,0.30303,0.37572
1984,North Rhine-Westphalia,5th Quintile,Full Time,0.58361,372,610,0.54446,0.62276
1984,North Rhine-Westphalia,5th Quintile,Part Time,0.15536,102,610,0.12659,0.18413
1984,North Rhine-Westphalia,5th Quintile,Not Working,0.26103,136,610,0.22614,0.29591
1984,Hesse,1st Quintile,Full Time,0.15411,69,268,0.11080,0.19742
1984,Hesse,1st Quintile,Part Time,0.14285,39,268,0.10088,0.18482
1984,Hesse,1st Quintile,Not Working,0.70304,160,268,0.64823,0.75784
1984,Hesse,2nd Quintile,Full Time,0.32751,96,229,0.26659,0.38843
1984,Hesse,2nd Quintile,Part Time,0.18628,40,229,0.13575,0.23682
1984,Hesse,2nd Quintile,Not Working,0.48620,93,229,0.42133,0.55108
1984,Hesse,3rd Quintile,Full Time,0.44346,106,201,0.37461,0.51231
1984,Hesse,3rd Quintile,Part Time,0.21713,37,201,0.15999,0.27427
1984,Hesse,3rd Quintile,Not Working,0.33941,58,201,0.27379,0.40504
1984,Hesse,4th Quintile,Full Time,0.48963,137,238,0.42598,0.55327
1984,Hesse,4th Quintile,Part Time,0.16892,37,238,0.12122,0.21663
1984,Hesse,4th Quintile,Not Working,0.34145,64,238,0.28108,0.40182
1984,Hesse,5th Quintile,Full Time,0.54210,183,308,0.48637,0.59784
1984,Hesse,5th Quintile,Part Time,0.15196,43,308,0.11180,0.19211
1984,Hesse,5th Quintile,Not Working,0.30594,82,308,0.25439,0.35749
1984,"Rhineland-Palatinate, Saarland",1st Quintile,Full Time,0.19149,38,153,0.12893,0.25404
1984,"Rhineland-Palatinate, Saarland",1st Quintile,Not Working,0.71752,115,153,0.64595,0.78910
1984,"Rhineland-Palatinate, Saarland",2nd Quintile,Full Time,0.32478,79,177,0.25560,0.39397
1984,"Rhineland-Palatinate, Saarland",2nd Quintile,Not Working,0.55886,98,177,0.48550,0.63221
1984,"Rhineland-Palatinate, Saarland",3rd Quintile,Full Time,0.43077,89,159,0.35356,0.50799
1984,"Rhineland-Palatinate, Saarland",3rd Quintile,Not Working,0.41716,70,159,0.34027,0.49405
1984,"Rhineland-Palatinate, Saarland",4th Quintile,Full Time,0.50722,87,143,0.42499,0.58945
1984,"Rhineland-Palatinate, Saarland",4th Quintile,Not Working,0.38625,56,143,0.30617,0.46633
1984,"Rhineland-Palatinate, Saarland",5th Quintile,Full Time,0.61673,81,81,0.51019,0.72327
1984,Baden-Wuerttemberg,1st Quintile,Full Time,0.24263,116,387,0.19987,0.28540
1984,Baden-Wuerttemberg,1st Quintile,Part Time,0.11690,53,387,0.08485,0.14896
1984,Baden-Wuerttemberg,1st Quintile,Not Working,0.64046,218,387,0.59259,0.68834
1984,Baden-Wuerttemberg,2nd Quintile,Full Time,0.35819,202,473,0.31494,0.40145
1984,Baden-Wuerttemberg,2nd Quintile,Part Time,0.17198,83,473,0.13793,0.20602
1984,Baden-Wuerttemberg,2nd Quintile,Not Working,0.46983,188,473,0.42480,0.51485
1984,Baden-Wuerttemberg,3rd Quintile,Full Time,0.44396,242,458,0.39840,0.48951
1984,Baden-Wuerttemberg,3rd Quintile,Part Time,0.16704,76,458,0.13284,0.20124
1984,Baden-Wuerttemberg,3rd Quintile,Not Working,0.38901,140,458,0.34431,0.43370
