year,age_gr,sex,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,male,Full Time,0.51455,924,1736,0.49104,0.53807
1984,17-29 y.,male,Part Time,0.20020,322,1736,0.18137,0.21903
1984,17-29 y.,male,Not Working,0.28525,490,1736,0.26400,0.30650
1984,17-29 y.,female,Full Time,0.39875,644,1706,0.37551,0.42200
1984,17-29 y.,female,Part Time,0.20888,342,1706,0.18958,0.22817
1984,17-29 y.,female,Not Working,0.39237,720,1706,0.36919,0.41554
1984,30-45 y.,male,Full Time,0.87248,1700,1937,0.85762,0.88734
1984,30-45 y.,male,Part Time,0.08055,158,1937,0.06843,0.09268
1984,30-45 y.,male,Not Working,0.04697,79,1937,0.03754,0.05639
1984,30-45 y.,female,Full Time,0.26686,569,1969,0.24732,0.28640
1984,30-45 y.,female,Part Time,0.30573,549,1969,0.28537,0.32608
1984,30-45 y.,female,Not Working,0.42741,851,1969,0.40556,0.44927
1984,46-65 y.,male,Full Time,0.73313,1349,1778,0.71257,0.75370
1984,46-65 y.,male,Part Time,0.08671,144,1778,0.07363,0.09979
1984,46-65 y.,male,Not Working,0.18016,285,1778,0.16229,0.19803
1984,46-65 y.,female,Full Time,0.20328,421,1778,0.18457,0.22199
1984,46-65 y.,female,Part Time,0.19071,331,1778,0.17244,0.20897
1984,46-65 y.,female,Not Working,0.60602,1026,1778,0.58330,0.62874
1984,66 and older,male,Not Working,0.93219,466,466,0.90934,0.95504
1984,66 and older,female,Not Working,0.96779,737,737,0.95503,0.98054
1985,17-29 y.,male,Full Time,0.49416,806,1611,0.46974,0.51858
1985,17-29 y.,male,Part Time,0.20727,327,1611,0.18747,0.22707
1985,17-29 y.,male,Not Working,0.29857,478,1611,0.27621,0.32092
1985,17-29 y.,female,Full Time,0.39661,548,1529,0.37208,0.42113
1985,17-29 y.,female,Part Time,0.23910,354,1529,0.21772,0.26049
1985,17-29 y.,female,Not Working,0.36429,627,1529,0.34016,0.38842
1985,30-45 y.,male,Full Time,0.85072,1459,1707,0.83381,0.86763
1985,30-45 y.,male,Part Time,0.10711,180,1707,0.09243,0.12179
1985,30-45 y.,male,Not Working,0.04217,68,1707,0.03263,0.05170
1985,30-45 y.,female,Full Time,0.27110,510,1768,0.25038,0.29183
1985,30-45 y.,female,Part Time,0.32333,507,1768,0.30152,0.34514
1985,30-45 y.,female,Not Working,0.40557,751,1768,0.38268,0.42846
1985,46-65 y.,male,Full Time,0.71586,1231,1653,0.69412,0.73761
1985,46-65 y.,male,Part Time,0.09390,150,1653,0.07984,0.10797
1985,46-65 y.,male,Not Working,0.19023,272,1653,0.17130,0.20916
1985,46-65 y.,female,Full Time,0.19529,376,1651,0.17616,0.21441
1985,46-65 y.,female,Part Time,0.19657,315,1651,0.17740,0.21575
1985,46-65 y.,female,Not Working,0.60814,960,1651,0.58458,0.63169
1985,66 and older,male,Not Working,0.94422,415,415,0.92211,0.96633
1985,66 and older,female,Not Working,0.97687,647,647,0.96528,0.98847
1986,17-29 y.,male,Full Time,0.50848,812,1588,0.48389,0.53308
1986,17-29 y.,male,Part Time,0.20498,310,1588,0.18512,0.22485
1986,17-29 y.,male,Not Working,0.28653,466,1588,0.26429,0.30878
1986,17-29 y.,female,Full Time,0.42158,560,1469,0.39632,0.44684
1986,17-29 y.,female,Part Time,0.25911,370,1469,0.23670,0.28153
1986,17-29 y.,female,Not Working,0.31930,539,1469,0.29546,0.34315
1986,30-45 y.,male,Full Time,0.85954,1371,1580,0.84240,0.87668
1986,30-45 y.,male,Part Time,0.10453,154,1580,0.08944,0.11962
1986,30-45 y.,male,Not Working,0.03593,55,1580,0.02675,0.04511
1986,30-45 y.,female,Full Time,0.27385,489,1689,0.25258,0.29513
1986,30-45 y.,female,Part Time,0.32276,499,1689,0.30045,0.34506
1986,30-45 y.,female,Not Working,0.40339,701,1689,0.37999,0.42679
1986,46-65 y.,male,Full Time,0.72642,1235,1645,0.70487,0.74797
1986,46-65 y.,male,Part Time,0.08528,144,1645,0.07178,0.09878
1986,46-65 y.,male,Not Working,0.18831,266,1645,0.16941,0.20720
1986,46-65 y.,female,Full Time,0.19984,354,1583,0.18013,0.21954
1986,46-65 y.,female,Part Time,0.19936,318,1583,0.17967,0.21905
1986,46-65 y.,female,Not Working,0.60080,911,1583,0.57667,0.62494
1986,66 and older,male,Not Working,0.94826,391,391,0.92628,0.97024
1986,66 and older,female,Not Working,0.97737,598,598,0.96544,0.98930
1987,17-29 y.,male,Full Time,0.54410,842,1570,0.51946,0.56875
1987,17-29 y.,male,Part Time,0.21985,324,1570,0.19936,0.24035
1987,17-29 y.,male,Not Working,0.23604,404,1570,0.21503,0.25706
1987,17-29 y.,female,Full Time,0.43924,559,1441,0.41361,0.46488
1987,17-29 y.,female,Part Time,0.28680,392,1441,0.26344,0.31016
1987,17-29 y.,female,Not Working,0.27396,490,1441,0.25093,0.29700
1987,30-45 y.,male,Full Time,0.87415,1364,1548,0.85762,0.89067
1987,30-45 y.,male,Part Time,0.08500,128,1548,0.07110,0.09890
1987,30-45 y.,male,Not Working,0.04086,56,1548,0.03099,0.05072
1987,30-45 y.,female,Full Time,0.29695,493,1620,0.27469,0.31921
1987,30-45 y.,female,Part Time,0.31965,478,1620,0.29694,0.34237
1987,30-45 y.,female,Not Working,0.38340,649,1620,0.35972,0.40708
1987,46-65 y.,male,Full Time,0.72313,1230,1634,0.70142,0.74483
1987,46-65 y.,male,Part Time,0.08561,130,1634,0.07204,0.09918
1987,46-65 y.,male,Not Working,0.19126,274,1634,0.17219,0.21034
1987,46-65 y.,female,Full Time,0.20995,365,1574,0.18982,0.23008
1987,46-65 y.,female,Part Time,0.21760,331,1574,0.19721,0.23799
1987,46-65 y.,female,Not Working,0.57245,878,1574,0.54800,0.59690
1987,66 and older,male,Not Working,0.94746,396,396,0.92546,0.96947
1987,66 and older,female,Not Working,0.97735,628,628,0.96570,0.98899
1988,17-29 y.,male,Full Time,0.54718,812,1494,0.52193,0.57243
1988,17-29 y.,male,Part Time,0.20110,318,1494,0.18077,0.22143
1988,17-29 y.,male,Not Working,0.25172,364,1494,0.22971,0.27374
1988,17-29 y.,female,Full Time,0.42593,543,1379,0.39982,0.45204
1988,17-29 y.,female,Part Time,0.29052,354,1379,0.26655,0.31450
1988,17-29 y.,female,Not Working,0.28354,482,1379,0.25974,0.30734
1988,30-45 y.,male,Full Time,0.86400,1256,1444,0.84632,0.88169
1988,30-45 y.,male,Part Time,0.09678,136,1444,0.08152,0.11203
1988,30-45 y.,male,Not Working,0.03922,52,1444,0.02920,0.04923
1988,30-45 y.,female,Full Time,0.29414,436,1508,0.27113,0.31715
1988,30-45 y.,female,Part Time,0.35363,507,1508,0.32949,0.37777
1988,30-45 y.,female,Not Working,0.35223,565,1508,0.32811,0.37635
1988,46-65 y.,male,Full Time,0.72611,1174,1579,0.70411,0.74811
1988,46-65 y.,male,Part Time,0.08116,128,1579,0.06768,0.09463
1988,46-65 y.,male,Not Working,0.19273,277,1579,0.17327,0.21220
1988,46-65 y.,female,Full Time,0.20531,343,1532,0.18507,0.22554
1988,46-65 y.,female,Part Time,0.24520,370,1532,0.22365,0.26675
1988,46-65 y.,female,Not Working,0.54949,819,1532,0.52457,0.57441
1988,66 and older,male,Not Working,0.93743,386,386,0.91324,0.96162
1988,66 and older,female,Not Working,0.97367,602,602,0.96087,0.98647
1989,17-29 y.,male,Full Time,0.53254,826,1457,0.50691,0.55817
1989,17-29 y.,male,Part Time,0.21059,284,1457,0.18965,0.23154
1989,17-29 y.,male,Not Working,0.25687,347,1457,0.23442,0.27931
1989,17-29 y.,female,Full Time,0.45220,560,1372,0.42585,0.47854
1989,17-29 y.,female,Part Time,0.24536,333,1372,0.22258,0.26813
1989,17-29 y.,female,Not Working,0.30245,479,1372,0.27813,0.32676
1989,30-45 y.,male,Full Time,0.89230,1217,1378,0.87592,0.90867
1989,30-45 y.,male,Part Time,0.06368,106,1378,0.05078,0.07658
1989,30-45 y.,male,Not Working,0.04402,55,1378,0.03319,0.05486
1989,30-45 y.,female,Full Time,0.30212,453,1464,0.27859,0.32565
1989,30-45 y.,female,Part Time,0.36101,492,1464,0.33640,0.38562
