year,migback,sex,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,male,Full Time,0.50705,2623,4117,0.49178,0.52232
1984,No migration background,male,Part Time,0.09001,445,4117,0.08127,0.09876
1984,No migration background,male,Not Working,0.23202,1049,4117,0.21913,0.24492
1984,No migration background,female,Full Time,0.18560,1071,4555,0.17431,0.19690
1984,No migration background,female,Part Time,0.15886,938,4555,0.14825,0.16948
1984,No migration background,female,Not Working,0.50893,2546,4555,0.49441,0.52345
1984,Direct migration background,male,Full Time,0.60871,1338,1779,0.58602,0.63139
1984,Direct migration background,male,Part Time,0.10453,196,1779,0.09031,0.11875
1984,Direct migration background,male,Not Working,0.16356,245,1779,0.14637,0.18075
1984,Direct migration background,female,Full Time,0.24989,546,1594,0.22863,0.27115
1984,Direct migration background,female,Part Time,0.19486,291,1594,0.17540,0.21431
1984,Direct migration background,female,Not Working,0.45662,757,1594,0.43216,0.48108
1984,Indirect migration background,female,Not Working,0.06354,31,31,-0.02375,0.15082
1985,No migration background,male,Full Time,0.50181,2376,3812,0.48593,0.51768
1985,No migration background,male,Part Time,0.09910,457,3812,0.08961,0.10859
1985,No migration background,male,Not Working,0.24285,979,3812,0.22923,0.25646
1985,No migration background,female,Full Time,0.18697,965,4167,0.17513,0.19881
1985,No migration background,female,Part Time,0.17087,924,4167,0.15944,0.18230
1985,No migration background,female,Not Working,0.50573,2278,4167,0.49055,0.52091
1985,Direct migration background,male,Full Time,0.59267,1105,1539,0.56812,0.61723
1985,Direct migration background,male,Part Time,0.12644,208,1539,0.10983,0.14305
1985,Direct migration background,male,Not Working,0.18709,226,1539,0.16760,0.20659
1985,Direct migration background,female,Full Time,0.24440,451,1367,0.22162,0.26719
1985,Direct migration background,female,Part Time,0.19743,252,1367,0.17632,0.21853
1985,Direct migration background,female,Not Working,0.47272,664,1367,0.44624,0.49919
1985,Indirect migration background,female,Not Working,0.09124,43,43,0.00415,0.17832
1986,No migration background,male,Full Time,0.51044,2300,3647,0.49422,0.52667
1986,No migration background,male,Part Time,0.09819,423,3647,0.08853,0.10785
1986,No migration background,male,Not Working,0.23812,924,3647,0.22429,0.25195
1986,No migration background,female,Full Time,0.19343,965,3958,0.18112,0.20574
1986,No migration background,female,Part Time,0.17373,910,3958,0.16193,0.18554
1986,No migration background,female,Not Working,0.49294,2083,3958,0.47737,0.50852
