year,migback,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Full Time,0.40108,3694,8672,0.39077,0.41140
1984,No migration background,Part Time,0.15001,1383,8672,0.14249,0.15753
1984,No migration background,Not Working,0.44891,3595,8672,0.43844,0.45938
1984,Direct migration background,Full Time,0.49000,1884,3373,0.47313,0.50687
1984,Direct migration background,Part Time,0.16671,487,3373,0.15413,0.17929
1984,Direct migration background,Not Working,0.34329,1002,3373,0.32727,0.35932
1984,Indirect migration background,Full Time,0.43259,51,108,0.33872,0.52647
1984,Indirect migration background,Not Working,0.40105,57,108,0.30818,0.49391
1985,No migration background,Full Time,0.39307,3341,7979,0.38236,0.40379
1985,No migration background,Part Time,0.16032,1381,7979,0.15227,0.16837
1985,No migration background,Not Working,0.44660,3257,7979,0.43569,0.45751
1985,Direct migration background,Full Time,0.46441,1556,2906,0.44628,0.48255
1985,Direct migration background,Part Time,0.17695,460,2906,0.16308,0.19083
1985,Direct migration background,Not Working,0.35863,890,2906,0.34119,0.37607
1985,Indirect migration background,Full Time,0.32776,50,121,0.24377,0.41175
1985,Indirect migration background,Not Working,0.44330,71,121,0.35442,0.53218
1986,No migration background,Full Time,0.40206,3265,7605,0.39104,0.41308
1986,No migration background,Part Time,0.16166,1333,7605,0.15339,0.16994
1986,No migration background,Not Working,0.43628,3007,7605,0.42513,0.44743
1986,Direct migration background,Full Time,0.46923,1516,2827,0.45083,0.48763
1986,Direct migration background,Part Time,0.16752,454,2827,0.15375,0.18129
1986,Direct migration background,Not Working,0.36325,857,2827,0.34552,0.38098
1986,Indirect migration background,Full Time,0.33255,54,153,0.25765,0.40744
1986,Indirect migration background,Part Time,0.25296,36,153,0.18386,0.32207
1986,Indirect migration background,Not Working,0.41449,63,153,0.33617,0.49281
1987,No migration background,Full Time,0.41444,3288,7467,0.40326,0.42561
1987,No migration background,Part Time,0.16502,1333,7467,0.15660,0.17344
1987,No migration background,Not Working,0.42054,2846,7467,0.40934,0.43174
1987,Direct migration background,Full Time,0.47332,1519,2815,0.45487,0.49177
1987,Direct migration background,Part Time,0.16199,441,2815,0.14838,0.17561
1987,Direct migration background,Not Working,0.36469,855,2815,0.34690,0.38247
1987,Indirect migration background,Full Time,0.32245,64,173,0.25259,0.39230
1987,Indirect migration background,Part Time,0.32177,35,173,0.25195,0.39158
1987,Indirect migration background,Not Working,0.35579,74,173,0.28424,0.42733
1988,No migration background,Full Time,0.41343,3119,7083,0.40196,0.42490
1988,No migration background,Part Time,0.17197,1325,7083,0.16318,0.18076
1988,No migration background,Not Working,0.41460,2639,7083,0.40313,0.42607
1988,Direct migration background,Full Time,0.44807,1389,2669,0.42919,0.46694
1988,Direct migration background,Part Time,0.18683,469,2669,0.17204,0.20162
1988,Direct migration background,Not Working,0.36511,811,2669,0.34684,0.38338
1988,Indirect migration background,Full Time,0.28013,72,220,0.22066,0.33961
1988,Indirect migration background,Part Time,0.30785,51,220,0.24672,0.36899
1988,Indirect migration background,Not Working,0.41201,97,220,0.34682,0.47720
1989,No migration background,Full Time,0.42345,3079,6819,0.41172,0.43518
1989,No migration background,Part Time,0.16449,1236,6819,0.15569,0.17329
1989,No migration background,Not Working,0.41206,2504,6819,0.40037,0.42374
1989,Direct migration background,Full Time,0.45169,1364,2588,0.43252,0.47087
1989,Direct migration background,Part Time,0.16649,418,2588,0.15213,0.18084
1989,Direct migration background,Not Working,0.38182,806,2588,0.36310,0.40054
1989,Indirect migration background,Full Time,0.31745,96,257,0.26042,0.37447
1989,Indirect migration background,Part Time,0.23880,54,257,0.18657,0.29103
1989,Indirect migration background,Not Working,0.44375,107,257,0.38289,0.50461
1990,No migration background,Full Time,0.42880,3001,6638,0.41689,0.44070
1990,No migration background,Part Time,0.17469,1241,6638,0.16555,0.18382
1990,No migration background,Not Working,0.39652,2396,6638,0.38475,0.40829
1990,Direct migration background,Full Time,0.46629,1327,2532,0.44686,0.48573
1990,Direct migration background,Part Time,0.15925,405,2532,0.14500,0.17351
1990,Direct migration background,Not Working,0.37445,800,2532,0.35560,0.39331
1990,Indirect migration background,Full Time,0.25200,96,293,0.20220,0.30180
1990,Indirect migration background,Part Time,0.30641,80,293,0.25353,0.35929
1990,Indirect migration background,Not Working,0.44159,117,293,0.38463,0.49854
1991,No migration background,Full Time,0.42523,2972,6583,0.41329,0.43718
1991,No migration background,Part Time,0.17650,1258,6583,0.16729,0.18572
1991,No migration background,Not Working,0.39826,2353,6583,0.38643,0.41009
1991,Direct migration background,Full Time,0.46968,1313,2482,0.45004,0.48932
1991,Direct migration background,Part Time,0.17599,412,2482,0.16101,0.19098
1991,Direct migration background,Not Working,0.35433,757,2482,0.33551,0.37315
1991,Indirect migration background,Full Time,0.31660,131,344,0.26738,0.36583
1991,Indirect migration background,Part Time,0.29593,82,344,0.24762,0.34424
1991,Indirect migration background,Not Working,0.38746,131,344,0.33591,0.43902
1992,No migration background,Full Time,0.44173,5080,10360,0.43217,0.45130
1992,No migration background,Part Time,0.17870,2001,10360,0.17132,0.18607
1992,No migration background,Not Working,0.37957,3279,10360,0.37022,0.38892
1992,Direct migration background,Full Time,0.47705,1334,2552,0.45766,0.49643
1992,Direct migration background,Part Time,0.16208,416,2552,0.14778,0.17638
1992,Direct migration background,Not Working,0.36087,802,2552,0.34223,0.37951
1992,Indirect migration background,Full Time,0.36655,165,405,0.31956,0.41354
1992,Indirect migration background,Part Time,0.23972,85,405,0.19809,0.28135
1992,Indirect migration background,Not Working,0.39373,155,405,0.34609,0.44137
1993,No migration background,Full Time,0.43193,4829,10159,0.42229,0.44156
1993,No migration background,Part Time,0.17559,1904,10159,0.16819,0.18299
1993,No migration background,Not Working,0.39248,3426,10159,0.38298,0.40198
1993,Direct migration background,Full Time,0.45286,1243,2477,0.43325,0.47246
1993,Direct migration background,Part Time,0.18019,421,2477,0.16505,0.19533
1993,Direct migration background,Not Working,0.36695,813,2477,0.34797,0.38594
1993,Indirect migration background,Full Time,0.33972,176,467,0.29672,0.38273
1993,Indirect migration background,Part Time,0.26695,126,467,0.22679,0.30712
1993,Indirect migration background,Not Working,0.39332,165,467,0.34897,0.43768
1994,No migration background,Full Time,0.42022,4653,10026,0.41056,0.42989
1994,No migration background,Part Time,0.17262,1834,10026,0.16522,0.18002
1994,No migration background,Not Working,0.40716,3539,10026,0.39754,0.41678
1994,Direct migration background,Full Time,0.42360,1102,2358,0.40366,0.44355
1994,Direct migration background,Part Time,0.18305,421,2358,0.16744,0.19866
1994,Direct migration background,Not Working,0.39334,835,2358,0.37362,0.41306
1994,Indirect migration background,Full Time,0.37575,211,490,0.33282,0.41868
1994,Indirect migration background,Part Time,0.23306,107,490,0.19559,0.27054
