year,quintil_oecd,sampreg,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,West,Full Time,0.14392,640,2490,0.13013,0.15771
1984,1st Quintile,West,Part Time,0.09724,342,2490,0.08560,0.10888
1984,1st Quintile,West,Not Working,0.52747,1508,2490,0.50786,0.54709
1984,2nd Quintile,West,Full Time,0.26638,951,2399,0.24868,0.28407
1984,2nd Quintile,West,Part Time,0.12064,387,2399,0.10761,0.13368
1984,2nd Quintile,West,Not Working,0.40656,1061,2399,0.38690,0.42622
1984,3rd Quintile,West,Full Time,0.33965,1134,2355,0.32052,0.35878
1984,3rd Quintile,West,Part Time,0.13499,391,2355,0.12118,0.14879
1984,3rd Quintile,West,Not Working,0.34298,830,2355,0.32381,0.36216
1984,4th Quintile,West,Full Time,0.42051,1393,2485,0.40110,0.43993
1984,4th Quintile,West,Part Time,0.13672,388,2485,0.12321,0.15023
1984,4th Quintile,West,Not Working,0.29747,704,2485,0.27949,0.31544
1984,5th Quintile,West,Full Time,0.52602,1511,2419,0.50612,0.54592
1984,5th Quintile,West,Part Time,0.13849,380,2419,0.12473,0.15226
1984,5th Quintile,West,Not Working,0.23184,528,2419,0.21502,0.24866
1985,1st Quintile,West,Full Time,0.14921,585,2257,0.13451,0.16391
1985,1st Quintile,West,Part Time,0.11739,363,2257,0.10411,0.13067
1985,1st Quintile,West,Not Working,0.50856,1309,2257,0.48793,0.52919
1985,2nd Quintile,West,Full Time,0.24571,815,2159,0.22755,0.26387
1985,2nd Quintile,West,Part Time,0.13106,366,2159,0.11683,0.14530
1985,2nd Quintile,West,Not Working,0.42036,978,2159,0.39953,0.44118
1985,3rd Quintile,West,Full Time,0.34314,1040,2207,0.32333,0.36295
1985,3rd Quintile,West,Part Time,0.13517,378,2207,0.12090,0.14944
1985,3rd Quintile,West,Not Working,0.36468,789,2207,0.34459,0.38476
1985,4th Quintile,West,Full Time,0.42400,1189,2213,0.40341,0.44460
1985,4th Quintile,West,Part Time,0.15336,403,2213,0.13834,0.16837
1985,4th Quintile,West,Not Working,0.29498,621,2213,0.27597,0.31398
1985,5th Quintile,West,Full Time,0.51430,1318,2182,0.49332,0.53528
1985,5th Quintile,West,Part Time,0.14375,351,2182,0.12902,0.15847
1985,5th Quintile,West,Not Working,0.24703,513,2182,0.22893,0.26513
1986,1st Quintile,West,Full Time,0.13580,522,2074,0.12105,0.15055
1986,1st Quintile,West,Part Time,0.11464,319,2074,0.10092,0.12835
1986,1st Quintile,West,Not Working,0.53108,1233,2074,0.50960,0.55257
1986,2nd Quintile,West,Full Time,0.25432,805,2093,0.23566,0.27298
1986,2nd Quintile,West,Part Time,0.11805,362,2093,0.10422,0.13188
1986,2nd Quintile,West,Not Working,0.41996,926,2093,0.39881,0.44111
1986,3rd Quintile,West,Full Time,0.34368,986,2099,0.32335,0.36400
1986,3rd Quintile,West,Part Time,0.15792,410,2099,0.14231,0.17352
1986,3rd Quintile,West,Not Working,0.33004,703,2099,0.30992,0.35016
1986,4th Quintile,West,Full Time,0.45057,1237,2218,0.42986,0.47128
1986,4th Quintile,West,Part Time,0.14265,386,2218,0.12810,0.15721
1986,4th Quintile,West,Not Working,0.28399,595,2218,0.26522,0.30276
1986,5th Quintile,West,Full Time,0.52696,1285,2095,0.50557,0.54834
1986,5th Quintile,West,Part Time,0.14857,346,2095,0.13334,0.16381
1986,5th Quintile,West,Not Working,0.22905,464,2095,0.21105,0.24705
1987,1st Quintile,West,Full Time,0.13512,495,2036,0.12027,0.14998
1987,1st Quintile,West,Part Time,0.11573,325,2036,0.10183,0.12963
1987,1st Quintile,West,Not Working,0.53333,1216,2036,0.51165,0.55501
1987,2nd Quintile,West,Full Time,0.26884,829,2064,0.24971,0.28797
1987,2nd Quintile,West,Part Time,0.13589,384,2064,0.12110,0.15068
1987,2nd Quintile,West,Not Working,0.38260,851,2064,0.36163,0.40358
1987,3rd Quintile,West,Full Time,0.34571,1004,2104,0.32539,0.36604
1987,3rd Quintile,West,Part Time,0.14978,403,2104,0.13453,0.16504
1987,3rd Quintile,West,Not Working,0.33159,697,2104,0.31147,0.35171
1987,4th Quintile,West,Full Time,0.45462,1212,2157,0.43360,0.47564
1987,4th Quintile,West,Part Time,0.16021,386,2157,0.14473,0.17570
1987,4th Quintile,West,Not Working,0.26146,559,2157,0.24291,0.28001
1987,5th Quintile,West,Full Time,0.55059,1331,2091,0.52927,0.57192
1987,5th Quintile,West,Part Time,0.13039,311,2091,0.11595,0.14483
1987,5th Quintile,West,Not Working,0.22018,449,2091,0.20241,0.23794
1988,1st Quintile,West,Full Time,0.13743,482,1973,0.12223,0.15263
1988,1st Quintile,West,Part Time,0.12623,356,1973,0.11157,0.14088
1988,1st Quintile,West,Not Working,0.51400,1135,1973,0.49194,0.53606
1988,2nd Quintile,West,Full Time,0.24643,764,1984,0.22747,0.26540
1988,2nd Quintile,West,Part Time,0.12802,369,1984,0.11332,0.14273
1988,2nd Quintile,West,Not Working,0.41156,851,1984,0.38990,0.43322
1988,3rd Quintile,West,Full Time,0.35907,975,2006,0.33807,0.38006
1988,3rd Quintile,West,Part Time,0.16509,411,2006,0.14884,0.18134
1988,3rd Quintile,West,Not Working,0.30780,620,2006,0.28760,0.32801
1988,4th Quintile,West,Full Time,0.44691,1141,2064,0.42546,0.46837
1988,4th Quintile,West,Part Time,0.16186,387,2064,0.14596,0.17775
1988,4th Quintile,West,Not Working,0.26178,536,2064,0.24281,0.28075
1988,5th Quintile,West,Full Time,0.54856,1218,1943,0.52643,0.57069
1988,5th Quintile,West,Part Time,0.14777,322,1943,0.13199,0.16355
1988,5th Quintile,West,Not Working,0.21401,403,1943,0.19577,0.23225
