year,age_gr,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,17-29 y.,General education,0.08144,540,2225,0.07008,0.09281
2014,17-29 y.,University/ Technical university,0.20627,785,2225,0.18946,0.22309
2014,17-29 y.,Vocational training,0.15653,818,2225,0.14143,0.17163
2014,17-29 y.,Further training/ Retraining,0.01914,82,2225,0.01345,0.02483
2014,30-45 y.,University/ Technical university,0.02735,177,447,0.01222,0.04249
2014,30-45 y.,Vocational training,0.01425,106,447,0.00325,0.02526
2014,30-45 y.,Further training/ Retraining,0.02165,164,447,0.00814,0.03515
2014,46-65 y.,Further training/ Retraining,0.00709,89,89,-0.01044,0.02462
2015,17-29 y.,General education,0.07338,469,2084,0.06219,0.08458
2015,17-29 y.,University/ Technical university,0.19127,768,2084,0.17438,0.20816
2015,17-29 y.,Vocational training,0.15545,761,2084,0.13989,0.17101
2015,17-29 y.,Further training/ Retraining,0.02053,86,2084,0.01444,0.02662
2015,30-45 y.,University/ Technical university,0.02341,138,360,0.00777,0.03905
2015,30-45 y.,Vocational training,0.00983,76,360,-0.00038,0.02004
2015,30-45 y.,Further training/ Retraining,0.02609,146,360,0.00960,0.04259
2015,46-65 y.,Further training/ Retraining,0.00573,53,53,-0.01479,0.02626
2016,17-29 y.,General education,0.07254,460,2045,0.06130,0.08379
2016,17-29 y.,University/ Technical university,0.20641,730,2045,0.18886,0.22395
2016,17-29 y.,Vocational training,0.14956,765,2045,0.13410,0.16502
2016,17-29 y.,Further training/ Retraining,0.02247,90,2045,0.01604,0.02889
2016,30-45 y.,University/ Technical university,0.03132,158,407,0.01438,0.04826
2016,30-45 y.,Vocational training,0.01027,83,407,0.00047,0.02008
2016,30-45 y.,Further training/ Retraining,0.02162,166,407,0.00747,0.03576
2016,46-65 y.,Further training/ Retraining,0.00492,74,74,-0.01113,0.02096
2017,17-29 y.,General education,0.07734,569,2451,0.06677,0.08792
2017,17-29 y.,University/ Technical university,0.20753,902,2451,0.19147,0.22359
2017,17-29 y.,Vocational training,0.15588,878,2451,0.14152,0.17024
2017,17-29 y.,Further training/ Retraining,0.01864,102,2451,0.01328,0.02399
2017,30-45 y.,University/ Technical university,0.03133,175,457,0.01534,0.04732
2017,30-45 y.,Vocational training,0.01091,108,457,0.00138,0.02045
2017,30-45 y.,Further training/ Retraining,0.02007,174,457,0.00720,0.03294
2017,46-65 y.,Further training/ Retraining,0.00660,94,94,-0.00986,0.02306
2018,17-29 y.,General education,0.07141,517,2383,0.06107,0.08175
2018,17-29 y.,University/ Technical university,0.20023,908,2383,0.18416,0.21630
2018,17-29 y.,Vocational training,0.15076,873,2383,0.13639,0.16513
2018,17-29 y.,Further training/ Retraining,0.01498,85,2383,0.01010,0.01985
2018,30-45 y.,University/ Technical university,0.03027,173,464,0.01466,0.04587
2018,30-45 y.,Vocational training,0.00901,115,464,0.00040,0.01762
2018,30-45 y.,Further training/ Retraining,0.02204,176,464,0.00867,0.03542
2018,46-65 y.,Further training/ Retraining,0.00430,84,84,-0.00978,0.01838
2019,17-29 y.,General education,0.06568,438,2188,0.05530,0.07606
2019,17-29 y.,University/ Technical university,0.19736,854,2188,0.18068,0.21404
2019,17-29 y.,Vocational training,0.14591,814,2188,0.13111,0.16071
2019,17-29 y.,Further training/ Retraining,0.01643,82,2188,0.01111,0.02176
2019,30-45 y.,University/ Technical university,0.03221,167,427,0.01545,0.04898
2019,30-45 y.,Vocational training,0.01356,134,427,0.00258,0.02454
2019,30-45 y.,Further training/ Retraining,0.01693,126,427,0.00468,0.02918
2019,46-65 y.,Further training/ Retraining,0.00645,83,83,-0.01088,0.02377
2020,17-29 y.,General education,0.05859,431,2298,0.04898,0.06819
2020,17-29 y.,University/ Technical university,0.20817,868,2298,0.19157,0.22478
2020,17-29 y.,Vocational training,0.15188,915,2298,0.13720,0.16655
2020,17-29 y.,Further training/ Retraining,0.01943,84,2298,0.01379,0.02508
2020,30-45 y.,University/ Technical university,0.03457,181,487,0.01833,0.05082
2020,30-45 y.,Vocational training,0.01424,173,487,0.00371,0.02478
2020,30-45 y.,Further training/ Retraining,0.01373,133,487,0.00339,0.02408
2020,46-65 y.,Further training/ Retraining,0.00532,75,75,-0.01125,0.02189
2021,17-29 y.,General education,0.05629,266,1540,0.04477,0.06780
2021,17-29 y.,University/ Technical university,0.24829,697,1540,0.22670,0.26987
2021,17-29 y.,Vocational training,0.12248,525,1540,0.10610,0.13886
2021,17-29 y.,Further training/ Retraining,0.01115,52,1540,0.00590,0.01639
2021,30-45 y.,University/ Technical university,0.03675,143,357,0.01720,0.05629
2021,30-45 y.,Vocational training,0.01428,106,357,0.00195,0.02660
2021,30-45 y.,Further training/ Retraining,0.01805,108,357,0.00422,0.03188
2021,46-65 y.,Vocational training,0.00231,35,93,-0.00750,0.01212
2021,46-65 y.,Further training/ Retraining,0.00395,58,93,-0.00887,0.01678
