year,migback,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,No migration background,General education,0.01021,344,1853,0.00563,0.01479
2014,No migration background,University/ Technical university,0.03314,673,1853,0.02499,0.04129
2014,No migration background,Vocational training,0.02409,607,1853,0.01711,0.03108
2014,No migration background,Further training/ Retraining,0.00925,229,1853,0.00489,0.01361
2014,Direct migration background,General education,0.00720,65,483,-0.00035,0.01475
2014,Direct migration background,University/ Technical university,0.04679,169,483,0.02793,0.06564
2014,Direct migration background,Vocational training,0.02054,169,483,0.00787,0.03320
2014,Direct migration background,Further training/ Retraining,0.00836,80,483,0.00023,0.01649
2014,Indirect migration background,General education,0.03456,135,471,0.01805,0.05108
2014,Indirect migration background,University/ Technical university,0.04574,133,471,0.02685,0.06462
2014,Indirect migration background,Vocational training,0.05438,172,471,0.03388,0.07488
2014,Indirect migration background,Further training/ Retraining,0.01438,31,471,0.00362,0.02514
2015,No migration background,General education,0.00903,288,1729,0.00457,0.01349
2015,No migration background,University/ Technical university,0.03223,666,1729,0.02390,0.04056
2015,No migration background,Vocational training,0.02280,579,1729,0.01576,0.02983
2015,No migration background,Further training/ Retraining,0.01078,196,1729,0.00591,0.01565
2015,Direct migration background,General education,0.00406,51,337,-0.00274,0.01087
2015,Direct migration background,University/ Technical university,0.02398,123,337,0.00762,0.04033
2015,Direct migration background,Vocational training,0.01602,98,337,0.00259,0.02944
2015,Direct migration background,Further training/ Retraining,0.00770,65,337,-0.00165,0.01705
2015,Indirect migration background,General education,0.03455,133,443,0.01753,0.05158
2015,Indirect migration background,University/ Technical university,0.04925,132,443,0.02907,0.06942
2015,Indirect migration background,Vocational training,0.05541,178,443,0.03408,0.07673
2016,No migration background,General education,0.00985,267,1554,0.00494,0.01476
2016,No migration background,University/ Technical university,0.03432,590,1554,0.02527,0.04338
2016,No migration background,Vocational training,0.02362,528,1554,0.01607,0.03117
2016,No migration background,Further training/ Retraining,0.00853,169,1554,0.00396,0.01311
2016,Direct migration background,General education,0.00607,91,563,-0.00035,0.01249
2016,Direct migration background,University/ Technical university,0.02815,166,563,0.01448,0.04183
2016,Direct migration background,Vocational training,0.01443,172,563,0.00457,0.02430
2016,Direct migration background,Further training/ Retraining,0.01101,134,563,0.00238,0.01964
2016,Indirect migration background,General education,0.02637,108,450,0.01155,0.04119
2016,Indirect migration background,University/ Technical university,0.07254,147,450,0.04855,0.09654
2016,Indirect migration background,Vocational training,0.04871,164,450,0.02880,0.06862
2016,Indirect migration background,Further training/ Retraining,0.01392,31,450,0.00308,0.02475
2017,No migration background,General education,0.01097,342,1899,0.00629,0.01566
2017,No migration background,University/ Technical university,0.03434,744,1899,0.02615,0.04254
2017,No migration background,Vocational training,0.02347,611,1899,0.01666,0.03028
2017,No migration background,Further training/ Retraining,0.00761,202,1899,0.00370,0.01152
2017,Direct migration background,General education,0.00561,120,674,-0.00003,0.01126
2017,Direct migration background,University/ Technical university,0.02626,176,674,0.01418,0.03834
2017,Direct migration background,Vocational training,0.02041,237,674,0.00973,0.03109
2017,Direct migration background,Further training/ Retraining,0.01300,141,674,0.00444,0.02156
2017,Indirect migration background,General education,0.02329,113,444,0.00925,0.03734
2017,Indirect migration background,University/ Technical university,0.07080,175,444,0.04691,0.09468
2017,Indirect migration background,Vocational training,0.04706,156,444,0.02734,0.06678
2018,No migration background,General education,0.00938,280,1768,0.00489,0.01388
2018,No migration background,University/ Technical university,0.03431,746,1768,0.02583,0.04280
2018,No migration background,Vocational training,0.02162,579,1768,0.01484,0.02840
2018,No migration background,Further training/ Retraining,0.00689,163,1768,0.00303,0.01075
2018,Direct migration background,General education,0.00501,133,749,-0.00005,0.01007
2018,Direct migration background,University/ Technical university,0.02669,183,749,0.01514,0.03824
2018,Direct migration background,Vocational training,0.01752,268,749,0.00812,0.02692
2018,Direct migration background,Further training/ Retraining,0.01383,165,749,0.00546,0.02220
2018,Indirect migration background,General education,0.02725,115,433,0.01189,0.04260
2018,Indirect migration background,University/ Technical university,0.05540,169,433,0.03383,0.07697
2018,Indirect migration background,Vocational training,0.04736,149,433,0.02733,0.06739
2019,No migration background,General education,0.00835,247,1739,0.00407,0.01262
2019,No migration background,University/ Technical university,0.03307,748,1739,0.02466,0.04148
2019,No migration background,Vocational training,0.02229,564,1739,0.01535,0.02923
2019,No migration background,Further training/ Retraining,0.00707,180,1739,0.00313,0.01101
2019,Direct migration background,General education,0.00488,96,614,-0.00064,0.01039
2019,Direct migration background,University/ Technical university,0.02795,146,614,0.01490,0.04100
2019,Direct migration background,Vocational training,0.01748,277,614,0.00711,0.02785
2019,Direct migration background,Further training/ Retraining,0.01050,95,614,0.00243,0.01857
2019,Indirect migration background,General education,0.02317,103,386,0.00814,0.03819
2019,Indirect migration background,University/ Technical university,0.05678,148,386,0.03366,0.07989
2019,Indirect migration background,Vocational training,0.04137,135,386,0.02148,0.06127
2020,No migration background,General education,0.00721,224,1645,0.00312,0.01130
2020,No migration background,University/ Technical university,0.03681,756,1645,0.02771,0.04591
2020,No migration background,Vocational training,0.02227,509,1645,0.01513,0.02940
2020,No migration background,Further training/ Retraining,0.00724,156,1645,0.00314,0.01133
2020,Direct migration background,General education,0.00647,118,875,0.00116,0.01179
2020,Direct migration background,University/ Technical university,0.02008,166,875,0.01078,0.02938
2020,Direct migration background,Vocational training,0.01843,466,875,0.00952,0.02735
2020,Direct migration background,Further training/ Retraining,0.00901,125,875,0.00275,0.01528
2020,Indirect migration background,General education,0.01838,97,396,0.00514,0.03163
2020,Indirect migration background,University/ Technical university,0.05576,156,396,0.03313,0.07839
2020,Indirect migration background,Vocational training,0.05075,143,396,0.02910,0.07239
2021,No migration background,General education,0.00778,141,1182,0.00277,0.01278
2021,No migration background,University/ Technical university,0.04282,604,1182,0.03127,0.05436
2021,No migration background,Vocational training,0.01926,324,1182,0.01142,0.02710
2021,No migration background,Further training/ Retraining,0.00607,113,1182,0.00164,0.01049
2021,Direct migration background,General education,0.00591,97,588,-0.00029,0.01211
