year,age_gr,regtyp,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,17-29 y.,Urban regions,General education,0.07839,368,1549,0.06500,0.09178
2014,17-29 y.,Urban regions,University/ Technical university,0.23336,612,1549,0.21229,0.25443
2014,17-29 y.,Urban regions,Vocational training,0.14477,518,1549,0.12724,0.16229
2014,17-29 y.,Urban regions,Further training/ Retraining,0.02059,51,1549,0.01352,0.02766
2014,17-29 y.,Rural regions,General education,0.08869,172,676,0.06724,0.11013
2014,17-29 y.,Rural regions,University/ Technical university,0.14206,173,676,0.11573,0.16840
2014,17-29 y.,Rural regions,Vocational training,0.18443,300,676,0.15517,0.21368
2014,17-29 y.,Rural regions,Further training/ Retraining,0.01570,31,676,0.00632,0.02508
2014,30-45 y.,Urban regions,University/ Technical university,0.03188,145,324,0.01272,0.05105
2014,30-45 y.,Urban regions,Vocational training,0.01325,69,324,0.00078,0.02572
2014,30-45 y.,Urban regions,Further training/ Retraining,0.02042,110,324,0.00500,0.03585
2014,30-45 y.,Rural regions,University/ Technical university,0.01634,32,123,-0.00616,0.03883
2014,30-45 y.,Rural regions,Vocational training,0.01670,37,123,-0.00604,0.03944
2014,30-45 y.,Rural regions,Further training/ Retraining,0.02463,54,123,-0.00288,0.05213
2014,46-65 y.,Urban regions,Further training/ Retraining,0.00655,52,52,-0.01559,0.02868
2014,46-65 y.,Rural regions,Further training/ Retraining,0.00805,37,37,-0.02114,0.03723
2015,17-29 y.,Urban regions,General education,0.07111,322,1437,0.05782,0.08440
2015,17-29 y.,Urban regions,University/ Technical university,0.21585,595,1437,0.19457,0.23712
2015,17-29 y.,Urban regions,Vocational training,0.14527,465,1437,0.12704,0.16350
2015,17-29 y.,Urban regions,Further training/ Retraining,0.02003,55,1437,0.01278,0.02727
2015,17-29 y.,Rural regions,General education,0.07885,147,647,0.05806,0.09963
2015,17-29 y.,Rural regions,University/ Technical university,0.13221,173,647,0.10609,0.15833
2015,17-29 y.,Rural regions,Vocational training,0.17990,296,647,0.15028,0.20952
2015,17-29 y.,Rural regions,Further training/ Retraining,0.02175,31,647,0.01050,0.03299
2015,30-45 y.,Urban regions,University/ Technical university,0.02628,108,258,0.00672,0.04584
2015,30-45 y.,Urban regions,Vocational training,0.01161,51,258,-0.00148,0.02471
2015,30-45 y.,Urban regions,Further training/ Retraining,0.02831,99,258,0.00803,0.04859
2015,30-45 y.,Rural regions,Further training/ Retraining,0.02078,47,47,-0.02044,0.06200
2015,46-65 y.,Urban regions,Further training/ Retraining,0.00552,39,39,-0.01804,0.02908
2016,17-29 y.,Urban regions,General education,0.07333,347,1450,0.05991,0.08675
