year,regtyp,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,Urban regions,General education,0.01183,370,1962,0.00705,0.01662
2014,Urban regions,University/ Technical university,0.04242,769,1962,0.03350,0.05134
2014,Urban regions,Vocational training,0.02524,606,1962,0.01830,0.03219
2014,Urban regions,Further training/ Retraining,0.00952,217,1962,0.00522,0.01382
2014,Rural regions,General education,0.01199,174,845,0.00465,0.01934
2014,Rural regions,University/ Technical university,0.02217,206,845,0.01224,0.03210
2014,Rural regions,Vocational training,0.02821,342,845,0.01704,0.03938
2014,Rural regions,Further training/ Retraining,0.00968,123,845,0.00307,0.01628
2015,Urban regions,General education,0.01058,323,1764,0.00580,0.01535
2015,Urban regions,University/ Technical university,0.03834,717,1764,0.02937,0.04730
2015,Urban regions,Vocational training,0.02453,529,1764,0.01731,0.03175
2015,Urban regions,Further training/ Retraining,0.01087,195,1764,0.00603,0.01571
2015,Rural regions,General education,0.01045,149,772,0.00327,0.01762
2015,Rural regions,University/ Technical university,0.02041,204,772,0.01043,0.03039
2015,Rural regions,Vocational training,0.02495,326,772,0.01394,0.03596
2015,Rural regions,Further training/ Retraining,0.00905,93,772,0.00236,0.01573
2016,Urban regions,General education,0.01151,353,1855,0.00666,0.01637
2016,Urban regions,University/ Technical university,0.04418,731,1855,0.03483,0.05353
2016,Urban regions,Vocational training,0.02443,527,1855,0.01741,0.03146
2016,Urban regions,Further training/ Retraining,0.01071,244,1855,0.00603,0.01540
2016,Rural regions,General education,0.00925,113,712,0.00221,0.01628
2016,Rural regions,University/ Technical university,0.02126,172,712,0.01066,0.03186
2016,Rural regions,Vocational training,0.02489,337,712,0.01344,0.03634
2016,Rural regions,Further training/ Retraining,0.00643,90,712,0.00056,0.01231
2017,Urban regions,General education,0.01230,408,2156,0.00765,0.01696
2017,Urban regions,University/ Technical university,0.04311,853,2156,0.03453,0.05169
2017,Urban regions,Vocational training,0.02577,632,2156,0.01908,0.03246
2017,Urban regions,Further training/ Retraining,0.00956,263,2156,0.00545,0.01366
2017,Rural regions,General education,0.00929,167,890,0.00299,0.01560
2017,Rural regions,University/ Technical university,0.02221,242,890,0.01252,0.03189
2017,Rural regions,Vocational training,0.02395,372,890,0.01390,0.03401
2017,Rural regions,Further training/ Retraining,0.00697,109,890,0.00150,0.01244
2018,Urban regions,General education,0.01209,383,2138,0.00746,0.01673
2018,Urban regions,University/ Technical university,0.04100,865,2138,0.03259,0.04941
2018,Urban regions,Vocational training,0.02508,649,2138,0.01845,0.03171
2018,Urban regions,Further training/ Retraining,0.00939,241,2138,0.00530,0.01348
2018,Rural regions,General education,0.00677,145,834,0.00120,0.01234
2018,Rural regions,University/ Technical university,0.02242,233,834,0.01237,0.03248
2018,Rural regions,Vocational training,0.01984,347,834,0.01037,0.02930
2018,Rural regions,Further training/ Retraining,0.00496,109,834,0.00019,0.00973
2019,Urban regions,General education,0.01062,328,1929,0.00604,0.01519
2019,Urban regions,University/ Technical university,0.03867,773,1929,0.03006,0.04728
2019,Urban regions,Vocational training,0.02434,633,1929,0.01746,0.03122
2019,Urban regions,Further training/ Retraining,0.00874,195,1929,0.00458,0.01289
2019,Rural regions,General education,0.00652,115,746,0.00074,0.01230
2019,Rural regions,University/ Technical university,0.02177,212,746,0.01129,0.03224
2019,Rural regions,Vocational training,0.02071,322,746,0.01049,0.03094
2019,Rural regions,Further training/ Retraining,0.00577,97,746,0.00033,0.01121
2020,Urban regions,General education,0.00845,333,2180,0.00460,0.01229
2020,Urban regions,University/ Technical university,0.04249,867,2180,0.03402,0.05096
2020,Urban regions,Vocational training,0.02536,763,2180,0.01876,0.03196
2020,Urban regions,Further training/ Retraining,0.00785,217,2180,0.00415,0.01156
2020,Rural regions,General education,0.00746,106,752,0.00130,0.01361
2020,Rural regions,University/ Technical university,0.02319,211,752,0.01243,0.03396
2020,Rural regions,Vocational training,0.02223,355,752,0.01169,0.03278
2020,Rural regions,Further training/ Retraining,0.00619,80,752,0.00058,0.01180
2021,Urban regions,General education,0.00710,198,1508,0.00286,0.01134
2021,Urban regions,University/ Technical university,0.05126,704,1508,0.04013,0.06239
2021,Urban regions,Vocational training,0.01948,443,1508,0.01250,0.02645
2021,Urban regions,Further training/ Retraining,0.00773,163,1508,0.00331,0.01216
2021,Rural regions,General education,0.00875,79,516,0.00071,0.01680
2021,Rural regions,University/ Technical university,0.02082,157,516,0.00849,0.03315
2021,Rural regions,Vocational training,0.02177,224,516,0.00917,0.03438
2021,Rural regions,Further training/ Retraining,0.00371,56,516,-0.00154,0.00897
