"year","regtyp","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"2008","Laendlicher Raum","maennlich","6.86","6.5","3218","3","5","8","10","10","6.78","6.94","0","10","7","8"
"2008","Laendlicher Raum","weiblich","6.6","6.5","3456","3","5","8","9","10","6.52","6.68","0","10","7","7"
"2008","Staedtischer Raum","maennlich","6.92","6.5","5972","4","5","9","10","10","6.86","6.98","0","10","7","8"
"2008","Staedtischer Raum","weiblich","6.6","6.5","6639","3","5","8","9","10","6.54","6.66","0","10","7","7"
"2009","Laendlicher Raum","maennlich","6.87","6.5","3076","4","5","8","10","10","6.79","6.95","0","10","7","7"
"2009","Laendlicher Raum","weiblich","6.55","6.5","3277","3","5","8","9","10","6.47","6.63","0","10","7","7"
"2009","Staedtischer Raum","maennlich","6.85","6.5","5513","3","5","9","10","10","6.79","6.91","0","10","7","8"
"2009","Staedtischer Raum","weiblich","6.6","6.5","6121","3","5","8","9","10","6.54","6.66","0","10","7","7"
"2010","Laendlicher Raum","maennlich","6.76","6.5","3847","3","5","8","10","10","6.69","6.83","0","10","7","7"
"2010","Laendlicher Raum","weiblich","6.53","6.5","4515","3","5","8","9","10","6.46","6.6","0","10","7","7"
"2010","Staedtischer Raum","maennlich","6.91","6.5","7047","4","5","9","10","10","6.86","6.96","0","10","7","8"
"2010","Staedtischer Raum","weiblich","6.56","6.5","8515","3","5","8","10","10","6.51","6.61","0","10","7","7"
"2011","Laendlicher Raum","maennlich","6.88","6.5","4225","4","5","8","10","10","6.81","6.95","0","10","7","8"
"2011","Laendlicher Raum","weiblich","6.48","6.5","5039","3","5","8","9","10","6.41","6.55","0","10","7","7"
"2011","Staedtischer Raum","maennlich","6.87","6.5","7404","4","5","9","10","10","6.82","6.92","0","10","7","7"
"2011","Staedtischer Raum","weiblich","6.59","6.5","9112","3","5","8","10","10","6.54","6.64","0","10","7","7"
"2012","Laendlicher Raum","maennlich","6.9","6.5","4432","4","5","8","10","10","6.84","6.96","0","10","7","7"
"2012","Laendlicher Raum","weiblich","6.5","6.5","5228","3","5","8","10","10","6.44","6.56","0","10","7","7"
"2012","Staedtischer Raum","maennlich","6.86","6.5","7539","3","5","8","10","10","6.81","6.91","0","10","7","7"
"2012","Staedtischer Raum","weiblich","6.6","6.5","9205","3","5","8","10","10","6.55","6.65","0","10","7","7"
"2013","Laendlicher Raum","maennlich","6.91","6.5","4303","4","6","8","10","10","6.85","6.97","0","10","7","8"
"2013","Laendlicher Raum","weiblich","6.48","6.5","5089","3","5","8","9","10","6.42","6.54","0","10","7","7"
"2013","Staedtischer Raum","maennlich","6.85","6.5","7308","3","5","9","10","10","6.8","6.9","0","10","7","7"
"2013","Staedtischer Raum","weiblich","6.58","6.5","8953","3","5","8","9","10","6.53","6.63","0","10","7","7"
"2014","Laendlicher Raum","maennlich","6.86","6.5","4386","4","5","8","10","10","6.8","6.92","0","10","7","7"
"2014","Laendlicher Raum","weiblich","6.49","6.5","5078","3","5","8","9","10","6.43","6.55","0","10","7","7"
"2014","Staedtischer Raum","maennlich","6.86","6.5","8037","3","5","9","10","10","6.81","6.91","0","10","7","7"
"2014","Staedtischer Raum","weiblich","6.56","6.5","9558","3","5","8","10","10","6.51","6.61","0","10","7","7"
"2015","Laendlicher Raum","maennlich","6.78","6.5","4090","4","5","8","9","10","6.71","6.85","0","10","7","7"
"2015","Laendlicher Raum","weiblich","6.52","6.5","4786","3","5","8","9","10","6.46","6.58","0","10","7","7"
"2015","Staedtischer Raum","maennlich","6.93","6.5","7350","4","5","9","10","10","6.88","6.98","0","10","7","7"
"2015","Staedtischer Raum","weiblich","6.58","6.5","8778","3","5","8","9","10","6.53","6.63","0","10","7","7"
"2016","Laendlicher Raum","maennlich","6.84","6.5","3935","4","5","8","10","10","6.77","6.91","0","10","7","7"
