"year","alter_gr","bildungsniveau","mean","median","n","lower_confidence","upper_confidence"
"2008","16-34 Jahre alt","(Fach-)Abitur","","","","",""
"2008","16-34 Jahre alt","(noch) kein Abschluss","7.55","8","388","7.34","7.76"
"2008","16-34 Jahre alt","AkademikerInnen","7.39","8","531","7.23","7.55"
"2008","16-34 Jahre alt","Hauptschulabschluss","7.26","8","727","7.09","7.43"
"2008","16-34 Jahre alt","Realschulabschluss","","","","",""
"2008","35-65 Jahre alt","(Fach-)Abitur","6.71","7","989","6.57","6.85"
"2008","35-65 Jahre alt","(noch) kein Abschluss","","","","",""
"2008","35-65 Jahre alt","AkademikerInnen","","","","",""
"2008","35-65 Jahre alt","Hauptschulabschluss","6.48","7","3465","6.4","6.56"
"2008","35-65 Jahre alt","Realschulabschluss","6.57","7","3303","6.49","6.65"
"2008","66 und Ã¤lter","(Fach-)Abitur","","","","",""
"2008","66 und Ã¤lter","(noch) kein Abschluss","6.39","7","56","5.79","6.99"
"2008","66 und Ã¤lter","AkademikerInnen","6.81","7","876","6.67","6.95"
"2008","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"2008","66 und Ã¤lter","Realschulabschluss","6.63","7","559","6.44","6.82"
"2009","16-34 Jahre alt","(Fach-)Abitur","7.29","8","935","7.16","7.42"
"2009","16-34 Jahre alt","(noch) kein Abschluss","7.59","8","337","7.38","7.8"
"2009","16-34 Jahre alt","AkademikerInnen","7.33","8","540","7.16","7.5"
"2009","16-34 Jahre alt","Hauptschulabschluss","7.28","8","633","7.11","7.45"
"2009","16-34 Jahre alt","Realschulabschluss","","","","",""
"2009","35-65 Jahre alt","(Fach-)Abitur","6.62","7","916","6.47","6.77"
"2009","35-65 Jahre alt","(noch) kein Abschluss","5.69","5","91","5.17","6.21"
"2009","35-65 Jahre alt","AkademikerInnen","","","","",""
"2009","35-65 Jahre alt","Hauptschulabschluss","6.46","7","3098","6.38","6.54"
"2009","35-65 Jahre alt","Realschulabschluss","6.56","7","3134","6.48","6.64"
"2009","66 und Ã¤lter","(Fach-)Abitur","","","","",""
"2009","66 und Ã¤lter","(noch) kein Abschluss","6.12","7","55","5.48","6.76"
"2009","66 und Ã¤lter","AkademikerInnen","6.58","7","888","6.43","6.73"
"2009","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"2009","66 und Ã¤lter","Realschulabschluss","6.6","7","567","6.41","6.79"
"2010","16-34 Jahre alt","(Fach-)Abitur","","","","",""
"2010","16-34 Jahre alt","(noch) kein Abschluss","7.15","8","551","6.97","7.33"
"2010","16-34 Jahre alt","AkademikerInnen","7.24","8","921","7.1","7.38"
"2010","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"2010","16-34 Jahre alt","Realschulabschluss","","","","",""
"2010","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"2010","35-65 Jahre alt","(noch) kein Abschluss","","","","",""
"2010","35-65 Jahre alt","AkademikerInnen","6.92","7","3556","6.85","6.99"
"2010","35-65 Jahre alt","Hauptschulabschluss","6.37","7","3832","6.29","6.45"
"2010","35-65 Jahre alt","Realschulabschluss","6.62","7","4222","6.55","6.69"
"2010","66 und Ã¤lter","(Fach-)Abitur","","","","",""
"2010","66 und Ã¤lter","(noch) kein Abschluss","5.62","5","50","4.94","6.3"
"2010","66 und Ã¤lter","AkademikerInnen","6.69","7","902","6.54","6.84"
"2010","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"2010","66 und Ã¤lter","Realschulabschluss","6.51","7","586","6.33","6.69"
"2011","16-34 Jahre alt","(Fach-)Abitur","","","","",""
"2011","16-34 Jahre alt","(noch) kein Abschluss","7.32","8","550","7.13","7.51"
"2011","16-34 Jahre alt","AkademikerInnen","7.43","8","871","7.29","7.57"
"2011","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"2011","16-34 Jahre alt","Realschulabschluss","","","","",""
"2011","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"2011","35-65 Jahre alt","(noch) kein Abschluss","","","","",""
"2011","35-65 Jahre alt","AkademikerInnen","6.93","7","3914","6.86","7"
"2011","35-65 Jahre alt","Hauptschulabschluss","6.38","7","4196","6.31","6.45"
"2011","35-65 Jahre alt","Realschulabschluss","6.59","7","4779","6.52","6.66"
"2011","66 und Ã¤lter","(Fach-)Abitur","","","","",""
"2011","66 und Ã¤lter","(noch) kein Abschluss","6.18","6","61","5.65","6.71"
"2011","66 und Ã¤lter","AkademikerInnen","6.8","7","983","6.66","6.94"
"2011","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"2011","66 und Ã¤lter","Realschulabschluss","6.55","7","684","6.38","6.72"
"2012","16-34 Jahre alt","(Fach-)Abitur","","","","",""
"2012","16-34 Jahre alt","(noch) kein Abschluss","7.17","8","574","7","7.34"
"2012","16-34 Jahre alt","AkademikerInnen","7.47","8","845","7.34","7.6"
"2012","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"2012","16-34 Jahre alt","Realschulabschluss","","","","",""
"2012","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"2012","35-65 Jahre alt","(noch) kein Abschluss","","","","",""
"2012","35-65 Jahre alt","AkademikerInnen","6.96","7","3979","6.89","7.03"
"2012","35-65 Jahre alt","Hauptschulabschluss","6.37","7","4328","6.3","6.44"
