"year","bildungsniveau","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"2008","(Fach-)Abitur","Ostdeutschland","6.72","6.5","363","4","5","8","10","10","6.51","6.93","1","10","7","8"
"2008","(Fach-)Abitur","Westdeutschland","6.93","6.5","1805","3","5","9","10","10","6.83","7.03","0","10","7","8"
"2008","(noch) kein Abschluss","Ostdeutschland","7.15","7.5","100","4","6","9","10","10","6.75","7.55","2","10","7","8"
"2008","(noch) kein Abschluss","Westdeutschland","6.94","6.5","443","3","5","9","10","10","6.72","7.16","0","10","7","8"
"2008","AkademikerIn","Ostdeutschland","6.65","6.5","1239","4","5","8","9","10","6.53","6.77","0","10","7","7"
"2008","AkademikerIn","Westdeutschland","7.05","6.5","2948","4","6","9","10","10","6.97","7.13","0","10","7","8"
"2008","Hauptschule","Ostdeutschland","6.3","6.5","1193","3","5","8","9","10","6.17","6.43","0","10","6","7"
"2008","Hauptschule","Westdeutschland","6.57","6.5","5608","3","5","8","10","10","6.51","6.63","0","10","7","7"
"2008","Realschule","Ostdeutschland","6.57","6.5","1749","3","5","8","9","10","6.46","6.68","0","10","7","7"
"2008","Realschule","Westdeutschland","6.82","6.5","3365","3","5","8","10","10","6.74","6.9","0","10","7","7"
"2009","(Fach-)Abitur","Ostdeutschland","6.94","6.5","345","4","6","8","10","10","6.72","7.16","0","10","7","8"
"2009","(Fach-)Abitur","Westdeutschland","6.91","6.5","1655","4","5","9","9","10","6.8","7.02","0","10","7","8"
"2009","(noch) kein Abschluss","Ostdeutschland","7.41","7.5","71","6","6","9","10","10","6.91","7.91","0","10","7","8"
"2009","(noch) kein Abschluss","Westdeutschland","6.88","6.5","409","3","5","9","10","10","6.66","7.1","0","10","7","8"
"2009","AkademikerIn","Ostdeutschland","6.56","6.5","1205","3","5","8","9","10","6.43","6.69","0","10","7","7"
"2009","AkademikerIn","Westdeutschland","7.07","7.5","2825","4","6","9","10","10","6.99","7.15","0","10","7","8"
"2009","Hauptschule","Ostdeutschland","6.29","6.5","1116","3","5","8","9","10","6.15","6.43","0","10","6","7"
"2009","Hauptschule","Westdeutschland","6.5","6.5","5084","3","5","8","9","10","6.44","6.56","0","10","7","7"
"2009","Realschule","Ostdeutschland","6.61","6.5","1667","3","5","8","9","10","6.5","6.72","0","10","7","7"
"2009","Realschule","Westdeutschland","6.73","6.5","3141","3","5","8","9","10","6.65","6.81","0","10","7","7"
"2010","(Fach-)Abitur","Ostdeutschland","7.02","6.5","498","4","6","9","9","10","6.83","7.21","0","10","7","8"
"2010","(Fach-)Abitur","Westdeutschland","7","6.5","2559","4","6","9","10","10","6.91","7.09","0","10","7","8"
"2010","(noch) kein Abschluss","Ostdeutschland","7.57","7.5","84","4","7","9","10","10","7.09","8.05","1","10","7","8"
"2010","(noch) kein Abschluss","Westdeutschland","6.53","6.5","687","3","4","8","10","10","6.35","6.71","0","10","7","8"
"2010","AkademikerIn","Ostdeutschland","6.59","6.5","1394","3","5","8","9","10","6.47","6.71","0","10","7","7"
"2010","AkademikerIn","Westdeutschland","7.04","6.5","3975","4","6","9","10","10","6.97","7.11","0","10","7","8"
