"year","migback","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2008","direkter Migrationshintergrund","6.62","6.5","1905","3","5","8","10","10","6.52","6.72","0","10","7","7"
"2008","indirekter Migrationshintergrund","7.01","6.5","768","4","5","9","10","10","6.85","7.17","0","10","7","8"
"2008","kein Migrationshintergrund","6.75","6.5","16612","3","5","8","10","10","6.72","6.78","0","10","7","7"
"2008","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2009","direkter Migrationshintergrund","6.58","6.5","1655","3","5","8","9","10","6.47","6.69","0","10","7","7"
"2009","indirekter Migrationshintergrund","7.18","7.5","709","4","6","9","10","10","7.02","7.34","0","10","7","8"
"2009","kein Migrationshintergrund","6.71","6.5","15623","3","5","8","9","10","6.67","6.75","0","10","7","7"
"2009","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2010","direkter Migrationshintergrund","6.67","6.5","2898","3","5","8","10","10","6.58","6.76","0","10","7","7"
"2010","indirekter Migrationshintergrund","6.97","6.5","1143","4","5","9","10","10","6.83","7.11","0","10","7","8"
"2010","kein Migrationshintergrund","6.69","6.5","19883","3","5","8","10","10","6.66","6.72","0","10","7","7"
"2010","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2011","direkter Migrationshintergrund","6.62","6.5","2907","3","5","8","10","10","6.53","6.71","0","10","7","7"
"2011","indirekter Migrationshintergrund","7.08","6.5","1212","4","6","9","10","10","6.95","7.21","0","10","7","8"
"2011","kein Migrationshintergrund","6.7","6.5","21661","3","5","8","10","10","6.67","6.73","0","10","7","7"
"2011","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2012","direkter Migrationshintergrund","6.73","6.5","2903","3","5","8","10","10","6.65","6.81","0","10","7","7"
"2012","indirekter Migrationshintergrund","6.89","6.5","1219","4","5","9","10","10","6.76","7.02","0","10","7","7"
"2012","kein Migrationshintergrund","6.7","6.5","22282","3","5","8","10","10","6.67","6.73","0","10","7","7"
"2012","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2013","direkter Migrationshintergrund","6.58","6.5","2695","3","5","8","10","10","6.49","6.67","0","10","7","7"
"2013","indirekter Migrationshintergrund","7","6.5","1199","4","6","9","10","10","6.87","7.13","0","10","7","7"
"2013","kein Migrationshintergrund","6.71","6.5","21759","3","5","8","9","10","6.68","6.74","0","10","7","7"
"2013","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2014","direkter Migrationshintergrund","6.71","6.5","5114","3","5","9","10","10","6.65","6.77","0","10","7","7"
"2014","indirekter Migrationshintergrund","6.98","6.5","1786","4","5","9","10","10","6.88","7.08","0","10","7","7"
"2014","kein Migrationshintergrund","6.68","6.5","20159","3","5","8","9","10","6.65","6.71","0","10","7","7"
"2014","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2015","direkter Migrationshintergrund","6.7","6.5","4304","3","5","8","10","10","6.63","6.77","0","10","7","7"
"2015","indirekter Migrationshintergrund","7.08","6.5","1621","4","6","9","10","10","6.97","7.19","0","10","7","7"
"2015","kein Migrationshintergrund","6.7","6.5","19079","3","5","8","9","10","6.67","6.73","0","10","7","7"
"2015","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2016","direkter Migrationshintergrund","6.77","6.5","4769","3","5","8","10","10","6.7","6.84","0","10","7","8"
"2016","indirekter Migrationshintergrund","6.96","6.5","1541","4","6","8","10","10","6.85","7.07","0","10","7","7"
"2016","kein Migrationshintergrund","6.66","6.5","17810","3","5","8","9","10","6.63","6.69","0","10","7","7"
"2016","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2017","direkter Migrationshintergrund","6.63","6.5","4551","3","5","8","10","10","6.56","6.7","0","10","7","7"
"2017","indirekter Migrationshintergrund","6.8","6.5","1677","4","5","8","10","10","6.69","6.91","0","10","7","7"
"2017","kein Migrationshintergrund","6.61","6.5","20172","3","5","8","9","10","6.58","6.64","0","10","7","7"
"2017","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2018","direkter Migrationshintergrund","6.48","6.5","4372","3","5","8","9","10","6.41","6.55","0","10","7","7"
"2018","indirekter Migrationshintergrund","6.72","6.5","1696","3","5","8","10","10","6.61","6.83","0","10","7","7"
"2018","kein Migrationshintergrund","6.53","6.5","19475","3","5","8","9","10","6.5","6.56","0","10","7","7"
"2018","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2019","direkter Migrationshintergrund","6.62","6.5","3853","3","5","8","9","10","6.55","6.69","0","10","7","7"
"2019","indirekter Migrationshintergrund","6.81","6.5","1830","4","5","8","10","10","6.7","6.92","0","10","7","7"
"2019","kein Migrationshintergrund","6.64","6.5","20125","3","5","8","9","10","6.61","6.67","0","10","7","7"
"2019","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2020","direkter Migrationshintergrund","6.51","6.5","5422","3","5","8","9","10","6.45","6.57","0","10","7","7"
"2020","indirekter Migrationshintergrund","6.69","6.5","1674","3","5","8","10","10","6.58","6.8","0","10","7","7"
"2020","kein Migrationshintergrund","6.54","6.5","18634","3","5","8","9","10","6.51","6.57","0","10","7","7"
"2020","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
