"plb0218","year","quintil_oecd","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","1 Einkommensschwächstes Quintil","Westdeutschland","397","0.398170192601354","0.367799545894025","0.428540839308684"
"Nein, nie","2005","1 Einkommensschwächstes Quintil","Ostdeutschland","183","0.327727662371954","0.288989616429772","0.366465708314137"
"Nein, nie","2005","2","Westdeutschland","634","0.379313319946283","0.35567808486666","0.402948555025905"
"Nein, nie","2005","2","Ostdeutschland","177","0.295113395277385","0.258154051798303","0.332072738756468"
"Nein, nie","2005","3","Westdeutschland","639","0.364968133557275","0.341788206250978","0.388148060863571"
"Nein, nie","2005","3","Ostdeutschland","175","0.299901633231469","0.261325615252217","0.338477651210721"
"Nein, nie","2005","4","Westdeutschland","893","0.404069823999768","0.383432942117875","0.42470670588166"
"Nein, nie","2005","4","Ostdeutschland","166","0.304175747630074","0.263061946982833","0.345289548277314"
"Nein, nie","2005","5 Einkommensstärkstes Quintil","Westdeutschland","901","0.349933709854516","0.330887814034163","0.36897960567487"
"Nein, nie","2005","5 Einkommensstärkstes Quintil","Ostdeutschland","111","0.301019336328102","0.255783844037294","0.346254828618911"
"Ja, jede Woche","2005","1 Einkommensschwächstes Quintil","Westdeutschland","186","0.180377948528247","0.156522842060596","0.204233054995898"
"Ja, jede Woche","2005","1 Einkommensschwächstes Quintil","Ostdeutschland","97","0.171653862283729","0.140533742877842","0.202773981689615"
"Ja, jede Woche","2005","2","Westdeutschland","244","0.161520032618843","0.143593998899617","0.179446066338068"
"Ja, jede Woche","2005","2","Ostdeutschland","70","0.129189033659846","0.102009316838066","0.156368750481626"
"Ja, jede Woche","2005","3","Westdeutschland","232","0.152957622097959","0.135626568398344","0.170288675797574"
"Ja, jede Woche","2005","3","Ostdeutschland","74","0.142949129079137","0.113481682497745","0.172416575660529"
"Ja, jede Woche","2005","4","Westdeutschland","265","0.120478018666485","0.106788271166196","0.134167766166773"
"Ja, jede Woche","2005","4","Ostdeutschland","58","0.114717369698031","0.0862379513767926","0.14319678801927"
"Ja, jede Woche","2005","5 Einkommensstärkstes Quintil","Westdeutschland","321","0.141457347495193","0.127541060261168","0.155373634729219"
"Ja, jede Woche","2005","5 Einkommensstärkstes Quintil","Ostdeutschland","55","0.152081636051072","0.116668454023707","0.187494818078438"
"Ja, alle 2 Wochen","2005","1 Einkommensschwächstes Quintil","Westdeutschland","150","0.152452718353823","0.130151305670107","0.17475413103754"
"Ja, alle 2 Wochen","2005","1 Einkommensschwächstes Quintil","Ostdeutschland","108","0.202773999482311","0.169591782435485","0.235956216529137"
"Ja, alle 2 Wochen","2005","2","Westdeutschland","216","0.126188507963273","0.110013539396822","0.142363476529724"
"Ja, alle 2 Wochen","2005","2","Ostdeutschland","109","0.231951263238943","0.197748364185233","0.266154162292652"
"Ja, alle 2 Wochen","2005","3","Westdeutschland","239","0.151786867727913","0.134510341161605","0.16906339429422"
"Ja, alle 2 Wochen","2005","3","Ostdeutschland","108","0.188405774738383","0.155485380544616","0.22132616893215"
"Ja, alle 2 Wochen","2005","4","Westdeutschland","264","0.130019116511841","0.115874973437666","0.144163259586016"
"Ja, alle 2 Wochen","2005","4","Ostdeutschland","71","0.201556215486839","0.165705665493062","0.237406765480615"
"Ja, alle 2 Wochen","2005","5 Einkommensstärkstes Quintil","Westdeutschland","259","0.11766484295953","0.1047980639204","0.130531621998661"
"Ja, alle 2 Wochen","2005","5 Einkommensstärkstes Quintil","Ostdeutschland","66","0.169089484952313","0.132124973443266","0.20605399646136"
"Ja, alle 3-4 Wochen","2005","1 Einkommensschwächstes Quintil","Westdeutschland","74","0.0794114244297705","0.0626366339683371","0.0961862148912039"
"Ja, alle 3-4 Wochen","2005","1 Einkommensschwächstes Quintil","Ostdeutschland","52","0.101149164143948","0.0762644015703808","0.126033926717515"
"Ja, alle 3-4 Wochen","2005","2","Westdeutschland","151","0.0986362930265473","0.0841120645716401","0.113160521481454"
"Ja, alle 3-4 Wochen","2005","2","Ostdeutschland","66","0.0988098276547098","0.074628594062512","0.122991061246908"
"Ja, alle 3-4 Wochen","2005","3","Westdeutschland","140","0.0811626210501906","0.0680138792961541","0.094311362804227"
"Ja, alle 3-4 Wochen","2005","3","Ostdeutschland","58","0.11604532054851","0.0890817585592327","0.143008882537787"
"Ja, alle 3-4 Wochen","2005","4","Westdeutschland","172","0.0795542632032786","0.0681740865200138","0.0909344398865434"
"Ja, alle 3-4 Wochen","2005","4","Ostdeutschland","50","0.112555722925361","0.0843114831164552","0.140799962734267"
"Ja, alle 3-4 Wochen","2005","5 Einkommensstärkstes Quintil","Westdeutschland","237","0.0998354834544192","0.0878644099219253","0.111806556986913"
"Ja, alle 3-4 Wochen","2005","5 Einkommensstärkstes Quintil","Ostdeutschland","44","0.088702905533866","0.0606648133772268","0.116740997690505"
"Seltener","2005","1 Einkommensschwächstes Quintil","Westdeutschland","191","0.189587716086805","0.165268984159588","0.213906448014022"
"Seltener","2005","1 Einkommensschwächstes Quintil","Ostdeutschland","124","0.196695311718058","0.163889884783536","0.22950073865258"
"Seltener","2005","2","Westdeutschland","374","0.234341846445054","0.213708624666522","0.254975068223587"
"Seltener","2005","2","Ostdeutschland","163","0.244936480169116","0.210087615140496","0.279785345197736"
"Seltener","2005","3","Westdeutschland","407","0.249124755566664","0.228300035471399","0.269949475661929"
"Seltener","2005","3","Ostdeutschland","127","0.252698142402501","0.216113610438498","0.289282674366505"
"Seltener","2005","4","Westdeutschland","578","0.265878777618628","0.247298854747679","0.284458700489577"
"Seltener","2005","4","Ostdeutschland","136","0.266994944259695","0.227460052257709","0.306529836261682"
"Seltener","2005","5 Einkommensstärkstes Quintil","Westdeutschland","691","0.291108616236341","0.272968207435017","0.309249025037665"
"Seltener","2005","5 Einkommensstärkstes Quintil","Ostdeutschland","119","0.289106637134647","0.244399094024416","0.333814180244877"
"Nein, nie","2006","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
