"plb0218","year","migback","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","kein Migrationshintergrund","männlich","1492","0.291288646534939","0.278903552927816","0.303673740142062"
"Nein, nie","2005","kein Migrationshintergrund","weiblich","2073","0.448209112271146","0.433812729355843","0.462605495186449"
"Nein, nie","2005","direkter Migrationshintergrund","männlich","243","0.336952769373018","0.300418590366394","0.373486948379642"
"Nein, nie","2005","direkter Migrationshintergrund","weiblich","268","0.459281751358725","0.417933599759004","0.500629902958445"
"Nein, nie","2005","indirekter Migrationshintergrund","männlich","92","0.364479812842257","0.305291951517889","0.423667674166625"
"Nein, nie","2005","indirekter Migrationshintergrund","weiblich","108","0.477960976187102","0.410878977549249","0.545042974824956"
"Nein, nie","2005","Migrationshintergrund - n. w. differenzierbar","männlich","","","",""
"Nein, nie","2005","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Ja, jede Woche","2005","kein Migrationshintergrund","männlich","779","0.15190613127493","0.142122221639536","0.161690040910323"
"Ja, jede Woche","2005","kein Migrationshintergrund","weiblich","601","0.148066998142886","0.137785470595476","0.158348525690297"
"Ja, jede Woche","2005","direkter Migrationshintergrund","männlich","92","0.151268437776982","0.12357340127775","0.178963474276214"
"Ja, jede Woche","2005","direkter Migrationshintergrund","weiblich","59","0.110691188854386","0.0846588124498804","0.136723565258891"
"Ja, jede Woche","2005","indirekter Migrationshintergrund","männlich","45","0.176818882229055","0.129900475788452","0.223737288669657"
"Ja, jede Woche","2005","indirekter Migrationshintergrund","weiblich","26","","",""
"Ja, jede Woche","2005","Migrationshintergrund - n. w. differenzierbar","männlich","","","",""
"Ja, jede Woche","2005","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Ja, alle 2 Wochen","2005","kein Migrationshintergrund","männlich","678","0.137111511644143","0.12773552205319","0.146487501235096"
"Ja, alle 2 Wochen","2005","kein Migrationshintergrund","weiblich","678","0.155282960576575","0.144798567011455","0.165767354141695"
"Ja, alle 2 Wochen","2005","direkter Migrationshintergrund","männlich","71","0.110046097320395","0.0858573329939004","0.134234861646891"
"Ja, alle 2 Wochen","2005","direkter Migrationshintergrund","weiblich","96","0.193429305105886","0.16065652026781","0.226202089943962"
"Ja, alle 2 Wochen","2005","indirekter Migrationshintergrund","männlich","27","","",""
"Ja, alle 2 Wochen","2005","indirekter Migrationshintergrund","weiblich","40","0.221993395488062","0.166182375691191","0.277804415284934"
"Ja, alle 2 Wochen","2005","Migrationshintergrund - n. w. differenzierbar","männlich","","","",""
"Ja, alle 2 Wochen","2005","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Ja, alle 3-4 Wochen","2005","kein Migrationshintergrund","männlich","545","0.101676536327358","0.0934383888411894","0.109914683813528"
"Ja, alle 3-4 Wochen","2005","kein Migrationshintergrund","weiblich","340","0.0748049532973023","0.0671892921171143","0.0824206144774903"
"Ja, alle 3-4 Wochen","2005","direkter Migrationshintergrund","männlich","76","0.115802928938716","0.0910699223900865","0.140535935487345"
"Ja, alle 3-4 Wochen","2005","direkter Migrationshintergrund","weiblich","41","0.0689942270309476","0.0479654723188576","0.0900229817430376"
