"plb0218","year","migback","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","kein Migrationshintergrund","1 Einkommensschwächstes Quintil","433","0.364987181116659","0.338049769553899","0.39192459267942"
"Nein, nie","2005","kein Migrationshintergrund","2","616","0.351052198249794","0.328696113400989","0.373408283098598"
"Nein, nie","2005","kein Migrationshintergrund","3","654","0.352577738872049","0.330669872887981","0.374485604856117"
"Nein, nie","2005","kein Migrationshintergrund","4","924","0.389335107509069","0.369578907133916","0.409091307884223"
"Nein, nie","2005","kein Migrationshintergrund","5 Einkommensstärkstes Quintil","938","0.340434650060827","0.322252014004936","0.358617286116717"
"Nein, nie","2005","direkter Migrationshintergrund","1 Einkommensschwächstes Quintil","107","0.39632811759885","0.335328441265872","0.457327793931827"
"Nein, nie","2005","direkter Migrationshintergrund","2","140","0.379791686283619","0.328127480139855","0.431455892427384"
"Nein, nie","2005","direkter Migrationshintergrund","3","120","0.374864127942092","0.317334999979236","0.432393255904949"
"Nein, nie","2005","direkter Migrationshintergrund","4","90","0.424196206449553","0.356542466213391","0.491849946685714"
"Nein, nie","2005","direkter Migrationshintergrund","5 Einkommensstärkstes Quintil","54","0.440368842793503","0.357542634042539","0.523195051544468"
"Nein, nie","2005","indirekter Migrationshintergrund","1 Einkommensschwächstes Quintil","40","0.529650250614857","0.425367661681888","0.633932839547826"
"Nein, nie","2005","indirekter Migrationshintergrund","2","55","0.490450772218597","0.3986837898913","0.582217754545894"
"Nein, nie","2005","indirekter Migrationshintergrund","3","40","0.330410395297866","0.238221355064386","0.422599435531346"
"Nein, nie","2005","indirekter Migrationshintergrund","4","45","0.339077114676003","0.249795744257198","0.428358485094808"
"Nein, nie","2005","indirekter Migrationshintergrund","5 Einkommensstärkstes Quintil","20","","",""
"Nein, nie","2005","Migrationshintergrund - n. w. differenzierbar","1 Einkommensschwächstes Quintil","","","",""
"Nein, nie","2005","Migrationshintergrund - n. w. differenzierbar","2","","","",""
"Nein, nie","2005","Migrationshintergrund - n. w. differenzierbar","3","","","",""
"Nein, nie","2005","Migrationshintergrund - n. w. differenzierbar","4","","","",""
"Nein, nie","2005","Migrationshintergrund - n. w. differenzierbar","5 Einkommensstärkstes Quintil","","","",""
"Ja, jede Woche","2005","kein Migrationshintergrund","1 Einkommensschwächstes Quintil","232","0.183307636082344","0.161658262457819","0.20495700970687"
"Ja, jede Woche","2005","kein Migrationshintergrund","2","251","0.159435694939475","0.142288887555519","0.17658250232343"
"Ja, jede Woche","2005","kein Migrationshintergrund","3","260","0.156452711861545","0.139794626554113","0.173110797168977"
"Ja, jede Woche","2005","kein Migrationshintergrund","4","288","0.12191176494803","0.108655168042719","0.135168361853341"
"Ja, jede Woche","2005","kein Migrationshintergrund","5 Einkommensstärkstes Quintil","349","0.144203458136927","0.13072363628191","0.157683279991945"
"Ja, jede Woche","2005","direkter Migrationshintergrund","1 Einkommensschwächstes Quintil","35","0.158120072601853","0.112619360413118","0.203620784790587"
"Ja, jede Woche","2005","direkter Migrationshintergrund","2","48","0.152012735363955","0.113793420817072","0.190232049910837"
"Ja, jede Woche","2005","direkter Migrationshintergrund","3","28","","",""
"Ja, jede Woche","2005","direkter Migrationshintergrund","4","18","","",""
"Ja, jede Woche","2005","direkter Migrationshintergrund","5 Einkommensstärkstes Quintil","22","","",""
"Ja, jede Woche","2005","indirekter Migrationshintergrund","1 Einkommensschwächstes Quintil","16","","",""
"Ja, jede Woche","2005","indirekter Migrationshintergrund","2","15","","",""
"Ja, jede Woche","2005","indirekter Migrationshintergrund","3","18","","",""
"Ja, jede Woche","2005","indirekter Migrationshintergrund","4","17","","",""
"Ja, jede Woche","2005","indirekter Migrationshintergrund","5 Einkommensstärkstes Quintil","5","","",""
"Ja, jede Woche","2005","Migrationshintergrund - n. w. differenzierbar","1 Einkommensschwächstes Quintil","","","",""
"Ja, jede Woche","2005","Migrationshintergrund - n. w. differenzierbar","2","","","",""
"Ja, jede Woche","2005","Migrationshintergrund - n. w. differenzierbar","3","","","",""
"Ja, jede Woche","2005","Migrationshintergrund - n. w. differenzierbar","4","","","",""
"Ja, jede Woche","2005","Migrationshintergrund - n. w. differenzierbar","5 Einkommensstärkstes Quintil","","","",""
"Ja, alle 2 Wochen","2005","kein Migrationshintergrund","1 Einkommensschwächstes Quintil","209","0.170356231013893","0.149320837101393","0.191391624926393"
"Ja, alle 2 Wochen","2005","kein Migrationshintergrund","2","264","0.144287610922977","0.12782936872244","0.160745853123513"
"Ja, alle 2 Wochen","2005","kein Migrationshintergrund","3","291","0.15599654132709","0.139358261838443","0.172634820815737"
"Ja, alle 2 Wochen","2005","kein Migrationshintergrund","4","290","0.139425870137473","0.125391077922535","0.153460662352412"
"Ja, alle 2 Wochen","2005","kein Migrationshintergrund","5 Einkommensstärkstes Quintil","302","0.121730905591551","0.10918432795873","0.134277483224371"
"Ja, alle 2 Wochen","2005","direkter Migrationshintergrund","1 Einkommensschwächstes Quintil","37","0.154675313928023","0.109580988628643","0.199769639227403"
"Ja, alle 2 Wochen","2005","direkter Migrationshintergrund","2","45","0.150761088191492","0.112671365024193","0.188850811358792"
"Ja, alle 2 Wochen","2005","direkter Migrationshintergrund","3","42","0.167813181160318","0.123402535167432","0.212223827153204"
"Ja, alle 2 Wochen","2005","direkter Migrationshintergrund","4","29","","",""
