"plb0218","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","(noch) kein Abschluss","49","0.408810095232037","0.322627931180456","0.494992259283619"
"Nein, nie","2005","Hauptschule","1173","0.377356620625519","0.360345376468504","0.394367864782533"
"Nein, nie","2005","Realschule","1346","0.350197426698839","0.334694145327474","0.365700708070204"
"Nein, nie","2005","(Fach-)Abitur","609","0.426601534078622","0.400822724644656","0.452380343512589"
"Nein, nie","2005","AkademikerIn","1012","0.33615653515963","0.319048819372394","0.353264250946867"
"Ja, jede Woche","2005","(noch) kein Abschluss","30","0.244412649729869","0.169077568054817","0.319747731404921"
"Ja, jede Woche","2005","Hauptschule","512","0.169506008821747","0.156338573311865","0.182673444331629"
"Ja, jede Woche","2005","Realschule","464","0.137483813583996","0.126292376626252","0.14867525054174"
"Ja, jede Woche","2005","(Fach-)Abitur","149","0.112078745958879","0.0956360796324862","0.128521412285272"
"Ja, jede Woche","2005","AkademikerIn","418","0.143186942802863","0.130502156606212","0.155871728999513"
"Ja, alle 2 Wochen","2005","(noch) kein Abschluss","15","","",""
"Ja, alle 2 Wochen","2005","Hauptschule","467","0.142773145449012","0.130495599975045","0.15505069092298"
"Ja, alle 2 Wochen","2005","Realschule","585","0.174232203109951","0.16190485597565","0.186559550244253"
"Ja, alle 2 Wochen","2005","(Fach-)Abitur","185","0.137912910759887","0.119940703465526","0.155885118054249"
"Ja, alle 2 Wochen","2005","AkademikerIn","306","0.112060355437872","0.100636672880787","0.123484037994957"
"Ja, alle 3-4 Wochen","2005","(noch) kein Abschluss","7","","",""
"Ja, alle 3-4 Wochen","2005","Hauptschule","274","0.0842608982333554","0.074512363906453","0.0940094325602578"
"Ja, alle 3-4 Wochen","2005","Realschule","359","0.107094005695235","0.0970441022042397","0.11714390918623"
"Ja, alle 3-4 Wochen","2005","(Fach-)Abitur","135","0.0838850790795794","0.0694359815090589","0.0983341766500999"
"Ja, alle 3-4 Wochen","2005","AkademikerIn","260","0.0841574637226267","0.0741033190609205","0.0942116083843329"
"Seltener","2005","(noch) kein Abschluss","24","","",""
"Seltener","2005","Hauptschule","693","0.226103326870366","0.211423012029014","0.240783641711719"
"Seltener","2005","Realschule","883","0.230992550911979","0.217295070082461","0.244690031741497"
"Seltener","2005","(Fach-)Abitur","336","0.239521730123032","0.217276379734101","0.261767080511963"
"Seltener","2005","AkademikerIn","933","0.324438702877008","0.307484119833725","0.341393285920292"
"Nein, nie","2006","(noch) kein Abschluss","","","",""
"Nein, nie","2006","Hauptschule","","","",""
"Nein, nie","2006","Realschule","","","",""
"Nein, nie","2006","(Fach-)Abitur","","","",""
"Nein, nie","2006","AkademikerIn","","","",""
"Ja, jede Woche","2006","(noch) kein Abschluss","","","",""
"Ja, jede Woche","2006","Hauptschule","","","",""
"Ja, jede Woche","2006","Realschule","","","",""
"Ja, jede Woche","2006","(Fach-)Abitur","","","",""
"Ja, jede Woche","2006","AkademikerIn","","","",""
"Ja, alle 2 Wochen","2006","(noch) kein Abschluss","","","",""
"Ja, alle 2 Wochen","2006","Hauptschule","","","",""
"Ja, alle 2 Wochen","2006","Realschule","","","",""
"Ja, alle 2 Wochen","2006","(Fach-)Abitur","","","",""
"Ja, alle 2 Wochen","2006","AkademikerIn","","","",""
"Ja, alle 3-4 Wochen","2006","(noch) kein Abschluss","","","",""
"Ja, alle 3-4 Wochen","2006","Hauptschule","","","",""
"Ja, alle 3-4 Wochen","2006","Realschule","","","",""
"Ja, alle 3-4 Wochen","2006","(Fach-)Abitur","","","",""
"Ja, alle 3-4 Wochen","2006","AkademikerIn","","","",""
"Seltener","2006","(noch) kein Abschluss","","","",""
"Seltener","2006","Hauptschule","","","",""
"Seltener","2006","Realschule","","","",""
"Seltener","2006","(Fach-)Abitur","","","",""
"Seltener","2006","AkademikerIn","","","",""
