"plb0218","year","quintil_oecd","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","1 Einkommensschwächstes Quintil","männlich","234","0.331859088108352","0.298293204542341","0.365424971674363"
"Nein, nie","2005","1 Einkommensschwächstes Quintil","weiblich","346","0.426326443596479","0.392184823815724","0.460468063377234"
"Nein, nie","2005","2","männlich","375","0.319952871878162","0.293293068506731","0.346612675249594"
"Nein, nie","2005","2","weiblich","436","0.416248477973","0.3861155123654","0.446381443580599"
"Nein, nie","2005","3","männlich","355","0.279841247284737","0.254248946085584","0.30543354848389"
"Nein, nie","2005","3","weiblich","459","0.451874068325245","0.421287095403298","0.482461041247191"
"Nein, nie","2005","4","männlich","450","0.313200009628539","0.289203495175595","0.337196524081484"
"Nein, nie","2005","4","weiblich","609","0.491597518988165","0.463521655719592","0.519673382256737"
"Nein, nie","2005","5 Einkommensstärkstes Quintil","männlich","413","0.258489658574782","0.23646585130832","0.280513465841245"
"Nein, nie","2005","5 Einkommensstärkstes Quintil","weiblich","599","0.466635761124493","0.439369313335317","0.49390220891367"
"Ja, jede Woche","2005","1 Einkommensschwächstes Quintil","männlich","143","0.172769859684254","0.145821374467986","0.199718344900523"
"Ja, jede Woche","2005","1 Einkommensschwächstes Quintil","weiblich","140","0.183265380652039","0.156556156732361","0.209974604571717"
"Ja, jede Woche","2005","2","männlich","169","0.154887366496405","0.134209309647803","0.175565423345008"
"Ja, jede Woche","2005","2","weiblich","145","0.156308936644142","0.134109847127003","0.17850802616128"
"Ja, jede Woche","2005","3","männlich","169","0.155556814792567","0.134894970171028","0.176218659414107"
"Ja, jede Woche","2005","3","weiblich","137","0.145813150379934","0.124123008055851","0.167503292704017"
"Ja, jede Woche","2005","4","männlich","188","0.125220789650597","0.108096617460979","0.142344961840214"
"Ja, jede Woche","2005","4","weiblich","135","0.112491917244896","0.0947471108755027","0.130236723614289"
"Ja, jede Woche","2005","5 Einkommensstärkstes Quintil","männlich","247","0.167050887337465","0.148286005517141","0.185815769157788"
"Ja, jede Woche","2005","5 Einkommensstärkstes Quintil","weiblich","129","0.108204627286686","0.0912267601451896","0.125182494428183"
"Ja, alle 2 Wochen","2005","1 Einkommensschwächstes Quintil","männlich","104","0.140648975468836","0.115866722870849","0.165431228066822"
"Ja, alle 2 Wochen","2005","1 Einkommensschwächstes Quintil","weiblich","154","0.191052327421685","0.163911883220401","0.21819277162297"
"Ja, alle 2 Wochen","2005","2","männlich","140","0.111945929402274","0.0939253691892595","0.129966489615289"
"Ja, alle 2 Wochen","2005","2","weiblich","185","0.186364751714679","0.162560841766573","0.210168661662785"
"Ja, alle 2 Wochen","2005","3","männlich","172","0.149054708467447","0.12875157721153","0.169357839723364"
"Ja, alle 2 Wochen","2005","3","weiblich","175","0.169067995207167","0.146032314011628","0.192103676402706"
"Ja, alle 2 Wochen","2005","4","männlich","175","0.140325483317038","0.122355095883065","0.158295870751012"
"Ja, alle 2 Wochen","2005","4","weiblich","160","0.138842146575287","0.119423163202432","0.158261129948143"
"Ja, alle 2 Wochen","2005","5 Einkommensstärkstes Quintil","männlich","185","0.117878157792566","0.101656577402331","0.134099738182801"
"Ja, alle 2 Wochen","2005","5 Einkommensstärkstes Quintil","weiblich","140","0.127265272030452","0.109050502073237","0.145480041987667"
"Ja, alle 3-4 Wochen","2005","1 Einkommensschwächstes Quintil","männlich","67","0.0946194990747859","0.0737557147816078","0.115483283367964"
"Ja, alle 3-4 Wochen","2005","1 Einkommensschwächstes Quintil","weiblich","59","0.0759366051657319","0.0576489913390892","0.0942242189923745"
"Ja, alle 3-4 Wochen","2005","2","männlich","141","0.115378549808592","0.0971191835071388","0.133637916110046"
"Ja, alle 3-4 Wochen","2005","2","weiblich","76","0.0786154244292698","0.0621631523042007","0.0950676965543389"
"Ja, alle 3-4 Wochen","2005","3","männlich","110","0.0861004143019471","0.070108840246784","0.10209198835711"
"Ja, alle 3-4 Wochen","2005","3","weiblich","88","0.0877685673394574","0.0703781647716352","0.10515896990728"
"Ja, alle 3-4 Wochen","2005","4","männlich","147","0.100410650155699","0.0848605144785538","0.115960785832844"
"Ja, alle 3-4 Wochen","2005","4","weiblich","75","0.0626022512076959","0.0489977890971131","0.0762067133182787"
"Ja, alle 3-4 Wochen","2005","5 Einkommensstärkstes Quintil","männlich","184","0.125971720423491","0.109279601204061","0.142663839642922"
"Ja, alle 3-4 Wochen","2005","5 Einkommensstärkstes Quintil","weiblich","97","0.0616480705725669","0.0485027789008866","0.0747933622442472"
