"plb0218","year","migback","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","kein Migrationshintergrund","Westdeutschland","2767","0.373557050141807","0.362404137634073","0.384709962649541"
"Nein, nie","2005","kein Migrationshintergrund","Ostdeutschland","798","0.30742485952724","0.289434145051331","0.325415574003148"
"Nein, nie","2005","direkter Migrationshintergrund","Westdeutschland","506","0.397469257624358","0.369535293855849","0.425403221392866"
"Nein, nie","2005","direkter Migrationshintergrund","Ostdeutschland","5","","",""
"Nein, nie","2005","indirekter Migrationshintergrund","Westdeutschland","191","0.415741390357146","0.3701545897925","0.461328190921792"
"Nein, nie","2005","indirekter Migrationshintergrund","Ostdeutschland","9","","",""
"Nein, nie","2005","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein, nie","2005","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja, jede Woche","2005","kein Migrationshintergrund","Westdeutschland","1033","0.152130709025073","0.14385048739703","0.160410930653117"
"Ja, jede Woche","2005","kein Migrationshintergrund","Ostdeutschland","347","0.142154929445615","0.128539515107345","0.155770343783886"
"Ja, jede Woche","2005","direkter Migrationshintergrund","Westdeutschland","147","0.131434696250184","0.112148461894489","0.150720930605879"
"Ja, jede Woche","2005","direkter Migrationshintergrund","Ostdeutschland","4","","",""
"Ja, jede Woche","2005","indirekter Migrationshintergrund","Westdeutschland","68","0.14343286188907","0.111011596821126","0.175854126957014"
"Ja, jede Woche","2005","indirekter Migrationshintergrund","Ostdeutschland","3","","",""
"Ja, jede Woche","2005","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja, jede Woche","2005","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2005","kein Migrationshintergrund","Westdeutschland","900","0.131256388248674","0.123471092763573","0.139041683733775"
"Ja, alle 2 Wochen","2005","kein Migrationshintergrund","Ostdeutschland","456","0.203306781183028","0.187615190801785","0.21899837156427"
"Ja, alle 2 Wochen","2005","direkter Migrationshintergrund","Westdeutschland","163","0.148322587405388","0.128034906771856","0.16861026803892"
"Ja, alle 2 Wochen","2005","direkter Migrationshintergrund","Ostdeutschland","4","","",""
"Ja, alle 2 Wochen","2005","indirekter Migrationshintergrund","Westdeutschland","65","0.151771520122553","0.118583871174496","0.184959169070611"
"Ja, alle 2 Wochen","2005","indirekter Migrationshintergrund","Ostdeutschland","2","","",""
"Ja, alle 2 Wochen","2005","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2005","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2005","kein Migrationshintergrund","Westdeutschland","617","0.0858321793714079","0.0793740446798819","0.0922903140629339"
"Ja, alle 3-4 Wochen","2005","kein Migrationshintergrund","Ostdeutschland","268","0.106258739614999","0.0942434649194937","0.118274014310504"
"Ja, alle 3-4 Wochen","2005","direkter Migrationshintergrund","Westdeutschland","116","0.0941851867260191","0.077512630167303","0.110857743284735"
"Ja, alle 3-4 Wochen","2005","direkter Migrationshintergrund","Ostdeutschland","1","","",""
"Ja, alle 3-4 Wochen","2005","indirekter Migrationshintergrund","Westdeutschland","41","0.099934220204158","0.072193408810282","0.127675031598034"
"Ja, alle 3-4 Wochen","2005","indirekter Migrationshintergrund","Ostdeutschland","1","","",""
"Ja, alle 3-4 Wochen","2005","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
