"plb0218","year","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","1 Einkommensschwächstes Quintil","580","0.379277238209811","0.355215067599204","0.403339408820418"
"Nein, nie","2005","2","811","0.36372258825855","0.343638566405231","0.383806610111868"
"Nein, nie","2005","3","814","0.354408972752438","0.334416497205453","0.374401448299423"
"Nein, nie","2005","4","1059","0.390576457479943","0.372011579003261","0.409141335956625"
"Nein, nie","2005","5 Einkommensstärkstes Quintil","1012","0.345977810333722","0.328371050068233","0.363584570599212"
"Ja, jede Woche","2005","1 Einkommensschwächstes Quintil","283","0.178038115433257","0.159067129145539","0.197009101720976"
"Ja, jede Woche","2005","2","314","0.155533519781115","0.140403290687873","0.170663748874356"
"Ja, jede Woche","2005","3","306","0.151333417835079","0.136354810104609","0.166312025565549"
"Ja, jede Woche","2005","4","323","0.119699888964021","0.107347762821535","0.132052015106507"
"Ja, jede Woche","2005","5 Einkommensstärkstes Quintil","376","0.142316575876893","0.129385033187075","0.155248118566712"
"Ja, alle 2 Wochen","2005","1 Einkommensschwächstes Quintil","258","0.165949077246505","0.147499293470225","0.184398861022785"
"Ja, alle 2 Wochen","2005","2","325","0.145771883441843","0.131039734210272","0.160504032673414"
"Ja, alle 2 Wochen","2005","3","347","0.157729479143692","0.142495347248421","0.172963611038963"
"Ja, alle 2 Wochen","2005","4","335","0.139682114872848","0.126491065594846","0.152873164150849"
"Ja, alle 2 Wochen","2005","5 Einkommensstärkstes Quintil","325","0.121823757854073","0.109717332623494","0.133930183084653"
"Ja, alle 3-4 Wochen","2005","1 Einkommensschwächstes Quintil","126","0.0852415688561243","0.071393586425799","0.0990895512864496"
"Ja, alle 3-4 Wochen","2005","2","217","0.0986684252622571","0.0862183009728325","0.111118549551682"
"Ja, alle 3-4 Wochen","2005","3","198","0.0868234761978506","0.0750546965806414","0.0985922558150599"
"Ja, alle 3-4 Wochen","2005","4","222","0.0840119929096057","0.0734560993265544","0.094567886492657"
"Ja, alle 3-4 Wochen","2005","5 Einkommensstärkstes Quintil","281","0.0989351476944746","0.0878838719732459","0.109986423415703"
"Seltener","2005","1 Einkommensschwächstes Quintil","315","0.191494000254303","0.171980877100122","0.211007123408484"
"Seltener","2005","2","537","0.236303583256236","0.218568312379003","0.254038854133468"
"Seltener","2005","3","534","0.249704654070941","0.231613556285269","0.267795751856613"
"Seltener","2005","4","714","0.266029545773582","0.249215056077441","0.282844035469723"
"Seltener","2005","5 Einkommensstärkstes Quintil","810","0.290946708240836","0.274135255304216","0.307758161177456"
"Nein, nie","2006","1 Einkommensschwächstes Quintil","","","",""
"Nein, nie","2006","2","","","",""
"Nein, nie","2006","3","","","",""
"Nein, nie","2006","4","","","",""
"Nein, nie","2006","5 Einkommensstärkstes Quintil","","","",""
"Ja, jede Woche","2006","1 Einkommensschwächstes Quintil","","","",""
"Ja, jede Woche","2006","2","","","",""
"Ja, jede Woche","2006","3","","","",""
"Ja, jede Woche","2006","4","","","",""
"Ja, jede Woche","2006","5 Einkommensstärkstes Quintil","","","",""
"Ja, alle 2 Wochen","2006","1 Einkommensschwächstes Quintil","","","",""
"Ja, alle 2 Wochen","2006","2","","","",""
"Ja, alle 2 Wochen","2006","3","","","",""
"Ja, alle 2 Wochen","2006","4","","","",""
"Ja, alle 2 Wochen","2006","5 Einkommensstärkstes Quintil","","","",""
"Ja, alle 3-4 Wochen","2006","1 Einkommensschwächstes Quintil","","","",""
"Ja, alle 3-4 Wochen","2006","2","","","",""
"Ja, alle 3-4 Wochen","2006","3","","","",""
"Ja, alle 3-4 Wochen","2006","4","","","",""
"Ja, alle 3-4 Wochen","2006","5 Einkommensstärkstes Quintil","","","",""
"Seltener","2006","1 Einkommensschwächstes Quintil","","","",""
"Seltener","2006","2","","","",""
"Seltener","2006","3","","","",""
"Seltener","2006","4","","","",""
"Seltener","2006","5 Einkommensstärkstes Quintil","","","",""
"Nein, nie","2007","1 Einkommensschwächstes Quintil","529","0.38182829183086","0.356505475733302","0.407151107928418"
"Nein, nie","2007","2","824","0.375751345700758","0.355805931134691","0.395696760266826"
"Nein, nie","2007","3","794","0.346290512731858","0.326521008702088","0.366060016761627"
"Nein, nie","2007","4","1041","0.359956436872782","0.342052661231114","0.377860212514449"
"Nein, nie","2007","5 Einkommensstärkstes Quintil","964","0.331078549110698","0.313681693802031","0.348475404419365"
"Ja, jede Woche","2007","1 Einkommensschwächstes Quintil","246","0.161596934637964","0.142411732727526","0.180782136548403"
