"plb0218","year","age_gr","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","17-34","kein Migrationshintergrund","961","0.374824851913747","0.355883420218081","0.393766283609413"
"Nein, nie","2005","17-34","direkter Migrationshintergrund","102","","",""
"Nein, nie","2005","17-34","indirekter Migrationshintergrund","155","","",""
"Nein, nie","2005","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein, nie","2005","35-65","kein Migrationshintergrund","2555","","",""
"Nein, nie","2005","35-65","direkter Migrationshintergrund","401","0.43151956160164","0.399268649719172","0.463770473484107"
"Nein, nie","2005","35-65","indirekter Migrationshintergrund","45","0.360743296576455","0.27372873418315","0.447757858969761"
"Nein, nie","2005","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein, nie","2005","66 +","kein Migrationshintergrund","49","0.404946518758587","0.317841132540916","0.492051904976257"
"Nein, nie","2005","66 +","direkter Migrationshintergrund","8","0.629971273007009","0.367516479850691","0.892426066163327"
"Nein, nie","2005","66 +","indirekter Migrationshintergrund","","","",""
"Nein, nie","2005","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, jede Woche","2005","17-34","kein Migrationshintergrund","358","0.153881334266108","0.139762255209935","0.168000413322282"
"Ja, jede Woche","2005","17-34","direkter Migrationshintergrund","49","0.159652399452263","0.116901944185999","0.202402854718526"
"Ja, jede Woche","2005","17-34","indirekter Migrationshintergrund","58","0.159265947756921","0.120930119300571","0.197601776213271"
"Ja, jede Woche","2005","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, jede Woche","2005","35-65","kein Migrationshintergrund","991","0.145517417161847","0.137328514382597","0.153706319941098"
"Ja, jede Woche","2005","35-65","direkter Migrationshintergrund","98","0.118665244326592","0.0976072885376219","0.139723200115561"
"Ja, jede Woche","2005","35-65","indirekter Migrationshintergrund","13","","",""
"Ja, jede Woche","2005","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, jede Woche","2005","66 +","kein Migrationshintergrund","31","0.313735038186283","0.231397931753283","0.396072144619283"
"Ja, jede Woche","2005","66 +","direkter Migrationshintergrund","4","0.310927160284829","0.0593111271359515","0.562543193433707"
"Ja, jede Woche","2005","66 +","indirekter Migrationshintergrund","","","",""
"Ja, jede Woche","2005","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, alle 2 Wochen","2005","17-34","kein Migrationshintergrund","419","0.172633841672075","0.157845836137643","0.187421847206506"
"Ja, alle 2 Wochen","2005","17-34","direkter Migrationshintergrund","49","0.184741638662048","0.13944629454325","0.230036982780846"
"Ja, alle 2 Wochen","2005","17-34","indirekter Migrationshintergrund","52","0.160629254816971","0.122160927257474","0.199097582376467"
"Ja, alle 2 Wochen","2005","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, alle 2 Wochen","2005","35-65","kein Migrationshintergrund","928","0.136029043393284","0.128067779633079","0.143990307153489"
"Ja, alle 2 Wochen","2005","35-65","direkter Migrationshintergrund","118","","",""
"Ja, alle 2 Wochen","2005","35-65","indirekter Migrationshintergrund","15","","",""
"Ja, alle 2 Wochen","2005","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, alle 2 Wochen","2005","66 +","kein Migrationshintergrund","9","0.0685287596373452","0.0236966334007106","0.11336088587398"
"Ja, alle 2 Wochen","2005","66 +","direkter Migrationshintergrund","","","",""
"Ja, alle 2 Wochen","2005","66 +","indirekter Migrationshintergrund","","","",""
"Ja, alle 2 Wochen","2005","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, alle 3-4 Wochen","2005","17-34","kein Migrationshintergrund","207","","",""
"Ja, alle 3-4 Wochen","2005","17-34","direkter Migrationshintergrund","24","","",""
"Ja, alle 3-4 Wochen","2005","17-34","indirekter Migrationshintergrund","37","0.116608091552277","0.0829836468269066","0.150232536277648"
"Ja, alle 3-4 Wochen","2005","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, alle 3-4 Wochen","2005","35-65","kein Migrationshintergrund","668","0.0952090732147236","0.0883930681243194","0.102025078305128"
"Ja, alle 3-4 Wochen","2005","35-65","direkter Migrationshintergrund","93","0.0929091866926277","0.0740058397313977","0.111812533653858"
"Ja, alle 3-4 Wochen","2005","35-65","indirekter Migrationshintergrund","5","0.0288186706835466","-0.00149526288876606","0.0591326042558593"
"Ja, alle 3-4 Wochen","2005","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, alle 3-4 Wochen","2005","66 +","kein Migrationshintergrund","10","","",""
"Ja, alle 3-4 Wochen","2005","66 +","direkter Migrationshintergrund","","","",""
"Ja, alle 3-4 Wochen","2005","66 +","indirekter Migrationshintergrund","","","",""
"Ja, alle 3-4 Wochen","2005","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","2005","17-34","kein Migrationshintergrund","564","0.221181824758548","0.204941656752564","0.237421992764533"
"Seltener","2005","17-34","direkter Migrationshintergrund","58","0.264545027363","0.213063504820357","0.316026549905643"
"Seltener","2005","17-34","indirekter Migrationshintergrund","48","0.134960835971263","0.0991647259838119","0.170756945958713"
"Seltener","2005","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","2005","35-65","kein Migrationshintergrund","1981","","",""
"Seltener","2005","35-65","direkter Migrationshintergrund","196","","",""
"Seltener","2005","35-65","indirekter Migrationshintergrund","39","0.39636838017222","0.307736359292156","0.485000401052285"
"Seltener","2005","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","2005","66 +","kein Migrationshintergrund","23","","",""
"Seltener","2005","66 +","direkter Migrationshintergrund","1","","",""
"Seltener","2005","66 +","indirekter Migrationshintergrund","","","",""
"Seltener","2005","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein, nie","2006","17-34","kein Migrationshintergrund","","","",""
"Nein, nie","2006","17-34","direkter Migrationshintergrund","","","",""
"Nein, nie","2006","17-34","indirekter Migrationshintergrund","","","",""
"Nein, nie","2006","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein, nie","2006","35-65","kein Migrationshintergrund","","","",""
"Nein, nie","2006","35-65","direkter Migrationshintergrund","","","",""
"Nein, nie","2006","35-65","indirekter Migrationshintergrund","","","",""
"Nein, nie","2006","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein, nie","2006","66 +","kein Migrationshintergrund","","","",""
"Nein, nie","2006","66 +","direkter Migrationshintergrund","","","",""
"Nein, nie","2006","66 +","indirekter Migrationshintergrund","","","",""
"Nein, nie","2006","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, jede Woche","2006","17-34","kein Migrationshintergrund","","","",""
"Ja, jede Woche","2006","17-34","direkter Migrationshintergrund","","","",""
"Ja, jede Woche","2006","17-34","indirekter Migrationshintergrund","","","",""
"Ja, jede Woche","2006","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, jede Woche","2006","35-65","kein Migrationshintergrund","","","",""
"Ja, jede Woche","2006","35-65","direkter Migrationshintergrund","","","",""
"Ja, jede Woche","2006","35-65","indirekter Migrationshintergrund","","","",""
"Ja, jede Woche","2006","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, jede Woche","2006","66 +","kein Migrationshintergrund","","","",""
"Ja, jede Woche","2006","66 +","direkter Migrationshintergrund","","","",""
"Ja, jede Woche","2006","66 +","indirekter Migrationshintergrund","","","",""
"Ja, jede Woche","2006","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, alle 2 Wochen","2006","17-34","kein Migrationshintergrund","","","",""
"Ja, alle 2 Wochen","2006","17-34","direkter Migrationshintergrund","","","",""
"Ja, alle 2 Wochen","2006","17-34","indirekter Migrationshintergrund","","","",""
"Ja, alle 2 Wochen","2006","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, alle 2 Wochen","2006","35-65","kein Migrationshintergrund","","","",""
"Ja, alle 2 Wochen","2006","35-65","direkter Migrationshintergrund","","","",""
"Ja, alle 2 Wochen","2006","35-65","indirekter Migrationshintergrund","","","",""
"Ja, alle 2 Wochen","2006","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, alle 2 Wochen","2006","66 +","kein Migrationshintergrund","","","",""
"Ja, alle 2 Wochen","2006","66 +","direkter Migrationshintergrund","","","",""
"Ja, alle 2 Wochen","2006","66 +","indirekter Migrationshintergrund","","","",""
"Ja, alle 2 Wochen","2006","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, alle 3-4 Wochen","2006","17-34","kein Migrationshintergrund","","","",""
"Ja, alle 3-4 Wochen","2006","17-34","direkter Migrationshintergrund","","","",""
"Ja, alle 3-4 Wochen","2006","17-34","indirekter Migrationshintergrund","","","",""
"Ja, alle 3-4 Wochen","2006","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, alle 3-4 Wochen","2006","35-65","kein Migrationshintergrund","","","",""
"Ja, alle 3-4 Wochen","2006","35-65","direkter Migrationshintergrund","","","",""
"Ja, alle 3-4 Wochen","2006","35-65","indirekter Migrationshintergrund","","","",""
"Ja, alle 3-4 Wochen","2006","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, alle 3-4 Wochen","2006","66 +","kein Migrationshintergrund","","","",""
"Ja, alle 3-4 Wochen","2006","66 +","direkter Migrationshintergrund","","","",""
"Ja, alle 3-4 Wochen","2006","66 +","indirekter Migrationshintergrund","","","",""
"Ja, alle 3-4 Wochen","2006","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","2006","17-34","kein Migrationshintergrund","","","",""
"Seltener","2006","17-34","direkter Migrationshintergrund","","","",""
"Seltener","2006","17-34","indirekter Migrationshintergrund","","","",""
"Seltener","2006","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","2006","35-65","kein Migrationshintergrund","","","",""
"Seltener","2006","35-65","direkter Migrationshintergrund","","","",""
"Seltener","2006","35-65","indirekter Migrationshintergrund","","","",""
