"plb0218","year","bildungsniveau","sex","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Nein, nie","2005","(noch) kein Abschluss","maennlich","24","","",""
"Nein, nie","2005","(noch) kein Abschluss","weiblich","25","","",""
"Nein, nie","2005","Hauptschule","maennlich","598","0.329618758253211","0.308057972170749","0.351179544335673"
"Nein, nie","2005","Hauptschule","weiblich","575","0.445119736256562","0.418031115503477","0.472208357009648"
"Nein, nie","2005","Realschule","maennlich","468","0.262344381566457","0.241608939173175","0.283079823959739"
"Nein, nie","2005","Realschule","weiblich","878","0.440965089100002","0.418686869797427","0.463243308402577"
"Nein, nie","2005","(Fach-)Abitur","maennlich","233","0.350368328204388","0.314719120071961","0.386017536336815"
"Nein, nie","2005","(Fach-)Abitur","weiblich","376","0.505913961766342","0.46954596296803","0.542281960564654"
"Nein, nie","2005","AkademikerIn","maennlich","462","0.26662912837064","0.245312069286343","0.287946187454936"
"Nein, nie","2005","AkademikerIn","weiblich","550","0.436246647170026","0.409036344426219","0.463456949913833"
"Ja, jede Woche","2005","(noch) kein Abschluss","maennlich","19","","",""
"Ja, jede Woche","2005","(noch) kein Abschluss","weiblich","11","","",""
"Ja, jede Woche","2005","Hauptschule","maennlich","296","0.164349732216466","0.147351863009504","0.181347601423429"
"Ja, jede Woche","2005","Hauptschule","weiblich","216","0.176825259212648","0.156029872637916","0.197620645787381"
"Ja, jede Woche","2005","Realschule","maennlich","232","0.138540164391234","0.122256356856216","0.154823971926253"
"Ja, jede Woche","2005","Realschule","weiblich","232","0.136392417226543","0.120992717865958","0.151792116587128"
"Ja, jede Woche","2005","(Fach-)Abitur","maennlich","91","0.124383494253144","0.0997235427448043","0.149043445761484"
"Ja, jede Woche","2005","(Fach-)Abitur","weiblich","58","0.0992769826313002","0.077524957534314","0.121029007728286"
"Ja, jede Woche","2005","AkademikerIn","maennlich","267","0.161729647897562","0.143979640519154","0.17947965527597"
"Ja, jede Woche","2005","AkademikerIn","weiblich","151","0.11649327600846","0.0988906236230811","0.13409592839384"
"Ja, alle 2 Wochen","2005","(noch) kein Abschluss","maennlich","3","","",""
"Ja, alle 2 Wochen","2005","(noch) kein Abschluss","weiblich","12","","",""
