"plb0218","year","bildungsniveau","sampreg","n","percent","lower_confidence","upper_confidence"
"Nein, nie","2005","(noch) kein Abschluss","Westdeutschland","47","0.434631128093617","0.342826317287946","0.526435938899289"
"Nein, nie","2005","(noch) kein Abschluss","Ostdeutschland","2","","",""
"Nein, nie","2005","Hauptschule","Westdeutschland","1104","0.378467205962707","0.360787697090659","0.396146714834754"
"Nein, nie","2005","Hauptschule","Ostdeutschland","69","0.355883883161517","0.293737349385916","0.418030416937117"
"Nein, nie","2005","Realschule","Westdeutschland","994","0.387383151267491","0.367815746642527","0.406950555892455"
"Nein, nie","2005","Realschule","Ostdeutschland","352","0.255807045113213","0.231677324189456","0.279936766036971"
"Nein, nie","2005","(Fach-)Abitur","Westdeutschland","523","0.427052997930662","0.399054378812204","0.455051617049119"
"Nein, nie","2005","(Fach-)Abitur","Ostdeutschland","86","0.422850864292094","0.356817032794329","0.488884695789859"
"Nein, nie","2005","AkademikerIn","Westdeutschland","728","0.33027740012009","0.310233611639329","0.350321188600851"
"Nein, nie","2005","AkademikerIn","Ostdeutschland","284","0.358508036941179","0.325563686699155","0.391452387183203"
"Ja, jede Woche","2005","(noch) kein Abschluss","Westdeutschland","26","","",""
"Ja, jede Woche","2005","(noch) kein Abschluss","Ostdeutschland","4","","",""
"Ja, jede Woche","2005","Hauptschule","Westdeutschland","466","0.170066058267964","0.156371291784894","0.183760824751034"
"Ja, jede Woche","2005","Hauptschule","Ostdeutschland","46","0.158677669636291","0.111251310853103","0.206104028419479"
"Ja, jede Woche","2005","Realschule","Westdeutschland","289","0.131967754327845","0.118373035308215","0.145562473347474"
"Ja, jede Woche","2005","Realschule","Ostdeutschland","175","0.15148550224481","0.131657980244413","0.171313024245208"
"Ja, jede Woche","2005","(Fach-)Abitur","Westdeutschland","127","0.112131110967097","0.0942713360496149","0.129990885884579"
"Ja, jede Woche","2005","(Fach-)Abitur","Ostdeutschland","22","","",""
"Ja, jede Woche","2005","AkademikerIn","Westdeutschland","312","0.146948934647925","0.131859824079037","0.162038045216814"
