"pli0096_h","year","migback","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Taeglich","1985","kein Migrationshintergrund","maennlich","","","",""
"Taeglich","1985","kein Migrationshintergrund","weiblich","","","",""
"Taeglich","1985","direkter Migrationshintergrund","maennlich","","","",""
"Taeglich","1985","direkter Migrationshintergrund","weiblich","","","",""
"Taeglich","1985","indirekter Migrationshintergrund","maennlich","","","",""
"Taeglich","1985","indirekter Migrationshintergrund","weiblich","","","",""
"Taeglich","1985","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Taeglich","1985","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Min 1x pro Woche","1985","kein Migrationshintergrund","maennlich","468","0.121575527584198","0.111125852471078","0.132025202697319"
"Min 1x pro Woche","1985","kein Migrationshintergrund","weiblich","241","","",""
"Min 1x pro Woche","1985","direkter Migrationshintergrund","maennlich","73","0.061455047969241","0.0493974186738283","0.0735126772646537"
"Min 1x pro Woche","1985","direkter Migrationshintergrund","weiblich","24","","",""
"Min 1x pro Woche","1985","indirekter Migrationshintergrund","maennlich","7","0.14359691682438","0.0563070331030072","0.230886800545754"
"Min 1x pro Woche","1985","indirekter Migrationshintergrund","weiblich","2","","",""
"Min 1x pro Woche","1985","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Min 1x pro Woche","1985","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Min 1x pro Monat","1985","kein Migrationshintergrund","maennlich","362","0.0921276462557708","0.0828799218878191","0.101375370623723"
"Min 1x pro Monat","1985","kein Migrationshintergrund","weiblich","180","","",""
"Min 1x pro Monat","1985","direkter Migrationshintergrund","maennlich","46","0.0330803752296156","0.0241012090653437","0.0420595413938875"
"Min 1x pro Monat","1985","direkter Migrationshintergrund","weiblich","28","","",""
"Min 1x pro Monat","1985","indirekter Migrationshintergrund","maennlich","","","",""
"Min 1x pro Monat","1985","indirekter Migrationshintergrund","weiblich","4","0.0927456004920706","0.0270965181965472","0.158394682787594"
"Min 1x pro Monat","1985","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Min 1x pro Monat","1985","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Seltener","1985","kein Migrationshintergrund","maennlich","388","0.100550548550078","0.0909342464983445","0.110166850601811"
"Seltener","1985","kein Migrationshintergrund","weiblich","330","0.0733703817531974","0.0653891551616409","0.0813516083447538"
"Seltener","1985","direkter Migrationshintergrund","maennlich","76","0.0621187582603079","0.0500004801482091","0.0742370363724067"
"Seltener","1985","direkter Migrationshintergrund","weiblich","45","0.0478053806452031","0.0364158875217141","0.0591948737686922"
"Seltener","1985","indirekter Migrationshintergrund","maennlich","5","0.0475262690505354","-0.00543344247070587","0.100485980571777"
"Seltener","1985","indirekter Migrationshintergrund","weiblich","3","","",""
"Seltener","1985","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Seltener","1985","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Nie","1985","kein Migrationshintergrund","maennlich","2539","","",""
"Nie","1985","kein Migrationshintergrund","weiblich","3349","0.828266011061446","0.816721668338541","0.83981035378435"
"Nie","1985","direkter Migrationshintergrund","maennlich","1329","","",""
"Nie","1985","direkter Migrationshintergrund","weiblich","1251","","",""
"Nie","1985","indirekter Migrationshintergrund","maennlich","50","0.808876814125084","0.711006692556433","0.906746935693735"
"Nie","1985","indirekter Migrationshintergrund","weiblich","66","0.887830525962346","0.816410527315163","0.959250524609528"
"Nie","1985","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Nie","1985","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Taeglich","1986","kein Migrationshintergrund","maennlich","","","",""
"Taeglich","1986","kein Migrationshintergrund","weiblich","","","",""
"Taeglich","1986","direkter Migrationshintergrund","maennlich","","","",""
"Taeglich","1986","direkter Migrationshintergrund","weiblich","","","",""
"Taeglich","1986","indirekter Migrationshintergrund","maennlich","","","",""
"Taeglich","1986","indirekter Migrationshintergrund","weiblich","","","",""
"Taeglich","1986","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Taeglich","1986","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Min 1x pro Woche","1986","kein Migrationshintergrund","maennlich","446","0.12223346212156","0.11153797604424","0.13292894819888"
"Min 1x pro Woche","1986","kein Migrationshintergrund","weiblich","204","","",""
"Min 1x pro Woche","1986","direkter Migrationshintergrund","maennlich","85","0.0687731381392746","0.0559535415397898","0.0815927347387595"
"Min 1x pro Woche","1986","direkter Migrationshintergrund","weiblich","26","","",""
"Min 1x pro Woche","1986","indirekter Migrationshintergrund","maennlich","6","0.128040945488813","0.0503194052190976","0.205762485758528"
"Min 1x pro Woche","1986","indirekter Migrationshintergrund","weiblich","4","0.0164284547368365","-0.0110848336694168","0.0439417431430898"
"Min 1x pro Woche","1986","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Min 1x pro Woche","1986","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Min 1x pro Monat","1986","kein Migrationshintergrund","maennlich","332","0.0904796372830942","0.0811127002942735","0.099846574271915"
"Min 1x pro Monat","1986","kein Migrationshintergrund","weiblich","201","","",""
"Min 1x pro Monat","1986","direkter Migrationshintergrund","maennlich","50","0.0377005970403108","0.0280519501483885","0.0473492439322331"
"Min 1x pro Monat","1986","direkter Migrationshintergrund","weiblich","25","","",""
"Min 1x pro Monat","1986","indirekter Migrationshintergrund","maennlich","5","0.0891953663780322","0.0228970226091989","0.155493710146866"
"Min 1x pro Monat","1986","indirekter Migrationshintergrund","weiblich","2","","",""
"Min 1x pro Monat","1986","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Min 1x pro Monat","1986","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Seltener","1986","kein Migrationshintergrund","maennlich","349","0.0935459509786272","0.0840376843031233","0.103054217654131"
"Seltener","1986","kein Migrationshintergrund","weiblich","291","","",""
"Seltener","1986","direkter Migrationshintergrund","maennlich","65","0.0508072375407894","0.0396828223081918","0.0619316527733871"
"Seltener","1986","direkter Migrationshintergrund","weiblich","51","0.0448290465398192","0.0335848158443821","0.0560732772352563"
"Seltener","1986","indirekter Migrationshintergrund","maennlich","6","0.0283234259744872","-0.0102646100188975","0.0669114619678719"
"Seltener","1986","indirekter Migrationshintergrund","weiblich","5","0.0307419914014012","-0.00661972867364927","0.0681037114764516"
"Seltener","1986","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Seltener","1986","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
