year,migback,pli0096_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,At least once per week,0.08676,709,7857,0.08053,0.09298
1985,No migration background,At least once per month,0.06549,542,7857,0.06002,0.07096
1985,No migration background,Seldom,0.08606,718,7857,0.07986,0.09226
1985,No migration background,Never,0.76169,5888,7857,0.75227,0.77112
1985,Direct migration background,At least once per week,0.04941,97,2872,0.04148,0.05733
1985,Direct migration background,At least once per month,0.03028,74,2872,0.02401,0.03655
1985,Direct migration background,Seldom,0.05511,121,2872,0.04677,0.06346
1985,Direct migration background,Never,0.86520,2580,2872,0.85271,0.87769
1985,Indirect migration background,Never,0.85265,116,116,0.78787,0.91744
1986,No migration background,At least once per week,0.08468,650,7498,0.07838,0.09098
1986,No migration background,At least once per month,0.06807,533,7498,0.06237,0.07378
1986,No migration background,Seldom,0.08038,641,7498,0.07423,0.08654
1986,No migration background,Never,0.76686,5674,7498,0.75729,0.77643
1986,Direct migration background,At least once per week,0.04825,111,2798,0.04031,0.05619
1986,Direct migration background,At least once per month,0.03916,75,2798,0.03197,0.04635
1986,Direct migration background,Seldom,0.04789,116,2798,0.03997,0.05580
1986,Direct migration background,Never,0.86470,2496,2798,0.85203,0.87738
1986,Indirect migration background,Never,0.86404,125,125,0.80372,0.92437
1988,No migration background,At least once per week,0.09423,680,6996,0.08738,0.10107
1988,No migration background,At least once per month,0.07049,530,6996,0.06449,0.07648
1988,No migration background,Seldom,0.09613,700,6996,0.08922,0.10303
1988,No migration background,Never,0.73916,5086,6996,0.72887,0.74945
1988,Direct migration background,At least once per week,0.06016,115,2636,0.05108,0.06924
1988,Direct migration background,At least once per month,0.02532,61,2636,0.01932,0.03131
1988,Direct migration background,Seldom,0.06230,125,2636,0.05307,0.07153
1988,Direct migration background,Never,0.85223,2335,2636,0.83868,0.86578
1988,Indirect migration background,Never,0.80130,182,182,0.74317,0.85944
1990,No migration background,At least once per week,0.08372,884,10781,0.07849,0.08895
1990,No migration background,At least once per month,0.08205,996,10781,0.07687,0.08723
1990,No migration background,Seldom,0.11882,1312,10781,0.11271,0.12493
1990,No migration background,Never,0.71541,7589,10781,0.70689,0.72393
1990,Direct migration background,At least once per week,0.05653,99,2649,0.04773,0.06532
1990,Direct migration background,At least once per month,0.04606,88,2649,0.03807,0.05404
1990,Direct migration background,Seldom,0.08646,181,2649,0.07575,0.09716
1990,Direct migration background,Never,0.81096,2281,2649,0.79604,0.82587
1990,Indirect migration background,Never,0.86889,258,258,0.82763,0.91016
1992,No migration background,At least once per week,0.06904,671,10230,0.06413,0.07395
1992,No migration background,At least once per month,0.06697,688,10230,0.06212,0.07181
1992,No migration background,Seldom,0.11128,1158,10230,0.10518,0.11737
1992,No migration background,Never,0.75272,7713,10230,0.74435,0.76108
1992,Direct migration background,At least once per week,0.03929,87,2511,0.03169,0.04689
1992,Direct migration background,At least once per month,0.04919,91,2511,0.04073,0.05765
1992,Direct migration background,Seldom,0.08424,167,2511,0.07337,0.09510
1992,Direct migration background,Never,0.82728,2166,2511,0.81249,0.84207
1992,Indirect migration background,Seldom,0.07689,38,375,0.04989,0.10389
1992,Indirect migration background,Never,0.85340,337,375,0.81755,0.88925
1994,No migration background,At least once per week,0.07105,662,9939,0.06599,0.07610
1994,No migration background,At least once per month,0.07002,697,9939,0.06500,0.07504
1994,No migration background,Seldom,0.11817,1167,9939,0.11183,0.12452
1994,No migration background,Never,0.74076,7413,9939,0.73215,0.74938
1994,Direct migration background,At least once per week,0.04623,85,2333,0.03771,0.05475
1994,Direct migration background,At least once per month,0.04311,80,2333,0.03487,0.05136
1994,Direct migration background,Seldom,0.08162,198,2333,0.07051,0.09273
1994,Direct migration background,Never,0.82904,1970,2333,0.81376,0.84432
1994,Indirect migration background,Seldom,0.10608,55,443,0.07737,0.13479
1994,Indirect migration background,Never,0.80470,388,443,0.76774,0.84166
1995,No migration background,At least once per week,0.08070,783,9924,0.07534,0.08606
1995,No migration background,At least once per month,0.06119,621,9924,0.05647,0.06590
1995,No migration background,Seldom,0.09154,890,9924,0.08587,0.09721
1995,No migration background,Never,0.76657,7630,9924,0.75825,0.77490
1995,Direct migration background,At least once per week,0.04939,106,2755,0.04130,0.05748
1995,Direct migration background,At least once per month,0.03737,84,2755,0.03029,0.04446
1995,Direct migration background,Seldom,0.06784,162,2755,0.05845,0.07723
1995,Direct migration background,Never,0.84539,2403,2755,0.83189,0.85890
1995,Indirect migration background,Never,0.81315,441,441,0.77673,0.84957
1996,No migration background,At least once per week,0.07968,755,9859,0.07433,0.08503
1996,No migration background,At least once per month,0.07549,733,9859,0.07028,0.08071
1996,No migration background,Seldom,0.14948,1447,9859,0.14244,0.15651
1996,No migration background,Never,0.69535,6924,9859,0.68626,0.70444
1996,Direct migration background,At least once per week,0.04368,91,2587,0.03580,0.05156
1996,Direct migration background,At least once per month,0.05932,112,2587,0.05022,0.06843
1996,Direct migration background,Seldom,0.09839,261,2587,0.08691,0.10987
1996,Direct migration background,Never,0.79861,2123,2587,0.78315,0.81407
1996,Indirect migration background,Seldom,0.16517,81,498,0.13252,0.19781
1996,Indirect migration background,Never,0.72433,417,498,0.68505,0.76362
1997,No migration background,At least once per week,0.08120,764,9711,0.07576,0.08663
1997,No migration background,At least once per month,0.07868,736,9711,0.07333,0.08404
1997,No migration background,Seldom,0.13218,1279,9711,0.12545,0.13892
1997,No migration background,Never,0.70794,6932,9711,0.69889,0.71698
1997,Direct migration background,At least once per week,0.04844,99,2452,0.03994,0.05694
1997,Direct migration background,At least once per month,0.05180,86,2452,0.04303,0.06058
1997,Direct migration background,Seldom,0.08655,229,2452,0.07542,0.09769
1997,Direct migration background,Never,0.81320,2038,2452,0.79777,0.82863
1997,Indirect migration background,At least once per week,0.06270,31,544,0.04231,0.08309
1997,Indirect migration background,Seldom,0.12940,70,544,0.10116,0.15763
1997,Indirect migration background,Never,0.77380,443,544,0.73861,0.80899
1998,No migration background,At least once per week,0.07993,898,11161,0.07489,0.08496
1998,No migration background,At least once per month,0.07635,843,11161,0.07143,0.08128
1998,No migration background,Seldom,0.11178,1190,11161,0.10594,0.11763
1998,No migration background,Never,0.73194,8230,11161,0.72372,0.74016
1998,Direct migration background,At least once per week,0.04997,93,2372,0.04120,0.05874
1998,Direct migration background,At least once per month,0.03554,81,2372,0.02809,0.04299
1998,Direct migration background,Seldom,0.06621,148,2372,0.05621,0.07622
1998,Direct migration background,Never,0.84827,2050,2372,0.83383,0.86271
1998,Indirect migration background,Seldom,0.09624,53,550,0.07157,0.12091
1998,Indirect migration background,Never,0.81675,497,550,0.78438,0.84911
1999,No migration background,At least once per week,0.08440,898,10789,0.07916,0.08965
1999,No migration background,At least once per month,0.07784,852,10789,0.07278,0.08289
1999,No migration background,Seldom,0.14417,1542,10789,0.13754,0.15080
1999,No migration background,Never,0.69359,7497,10789,0.68490,0.70229
1999,Direct migration background,At least once per week,0.04947,84,2187,0.04038,0.05856
1999,Direct migration background,At least once per month,0.03618,71,2187,0.02835,0.04401
1999,Direct migration background,Seldom,0.10269,220,2187,0.08996,0.11541
1999,Direct migration background,Never,0.81165,1812,2187,0.79526,0.82805
1999,Indirect migration background,At least once per week,0.06751,35,579,0.04705,0.08796
1999,Indirect migration background,Seldom,0.14101,82,579,0.11264,0.16938
1999,Indirect migration background,Never,0.75249,462,579,0.71730,0.78767
2001,No migration background,At least once per week,0.08730,1587,18035,0.08318,0.09142
2001,No migration background,At least once per month,0.08160,1516,18035,0.07761,0.08560
2001,No migration background,Seldom,0.12750,2355,18035,0.12264,0.13237
2001,No migration background,Never,0.70360,12577,18035,0.69693,0.71026
2001,Direct migration background,At least once per week,0.03784,107,2888,0.03088,0.04480
2001,Direct migration background,At least once per month,0.04089,104,2888,0.03367,0.04811
2001,Direct migration background,Seldom,0.07453,213,2888,0.06495,0.08411
2001,Direct migration background,Never,0.84674,2464,2888,0.83360,0.85988
2001,Indirect migration background,At least once per week,0.06722,47,740,0.04916,0.08527
2001,Indirect migration background,Seldom,0.10142,73,740,0.07966,0.12319
2001,Indirect migration background,Never,0.80997,620,740,0.78168,0.83826
2003,No migration background,At least once per week,0.09146,1842,18672,0.08732,0.09559
2003,No migration background,At least once per month,0.07644,1528,18672,0.07263,0.08025
2003,No migration background,Seldom,0.11024,2158,18672,0.10574,0.11473
2003,No migration background,Never,0.72186,13144,18672,0.71544,0.72829
2003,Direct migration background,At least once per week,0.04834,115,2597,0.04009,0.05659
2003,Direct migration background,At least once per month,0.03051,75,2597,0.02390,0.03713
2003,Direct migration background,Seldom,0.05834,148,2597,0.04932,0.06735
2003,Direct migration background,Never,0.86281,2259,2597,0.84958,0.87605
2003,Indirect migration background,At least once per week,0.06704,56,754,0.04917,0.08490
2003,Indirect migration background,Seldom,0.07028,52,754,0.05202,0.08853
2003,Indirect migration background,Never,0.83978,646,754,0.81358,0.86598
