year,migback,regtyp,pli0096_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,Urban regions,At least once per week,0.08645,530,5913,0.07928,0.09361
1985,No migration background,Urban regions,At least once per month,0.06296,390,5913,0.05677,0.06916
1985,No migration background,Urban regions,Seldom,0.08252,520,5913,0.07550,0.08953
1985,No migration background,Urban regions,Never,0.76807,4473,5913,0.75732,0.77883
1985,No migration background,Rural regions,At least once per week,0.08767,179,1944,0.07510,0.10025
1985,No migration background,Rural regions,At least once per month,0.07288,152,1944,0.06132,0.08444
1985,No migration background,Rural regions,Seldom,0.09644,198,1944,0.08332,0.10957
1985,No migration background,Rural regions,Never,0.74300,1415,1944,0.72357,0.76243
1985,Direct migration background,Urban regions,At least once per week,0.04202,77,2525,0.03419,0.04984
1985,Direct migration background,Urban regions,At least once per month,0.02649,62,2525,0.02022,0.03275
1985,Direct migration background,Urban regions,Seldom,0.05698,108,2525,0.04794,0.06602
1985,Direct migration background,Urban regions,Never,0.87452,2278,2525,0.86159,0.88744
1985,Direct migration background,Rural regions,Never,0.80915,302,302,0.76475,0.85354
1985,Indirect migration background,Urban regions,Never,0.87005,101,101,0.80414,0.93595
1986,No migration background,Urban regions,At least once per week,0.08387,485,5676,0.07666,0.09109
1986,No migration background,Urban regions,At least once per month,0.06545,387,5676,0.05901,0.07188
1986,No migration background,Urban regions,Seldom,0.07772,467,5676,0.07075,0.08468
1986,No migration background,Urban regions,Never,0.77296,4337,5676,0.76206,0.78386
1986,No migration background,Rural regions,At least once per week,0.08710,165,1822,0.07415,0.10006
1986,No migration background,Rural regions,At least once per month,0.07594,146,1822,0.06378,0.08811
1986,No migration background,Rural regions,Seldom,0.08837,174,1822,0.07533,0.10141
1986,No migration background,Rural regions,Never,0.74858,1337,1822,0.72866,0.76851
1986,Direct migration background,Urban regions,At least once per week,0.04239,91,2437,0.03438,0.05039
1986,Direct migration background,Urban regions,At least once per month,0.03576,62,2437,0.02839,0.04313
1986,Direct migration background,Urban regions,Seldom,0.04537,94,2437,0.03711,0.05364
1986,Direct migration background,Urban regions,Never,0.87648,2190,2437,0.86342,0.88955
1986,Direct migration background,Rural regions,Never,0.79994,306,306,0.75504,0.84483
1986,Indirect migration background,Urban regions,Never,0.84438,108,108,0.77569,0.91307
1988,No migration background,Urban regions,At least once per week,0.09594,522,5325,0.08803,0.10385
1988,No migration background,Urban regions,At least once per month,0.06570,378,5325,0.05904,0.07235
1988,No migration background,Urban regions,Seldom,0.09025,502,5325,0.08255,0.09794
1988,No migration background,Urban regions,Never,0.74811,3923,5325,0.73645,0.75977
1988,No migration background,Rural regions,At least once per week,0.08894,158,1671,0.07529,0.10260
1988,No migration background,Rural regions,At least once per month,0.08523,152,1671,0.07183,0.09862
1988,No migration background,Rural regions,Seldom,0.11424,198,1671,0.09898,0.12949
1988,No migration background,Rural regions,Never,0.71159,1163,1671,0.68987,0.73332
1988,Direct migration background,Urban regions,At least once per week,0.05587,94,2301,0.04649,0.06526
1988,Direct migration background,Urban regions,At least once per month,0.02484,56,2301,0.01848,0.03120
1988,Direct migration background,Urban regions,Seldom,0.06202,107,2301,0.05217,0.07188
1988,Direct migration background,Urban regions,Never,0.85727,2044,2301,0.84297,0.87156
1988,Direct migration background,Rural regions,Never,0.82216,291,291,0.77815,0.86617
1988,Indirect migration background,Urban regions,Never,0.81328,157,157,0.75213,0.87443
1990,No migration background,No answer / don't know,Never,0.72432,60,60,0.61029,0.83834
1990,No migration background,Urban regions,At least once per week,0.08676,553,6391,0.07986,0.09367
1990,No migration background,Urban regions,At least once per month,0.07744,522,6391,0.07088,0.08399
1990,No migration background,Urban regions,Seldom,0.11771,775,6391,0.10980,0.12561
1990,No migration background,Urban regions,Never,0.71809,4541,6391,0.70706,0.72912
1990,No migration background,Rural regions,At least once per week,0.07791,327,4304,0.06990,0.08592
1990,No migration background,Rural regions,At least once per month,0.09138,463,4304,0.08277,0.09999
1990,No migration background,Rural regions,Seldom,0.12097,526,4304,0.11122,0.13071
1990,No migration background,Rural regions,Never,0.70974,2988,4304,0.69618,0.72330
1990,Direct migration background,Urban regions,At least once per week,0.05102,75,2236,0.04189,0.06014
1990,Direct migration background,Urban regions,At least once per month,0.03806,62,2236,0.03013,0.04599
1990,Direct migration background,Urban regions,Seldom,0.08277,151,2236,0.07135,0.09420
1990,Direct migration background,Urban regions,Never,0.82815,1948,2236,0.81251,0.84379
1990,Direct migration background,Rural regions,Never,0.73435,332,332,0.68677,0.78193
1990,Indirect migration background,Urban regions,Never,0.85665,221,221,0.81035,0.90296
1990,Indirect migration background,Rural regions,Never,0.94007,37,37,0.86254,1.01761
1992,No migration background,No answer / don't know,Never,0.81082,91,91,0.72991,0.89174
1992,No migration background,Urban regions,At least once per week,0.07239,439,6109,0.06589,0.07889
1992,No migration background,Urban regions,At least once per month,0.06403,376,6109,0.05789,0.07017
1992,No migration background,Urban regions,Seldom,0.11039,674,6109,0.10253,0.11825
1992,No migration background,Urban regions,Never,0.75318,4620,6109,0.74237,0.76400
1992,No migration background,Rural regions,At least once per week,0.06271,227,4006,0.05520,0.07022
1992,No migration background,Rural regions,At least once per month,0.07335,305,4006,0.06527,0.08142
1992,No migration background,Rural regions,Seldom,0.11332,472,4006,0.10351,0.12314
1992,No migration background,Rural regions,Never,0.75062,3002,4006,0.73722,0.76402
1992,Direct migration background,Urban regions,At least once per week,0.03712,64,2105,0.02904,0.04520
1992,Direct migration background,Urban regions,At least once per month,0.05062,79,2105,0.04125,0.05998
1992,Direct migration background,Urban regions,Seldom,0.07978,136,2105,0.06820,0.09135
1992,Direct migration background,Urban regions,Never,0.83249,1826,2105,0.81653,0.84845
1992,Direct migration background,Rural regions,Seldom,0.10298,31,370,0.07197,0.13399
1992,Direct migration background,Rural regions,Never,0.80523,339,370,0.76482,0.84563
1992,Indirect migration background,Urban regions,Seldom,0.07271,33,320,0.04422,0.10121
1992,Indirect migration background,Urban regions,Never,0.86085,287,320,0.82287,0.89883
1992,Indirect migration background,Rural regions,Never,0.81717,50,50,0.70895,0.92540
1994,No migration background,Urban regions,At least once per week,0.07660,446,6045,0.06990,0.08331
1994,No migration background,Urban regions,At least once per month,0.06879,406,6045,0.06241,0.07517
1994,No migration background,Urban regions,Seldom,0.11067,678,6045,0.10276,0.11858
1994,No migration background,Urban regions,Never,0.74394,4515,6045,0.73293,0.75494
1994,No migration background,Rural regions,At least once per week,0.05971,216,3894,0.05227,0.06716
1994,No migration background,Rural regions,At least once per month,0.07252,291,3894,0.06437,0.08067
1994,No migration background,Rural regions,Seldom,0.13348,489,3894,0.12280,0.14416
1994,No migration background,Rural regions,Never,0.73429,2898,3894,0.72041,0.74816
1994,Direct migration background,Urban regions,At least once per week,0.04418,67,1950,0.03506,0.05330
1994,Direct migration background,Urban regions,At least once per month,0.04097,61,1950,0.03217,0.04977
1994,Direct migration background,Urban regions,Seldom,0.07861,164,1950,0.06666,0.09055
1994,Direct migration background,Urban regions,Never,0.83624,1658,1950,0.81981,0.85267
1994,Direct migration background,Rural regions,Seldom,0.09454,34,346,0.06367,0.12542
1994,Direct migration background,Rural regions,Never,0.79817,312,346,0.75581,0.84052
1994,Indirect migration background,Urban regions,Seldom,0.10080,47,377,0.07037,0.13123
1994,Indirect migration background,Urban regions,Never,0.81342,330,377,0.77404,0.85279
1994,Indirect migration background,Rural regions,Never,0.76179,58,58,0.65120,0.87238
1995,No migration background,Urban regions,At least once per week,0.08647,523,5957,0.07933,0.09360
1995,No migration background,Urban regions,At least once per month,0.05835,353,5957,0.05240,0.06430
1995,No migration background,Urban regions,Seldom,0.08570,511,5957,0.07859,0.09281
1995,No migration background,Urban regions,Never,0.76948,4570,5957,0.75878,0.78018
1995,No migration background,Rural regions,At least once per week,0.06940,260,3967,0.06149,0.07731
1995,No migration background,Rural regions,At least once per month,0.06674,268,3967,0.05898,0.07451
1995,No migration background,Rural regions,Seldom,0.10298,379,3967,0.09352,0.11243
1995,No migration background,Rural regions,Never,0.76088,3060,3967,0.74760,0.77415
1995,Direct migration background,Urban regions,At least once per week,0.04839,86,2287,0.03960,0.05719
1995,Direct migration background,Urban regions,At least once per month,0.03285,60,2287,0.02554,0.04016
1995,Direct migration background,Urban regions,Seldom,0.06569,129,2287,0.05553,0.07585
1995,Direct migration background,Urban regions,Never,0.85307,2012,2287,0.83856,0.86758
1995,Direct migration background,Rural regions,Seldom,0.07686,33,424,0.05147,0.10224
1995,Direct migration background,Rural regions,Never,0.81324,391,424,0.77610,0.85038
1995,Indirect migration background,Urban regions,Never,0.82930,373,373,0.79106,0.86753
1995,Indirect migration background,Rural regions,Never,0.73103,68,68,0.62485,0.83721
1996,No migration background,Urban regions,At least once per week,0.08404,488,5919,0.07697,0.09111
1996,No migration background,Urban regions,At least once per month,0.07274,413,5919,0.06612,0.07936
1996,No migration background,Urban regions,Seldom,0.13901,823,5919,0.13020,0.14783
1996,No migration background,Urban regions,Never,0.70420,4195,5919,0.69257,0.71583
1996,No migration background,Rural regions,At least once per week,0.07094,267,3940,0.06292,0.07896
1996,No migration background,Rural regions,At least once per month,0.08101,320,3940,0.07249,0.08953
1996,No migration background,Rural regions,Seldom,0.17044,624,3940,0.15870,0.18218
1996,No migration background,Rural regions,Never,0.67762,2729,3940,0.66302,0.69221
1996,Direct migration background,Urban regions,At least once per week,0.03698,65,2132,0.02897,0.04499
1996,Direct migration background,Urban regions,At least once per month,0.05499,88,2132,0.04532,0.06467
1996,Direct migration background,Urban regions,Seldom,0.09229,209,2132,0.08000,0.10458
1996,Direct migration background,Urban regions,Never,0.81573,1770,2132,0.79927,0.83220
1996,Direct migration background,Rural regions,Seldom,0.12487,52,405,0.09263,0.15710
1996,Direct migration background,Rural regions,Never,0.72426,353,405,0.68068,0.76783
