,Unnamed: 0,year,age_gr,sampreg,pli0096_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,17-29 y.,West,At least once per week,0.09432,252,10866,0.0897,0.09842
1,1,1985,17-29 y.,West,At least once per month,0.04867,137,10866,0.04488,0.05148
2,2,1985,17-29 y.,West,Seldom,0.09658,272,10866,0.09091,0.10232
3,3,1985,17-29 y.,West,Never,0.76043,2441,10866,0.74262,0.77628
4,4,1985,30-45 y.,West,At least once per week,0.0934,272,10866,0.08897,0.09776
5,5,1985,30-45 y.,West,At least once per month,0.08703,251,10866,0.08334,0.09023
6,6,1985,30-45 y.,West,Seldom,0.0948,283,10866,0.08975,0.09965
7,7,1985,30-45 y.,West,Never,0.72477,2628,10866,0.70869,0.74087
8,8,1985,46-65 y.,West,At least once per week,0.08922,246,10866,0.08637,0.09208
9,9,1985,46-65 y.,West,At least once per month,0.07032,196,10866,0.06757,0.07274
10,10,1985,46-65 y.,West,Seldom,0.08298,242,10866,0.08036,0.08572
11,11,1985,46-65 y.,West,Never,0.75747,2562,10866,0.74212,0.77395
12,12,1985,66 and older,West,At least once per week,0.04031,45,10866,0.03802,0.04262
13,13,1985,66 and older,West,At least once per month,0.03006,36,10866,0.02748,0.03284
14,14,1985,66 and older,West,Seldom,0.0447,50,10866,0.04113,0.04741
15,15,1985,66 and older,West,Never,0.88494,953,10866,0.8671,0.9009
16,16,1986,17-29 y.,West,At least once per week,0.09269,245,10448,0.08691,0.09774
17,17,1986,17-29 y.,West,At least once per month,0.04569,126,10448,0.04146,0.04986
18,18,1986,17-29 y.,West,Seldom,0.103,282,10448,0.09682,0.10859
19,19,1986,17-29 y.,West,Never,0.75862,2374,10448,0.73722,0.77854
20,20,1986,30-45 y.,West,At least once per week,0.08891,245,10448,0.08424,0.09299
21,21,1986,30-45 y.,West,At least once per month,0.08503,236,10448,0.08035,0.08934
22,22,1986,30-45 y.,West,Seldom,0.0878,246,10448,0.08285,0.0924
23,23,1986,30-45 y.,West,Never,0.73826,2511,10448,0.72268,0.75709
24,24,1986,46-65 y.,West,At least once per week,0.08416,232,10448,0.0805,0.08703
25,25,1986,46-65 y.,West,At least once per month,0.07903,213,10448,0.07565,0.08279
26,26,1986,46-65 y.,West,Seldom,0.07019,202,10448,0.0669,0.07401
27,27,1986,46-65 y.,West,Never,0.76661,2525,10448,0.75155,0.78847
28,28,1986,66 and older,West,At least once per week,0.04605,49,10448,0.04255,0.0497
29,29,1986,66 and older,West,At least once per month,0.03819,40,10448,0.03504,0.04283
30,30,1986,66 and older,West,Seldom,0.03489,37,10448,0.03137,0.03903
31,31,1986,66 and older,West,Never,0.88087,885,10448,0.86439,0.89934
32,32,1988,17-29 y.,West,At least once per week,0.10217,251,9850,0.0951,0.11055
33,33,1988,17-29 y.,West,At least once per month,0.04182,112,9850,0.03677,0.04711
34,34,1988,17-29 y.,West,Seldom,0.10505,260,9850,0.09805,0.1131
35,35,1988,17-29 y.,West,Never,0.75096,2228,9850,0.72442,0.77642
36,36,1988,30-45 y.,West,At least once per week,0.09713,242,9850,0.0918,0.10217
37,37,1988,30-45 y.,West,At least once per month,0.08559,221,9850,0.08062,0.0895
38,38,1988,30-45 y.,West,Seldom,0.10757,278,9850,0.1024,0.11374
39,39,1988,30-45 y.,West,Never,0.70971,2182,9850,0.68961,0.72724
40,40,1988,46-65 y.,West,At least once per week,0.09758,261,9850,0.09264,0.10192
41,41,1988,46-65 y.,West,At least once per month,0.08587,225,9850,0.08248,0.09015
42,42,1988,46-65 y.,West,Seldom,0.0964,253,9850,0.09198,0.10137
43,43,1988,46-65 y.,West,Never,0.72015,2326,9850,0.70098,0.73726
44,44,1988,66 and older,West,At least once per week,0.05336,54,9850,0.04988,0.05739
45,45,1988,66 and older,West,At least once per month,0.03513,41,9850,0.03202,0.03789
46,46,1988,66 and older,West,Seldom,0.04731,49,9850,0.04278,0.05135
47,47,1988,66 and older,West,Never,0.86421,867,9850,0.848,0.88335
48,48,1990,17-29 y.,West,At least once per week,0.08488,189,13655,0.07795,0.09145
49,49,1990,17-29 y.,West,At least once per month,0.05781,120,13655,0.05146,0.06368
50,50,1990,17-29 y.,West,Seldom,0.12729,291,13655,0.11872,0.1363
51,51,1990,17-29 y.,West,Never,0.73002,2103,13655,0.70557,0.75943
52,52,1990,17-29 y.,East,At least once per week,0.05356,55,13655,0.04723,0.06256
53,53,1990,17-29 y.,East,At least once per month,0.06081,68,13655,0.05598,0.0669
54,54,1990,17-29 y.,East,Seldom,0.08982,112,13655,0.08357,0.0968
55,55,1990,17-29 y.,East,Never,0.7958,877,13655,0.77452,0.81736
56,56,1990,30-45 y.,West,At least once per week,0.09397,228,13655,0.08759,0.09871
57,57,1990,30-45 y.,West,At least once per month,0.08198,207,13655,0.07649,0.08818
58,58,1990,30-45 y.,West,Seldom,0.15134,374,13655,0.1423,0.15851
59,59,1990,30-45 y.,West,Never,0.67271,1975,13655,0.65432,0.69551
60,60,1990,30-45 y.,East,At least once per week,0.06954,115,13655,0.06585,0.07317
61,61,1990,30-45 y.,East,At least once per month,0.13784,216,13655,0.13064,0.14568
62,62,1990,30-45 y.,East,Seldom,0.12237,191,13655,0.11643,0.12954
63,63,1990,30-45 y.,East,Never,0.67024,956,13655,0.65258,0.68899
64,64,1990,46-65 y.,West,At least once per week,0.09831,244,13655,0.09352,0.10447
65,65,1990,46-65 y.,West,At least once per month,0.0827,205,13655,0.07829,0.08773
66,66,1990,46-65 y.,West,Seldom,0.12686,331,13655,0.12087,0.13295
67,67,1990,46-65 y.,West,Never,0.69214,2115,13655,0.67404,0.71444
68,68,1990,46-65 y.,East,At least once per week,0.0692,91,13655,0.06497,0.07501
69,69,1990,46-65 y.,East,At least once per month,0.14332,193,13655,0.1373,0.15116
70,70,1990,46-65 y.,East,Seldom,0.10182,139,13655,0.09786,0.10652
71,71,1990,46-65 y.,East,Never,0.68565,892,13655,0.67008,0.70076
72,72,1990,66 and older,West,At least once per week,0.047,48,13655,0.04319,0.05165
73,73,1990,66 and older,West,At least once per month,0.0505,58,13655,0.04575,0.05548
74,74,1990,66 and older,West,Seldom,0.04675,52,13655,0.04112,0.05169
75,75,1990,66 and older,West,Never,0.85574,874,13655,0.83317,0.87583
76,76,1990,66 and older,East,Never,1.0,336,13655,0.95863,1.05234
77,77,1992,17-29 y.,West,At least once per week,0.06995,162,13099,0.06246,0.07708
78,78,1992,17-29 y.,West,At least once per month,0.04706,112,13099,0.04102,0.05367
79,79,1992,17-29 y.,West,Seldom,0.12437,302,13099,0.11601,0.13396
80,80,1992,17-29 y.,West,Never,0.75862,2070,13099,0.72868,0.78419
81,81,1992,17-29 y.,East,At least once per week,0.03487,31,13099,0.02865,0.04126
82,82,1992,17-29 y.,East,At least once per month,0.03363,34,13099,0.02772,0.04038
83,83,1992,17-29 y.,East,Seldom,0.09041,84,13099,0.07877,0.10156
84,84,1992,17-29 y.,East,Never,0.84108,755,13099,0.80238,0.87418
85,85,1992,30-45 y.,West,At least once per week,0.07666,211,13099,0.07151,0.08275
86,86,1992,30-45 y.,West,At least once per month,0.06422,170,13099,0.05898,0.07102
87,87,1992,30-45 y.,West,Seldom,0.14664,358,13099,0.13782,0.15618
88,88,1992,30-45 y.,West,Never,0.71249,2063,13099,0.69357,0.7332
89,89,1992,30-45 y.,East,At least once per week,0.03573,54,13099,0.0322,0.03961
90,90,1992,30-45 y.,East,At least once per month,0.05884,90,13099,0.05409,0.06341
91,91,1992,30-45 y.,East,Seldom,0.10401,158,13099,0.09651,0.11176
92,92,1992,30-45 y.,East,Never,0.80141,1116,13099,0.77933,0.82662
93,93,1992,46-65 y.,West,At least once per week,0.08407,198,13099,0.07869,0.08968
94,94,1992,46-65 y.,West,At least once per month,0.08689,207,13099,0.08241,0.09299
95,95,1992,46-65 y.,West,Seldom,0.10952,266,13099,0.10252,0.11653
96,96,1992,46-65 y.,West,Never,0.71951,2065,13099,0.69835,0.74256
97,97,1992,46-65 y.,East,At least once per week,0.04919,61,13099,0.0447,0.05494
98,98,1992,46-65 y.,East,At least once per month,0.07322,95,13099,0.06736,0.07922
99,99,1992,46-65 y.,East,Seldom,0.1021,130,13099,0.09599,0.10959
100,100,1992,46-65 y.,East,Never,0.7755,937,13099,0.75428,0.80117
101,101,1992,66 and older,West,At least once per week,0.04916,48,13099,0.0428,0.05477
102,102,1992,66 and older,West,At least once per month,0.05894,58,13099,0.05281,0.0652
103,103,1992,66 and older,West,Seldom,0.05051,54,13099,0.04543,0.05576
104,104,1992,66 and older,West,Never,0.84139,862,13099,0.82028,0.86126
105,105,1992,66 and older,East,Never,1.0,348,13099,0.95836,1.04361
106,106,1994,17-29 y.,West,At least once per week,0.08013,181,12682,0.07329,0.08718
107,107,1994,17-29 y.,West,At least once per month,0.04787,115,12682,0.04192,0.05361
108,108,1994,17-29 y.,West,Seldom,0.14458,310,12682,0.13545,0.15783
109,109,1994,17-29 y.,West,Never,0.72741,1877,12682,0.69775,0.75282
110,110,1994,17-29 y.,East,At least once per month,0.04039,35,12682,0.03209,0.04893
111,111,1994,17-29 y.,East,Seldom,0.08159,70,12682,0.06788,0.09436
112,112,1994,17-29 y.,East,Never,0.87802,710,12682,0.84272,0.92221
113,113,1994,30-45 y.,West,At least once per week,0.07685,200,12682,0.07085,0.08194
114,114,1994,30-45 y.,West,At least once per month,0.06586,176,12682,0.06016,0.07165
115,115,1994,30-45 y.,West,Seldom,0.14385,391,12682,0.13378,0.15341
116,116,1994,30-45 y.,West,Never,0.71344,2020,12682,0.68813,0.74107
117,117,1994,30-45 y.,East,At least once per week,0.03782,55,12682,0.03341,0.0428
118,118,1994,30-45 y.,East,At least once per month,0.07576,101,12682,0.06712,0.08494
119,119,1994,30-45 y.,East,Seldom,0.09645,139,12682,0.09035,0.10357
120,120,1994,30-45 y.,East,Never,0.78998,1040,12682,0.76801,0.81637
121,121,1994,46-65 y.,West,At least once per week,0.08949,201,12682,0.08266,0.09557
122,122,1994,46-65 y.,West,At least once per month,0.0796,194,12682,0.07404,0.08571
123,123,1994,46-65 y.,West,Seldom,0.11993,303,12682,0.11189,0.12892
124,124,1994,46-65 y.,West,Never,0.71098,1967,12682,0.69151,0.73338
125,125,1994,46-65 y.,East,At least once per week,0.03877,49,12682,0.0347,0.04314
126,126,1994,46-65 y.,East,At least once per month,0.07173,85,12682,0.06452,0.07924
127,127,1994,46-65 y.,East,Seldom,0.08612,112,12682,0.07819,0.09439
128,128,1994,46-65 y.,East,Never,0.80338,939,12682,0.77472,0.83112
129,129,1994,66 and older,West,At least once per week,0.04872,53,12682,0.04362,0.05405
130,130,1994,66 and older,West,At least once per month,0.0689,69,12682,0.06205,0.07646
131,131,1994,66 and older,West,Seldom,0.06304,72,12682,0.05541,0.07012
132,132,1994,66 and older,West,Never,0.81934,880,12682,0.79073,0.84124
133,133,1994,66 and older,East,Never,1.0,338,12682,0.95034,1.03588
134,134,1995,17-29 y.,West,At least once per week,0.08271,181,13130,0.07554,0.09068
135,135,1995,17-29 y.,West,At least once per month,0.04479,101,13130,0.0399,0.05065
136,136,1995,17-29 y.,West,Seldom,0.10647,210,13130,0.09593,0.11819
137,137,1995,17-29 y.,West,Never,0.76604,2017,13130,0.73999,0.79345
138,138,1995,17-29 y.,East,At least once per week,0.03533,32,13130,0.02977,0.04219
139,139,1995,17-29 y.,East,At least once per month,0.03551,31,13130,0.02913,0.04255
140,140,1995,17-29 y.,East,Seldom,0.05993,53,13130,0.05112,0.07205
141,141,1995,17-29 y.,East,Never,0.86924,710,13130,0.82674,0.91659
142,142,1995,30-45 y.,West,At least once per week,0.09172,268,13130,0.08543,0.09832
143,143,1995,30-45 y.,West,At least once per month,0.05554,162,13130,0.05033,0.06015
144,144,1995,30-45 y.,West,Seldom,0.10089,288,13130,0.09355,0.10725
145,145,1995,30-45 y.,West,Never,0.75185,2420,13130,0.73245,0.77799
146,146,1995,30-45 y.,East,At least once per week,0.05187,72,13130,0.04696,0.05839
147,147,1995,30-45 y.,East,At least once per month,0.05863,78,13130,0.05233,0.06666
148,148,1995,30-45 y.,East,Seldom,0.07654,101,13130,0.06718,0.08705
149,149,1995,30-45 y.,East,Never,0.81296,1023,13130,0.78577,0.84089
150,150,1995,46-65 y.,West,At least once per week,0.09368,225,13130,0.08721,0.10124
151,151,1995,46-65 y.,West,At least once per month,0.07104,176,13130,0.06531,0.07664
152,152,1995,46-65 y.,West,Seldom,0.10211,262,13130,0.09386,0.10827
153,153,1995,46-65 y.,West,Never,0.73317,2106,13130,0.70837,0.75975
154,154,1995,46-65 y.,East,At least once per week,0.04483,54,13130,0.03865,0.05156
155,155,1995,46-65 y.,East,At least once per month,0.07164,94,13130,0.06523,0.07694
156,156,1995,46-65 y.,East,Seldom,0.07307,91,13130,0.0628,0.08332
157,157,1995,46-65 y.,East,Never,0.81045,925,13130,0.78472,0.84061
158,158,1995,66 and older,West,At least once per week,0.05576,62,13130,0.04957,0.06326
159,159,1995,66 and older,West,At least once per month,0.05414,57,13130,0.04803,0.0604
160,160,1995,66 and older,West,Seldom,0.05377,58,13130,0.04684,0.06109
161,161,1995,66 and older,West,Never,0.83633,922,13130,0.81239,0.86692
162,162,1995,66 and older,East,Never,1.0,351,13130,0.94851,1.0417
163,163,1996,17-29 y.,West,At least once per week,0.08629,171,12891,0.07709,0.09644
164,164,1996,17-29 y.,West,At least once per month,0.06866,125,12891,0.05873,0.0778
165,165,1996,17-29 y.,West,Seldom,0.16389,347,12891,0.15183,0.17712
166,166,1996,17-29 y.,West,Never,0.68116,1679,12891,0.65123,0.70922
167,167,1996,17-29 y.,East,At least once per month,0.0387,33,12891,0.03,0.04823
168,168,1996,17-29 y.,East,Seldom,0.14942,117,12891,0.13321,0.16812
169,169,1996,17-29 y.,East,Never,0.81188,654,12891,0.77197,0.85128
170,170,1996,30-45 y.,West,At least once per week,0.08373,248,12891,0.07657,0.0916
171,171,1996,30-45 y.,West,At least once per month,0.07869,229,12891,0.07283,0.08613
172,172,1996,30-45 y.,West,Seldom,0.16629,492,12891,0.15644,0.17555
173,173,1996,30-45 y.,West,Never,0.67129,2198,12891,0.64904,0.69579
174,174,1996,30-45 y.,East,At least once per week,0.04601,59,12891,0.03945,0.05286
175,175,1996,30-45 y.,East,At least once per month,0.07849,102,12891,0.07056,0.08739
176,176,1996,30-45 y.,East,Seldom,0.13269,172,12891,0.12182,0.14447
177,177,1996,30-45 y.,East,Never,0.7428,924,12891,0.71908,0.76595
178,178,1996,46-65 y.,West,At least once per week,0.08956,219,12891,0.08363,0.09639
179,179,1996,46-65 y.,West,At least once per month,0.08495,197,12891,0.07696,0.09177
180,180,1996,46-65 y.,West,Seldom,0.17177,411,12891,0.15983,0.18385
181,181,1996,46-65 y.,West,Never,0.65372,1888,12891,0.63484,0.67629
182,182,1996,46-65 y.,East,At least once per week,0.04974,65,12891,0.04476,0.05586
183,183,1996,46-65 y.,East,At least once per month,0.07797,96,12891,0.0704,0.08641
184,184,1996,46-65 y.,East,Seldom,0.11077,146,12891,0.10281,0.11951
185,185,1996,46-65 y.,East,Never,0.76151,857,12891,0.73531,0.79183
186,186,1996,66 and older,West,At least once per week,0.06178,63,12891,0.05516,0.06913
187,187,1996,66 and older,West,At least once per month,0.05182,56,12891,0.04411,0.06062
188,188,1996,66 and older,West,Seldom,0.07053,79,12891,0.06248,0.07863
189,189,1996,66 and older,West,Never,0.81587,917,12891,0.7868,0.84853
190,190,1996,66 and older,East,Never,1.0,347,12891,0.94548,1.04072
191,191,1997,17-29 y.,West,At least once per week,0.08168,162,12653,0.0735,0.09235
192,192,1997,17-29 y.,West,At least once per month,0.05878,105,12653,0.0489,0.0668
193,193,1997,17-29 y.,West,Seldom,0.17163,326,12653,0.15744,0.18676
194,194,1997,17-29 y.,West,Never,0.68791,1590,12653,0.6621,0.71787
