year,age_gr,pli0096_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,At least once per week,0.09432,252,10866,0.09416,0.09448
1985,17-29 y.,At least once per month,0.04867,137,10866,0.04855,0.04879
1985,17-29 y.,Seldom,0.09658,272,10866,0.09642,0.09674
1985,17-29 y.,Never,0.76043,2441,10866,0.76019,0.76066
1985,30-45 y.,At least once per week,0.09340,272,10866,0.09324,0.09355
1985,30-45 y.,At least once per month,0.08703,251,10866,0.08688,0.08719
1985,30-45 y.,Seldom,0.09480,283,10866,0.09464,0.09496
1985,30-45 y.,Never,0.72477,2628,10866,0.72452,0.72501
1985,46-65 y.,At least once per week,0.08922,246,10866,0.08908,0.08936
1985,46-65 y.,At least once per month,0.07032,196,10866,0.07020,0.07045
1985,46-65 y.,Seldom,0.08298,242,10866,0.08285,0.08312
1985,46-65 y.,Never,0.75747,2562,10866,0.75726,0.75769
1985,66 and older,At least once per week,0.04031,45,10866,0.04018,0.04044
1985,66 and older,At least once per month,0.03006,36,10866,0.02995,0.03017
1985,66 and older,Seldom,0.04470,50,10866,0.04456,0.04483
1985,66 and older,Never,0.88494,953,10866,0.88472,0.88515
1986,17-29 y.,At least once per week,0.09269,245,10448,0.09253,0.09285
1986,17-29 y.,At least once per month,0.04569,126,10448,0.04557,0.04580
1986,17-29 y.,Seldom,0.10300,282,10448,0.10284,0.10317
1986,17-29 y.,Never,0.75862,2374,10448,0.75838,0.75886
1986,30-45 y.,At least once per week,0.08891,245,10448,0.08875,0.08906
1986,30-45 y.,At least once per month,0.08503,236,10448,0.08488,0.08519
1986,30-45 y.,Seldom,0.08780,246,10448,0.08764,0.08795
1986,30-45 y.,Never,0.73826,2511,10448,0.73802,0.73850
1986,46-65 y.,At least once per week,0.08416,232,10448,0.08402,0.08430
1986,46-65 y.,At least once per month,0.07903,213,10448,0.07890,0.07917
1986,46-65 y.,Seldom,0.07019,202,10448,0.07007,0.07032
1986,46-65 y.,Never,0.76661,2525,10448,0.76640,0.76682
1986,66 and older,At least once per week,0.04605,49,10448,0.04591,0.04619
1986,66 and older,At least once per month,0.03819,40,10448,0.03806,0.03832
1986,66 and older,Seldom,0.03489,37,10448,0.03477,0.03502
1986,66 and older,Never,0.88087,885,10448,0.88065,0.88109
1988,17-29 y.,At least once per week,0.10217,251,9850,0.10200,0.10234
1988,17-29 y.,At least once per month,0.04182,112,9850,0.04170,0.04193
1988,17-29 y.,Seldom,0.10505,260,9850,0.10488,0.10522
1988,17-29 y.,Never,0.75096,2228,9850,0.75072,0.75121
1988,30-45 y.,At least once per week,0.09713,242,9850,0.09697,0.09729
1988,30-45 y.,At least once per month,0.08559,221,9850,0.08544,0.08574
1988,30-45 y.,Seldom,0.10757,278,9850,0.10740,0.10774
1988,30-45 y.,Never,0.70971,2182,9850,0.70946,0.70996
1988,46-65 y.,At least once per week,0.09758,261,9850,0.09743,0.09772
1988,46-65 y.,At least once per month,0.08587,225,9850,0.08573,0.08600
1988,46-65 y.,Seldom,0.09640,253,9850,0.09626,0.09655
1988,46-65 y.,Never,0.72015,2326,9850,0.71993,0.72037
1988,66 and older,At least once per week,0.05336,54,9850,0.05321,0.05350
1988,66 and older,At least once per month,0.03513,41,9850,0.03501,0.03525
1988,66 and older,Seldom,0.04731,49,9850,0.04717,0.04745
1988,66 and older,Never,0.86421,867,9850,0.86399,0.86443
1990,17-29 y.,At least once per week,0.07846,244,13724,0.07833,0.07860
1990,17-29 y.,At least once per month,0.05843,188,13724,0.05831,0.05854
1990,17-29 y.,Seldom,0.11961,403,13724,0.11944,0.11977
1990,17-29 y.,Never,0.74351,2980,13724,0.74329,0.74373
1990,30-45 y.,At least once per week,0.08920,343,13724,0.08906,0.08933
1990,30-45 y.,At least once per month,0.09290,423,13724,0.09276,0.09303
1990,30-45 y.,Seldom,0.14568,565,13724,0.14551,0.14585
1990,30-45 y.,Never,0.67222,2931,13724,0.67200,0.67245
1990,46-65 y.,At least once per week,0.09262,335,13724,0.09250,0.09275
1990,46-65 y.,At least once per month,0.09454,398,13724,0.09441,0.09466
1990,46-65 y.,Seldom,0.12197,470,13724,0.12183,0.12211
1990,46-65 y.,Never,0.69087,3007,13724,0.69067,0.69107
1990,66 and older,At least once per week,0.04783,71,13724,0.04770,0.04795
