,Unnamed: 0,year,bula_h,migback,pli0096_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,Schleswig-Holstein,No migration background,Never,1.0,245,10361,0.96296,1.03979
1,1,1985,Schleswig-Holstein,Direct migration background,Never,1.0,33,10361,0.68132,1.45964
2,2,1985,Hamburg,No migration background,Never,1.0,175,10361,0.94699,1.04285
3,3,1985,Hamburg,Direct migration background,Never,1.0,62,10361,0.77151,1.23449
4,4,1985,Lower Saxony,No migration background,At least once per week,0.0917,87,10361,0.08723,0.09686
5,5,1985,Lower Saxony,No migration background,At least once per month,0.05375,54,10361,0.05075,0.05696
6,6,1985,Lower Saxony,No migration background,Seldom,0.07097,73,10361,0.06567,0.0772
7,7,1985,Lower Saxony,No migration background,Never,0.78358,710,10361,0.76549,0.80001
8,8,1985,Lower Saxony,Direct migration background,Never,1.0,133,10361,0.82174,1.18839
9,9,1985,Bremen,No migration background,Never,1.0,72,10361,0.92842,1.0906
10,10,1985,North Rhine-Westphalia,No migration background,At least once per week,0.08082,173,10361,0.0776,0.08446
11,11,1985,North Rhine-Westphalia,No migration background,At least once per month,0.06411,140,10361,0.06097,0.06767
12,12,1985,North Rhine-Westphalia,No migration background,Seldom,0.08656,193,10361,0.08301,0.08958
13,13,1985,North Rhine-Westphalia,No migration background,Never,0.76851,1580,10361,0.75594,0.78014
14,14,1985,North Rhine-Westphalia,Direct migration background,Seldom,0.04759,36,10361,0.03273,0.06277
15,15,1985,North Rhine-Westphalia,Direct migration background,Never,0.95241,718,10361,0.86657,1.04104
16,16,1985,North Rhine-Westphalia,Indirect migration background,Never,1.0,38,10361,0.60154,1.47482
17,17,1985,Hesse,No migration background,At least once per week,0.11269,81,10361,0.10702,0.12033
18,18,1985,Hesse,No migration background,At least once per month,0.07226,52,10361,0.06864,0.07665
19,19,1985,Hesse,No migration background,Seldom,0.09527,68,10361,0.09015,0.10061
20,20,1985,Hesse,No migration background,Never,0.71979,496,10361,0.7008,0.74105
21,21,1985,Hesse,Direct migration background,Never,1.0,378,10361,0.87219,1.13406
22,22,1985,"Rhineland-Palatinate, Saarland",No migration background,At least once per week,0.08663,57,10361,0.08184,0.09103
23,23,1985,"Rhineland-Palatinate, Saarland",No migration background,At least once per month,0.0765,50,10361,0.07218,0.0803
24,24,1985,"Rhineland-Palatinate, Saarland",No migration background,Seldom,0.10978,69,10361,0.10316,0.11687
25,25,1985,"Rhineland-Palatinate, Saarland",No migration background,Never,0.72709,446,10361,0.70936,0.74257
26,26,1985,"Rhineland-Palatinate, Saarland",Direct migration background,Never,1.0,116,10361,0.82152,1.16924
27,27,1985,Baden-Wuerttemberg,No migration background,At least once per week,0.09481,122,10361,0.09068,0.09926
28,28,1985,Baden-Wuerttemberg,No migration background,At least once per month,0.05883,74,10361,0.05568,0.06182
29,29,1985,Baden-Wuerttemberg,No migration background,Seldom,0.09523,120,10361,0.09049,0.09927
30,30,1985,Baden-Wuerttemberg,No migration background,Never,0.75114,895,10361,0.73333,0.76785
31,31,1985,Baden-Wuerttemberg,Direct migration background,Seldom,0.09612,36,10361,0.06702,0.12231
32,32,1985,Baden-Wuerttemberg,Direct migration background,Never,0.90388,701,10361,0.82135,0.99599
33,33,1985,Bavaria,No migration background,At least once per week,0.09296,137,10361,0.08931,0.0968
34,34,1985,Bavaria,No migration background,At least once per month,0.07517,116,10361,0.07182,0.07885
35,35,1985,Bavaria,No migration background,Seldom,0.09049,139,10361,0.08665,0.09515
36,36,1985,Bavaria,No migration background,Never,0.74137,1071,10361,0.72888,0.75526
37,37,1985,Bavaria,Direct migration background,Never,1.0,321,10361,0.8861,1.1018
38,38,1985,Berlin,No migration background,Never,1.0,199,10361,0.95851,1.04928
39,39,1985,Berlin,Direct migration background,Never,1.0,95,10361,0.8437,1.20693
40,40,1986,Schleswig-Holstein,No migration background,Never,1.0,225,10007,0.95795,1.04692
41,41,1986,Schleswig-Holstein,Direct migration background,Never,1.0,33,10007,0.69256,1.44039
42,42,1986,Hamburg,No migration background,Never,1.0,155,10007,0.9483,1.06608
43,43,1986,Hamburg,Direct migration background,Never,1.0,62,10007,0.78763,1.23969
44,44,1986,Lower Saxony,No migration background,At least once per week,0.09096,85,10007,0.08525,0.09738
45,45,1986,Lower Saxony,No migration background,At least once per month,0.0528,57,10007,0.04882,0.0567
46,46,1986,Lower Saxony,No migration background,Seldom,0.06614,64,10007,0.06042,0.07334
47,47,1986,Lower Saxony,No migration background,Never,0.7901,708,10007,0.7694,0.81086
48,48,1986,Lower Saxony,Direct migration background,Never,1.0,157,10007,0.84981,1.17326
49,49,1986,Bremen,No migration background,Never,1.0,73,10007,0.89209,1.0835
50,50,1986,North Rhine-Westphalia,No migration background,At least once per week,0.08097,165,10007,0.07688,0.08482
51,51,1986,North Rhine-Westphalia,No migration background,At least once per month,0.0644,137,10007,0.06036,0.06858
52,52,1986,North Rhine-Westphalia,No migration background,Seldom,0.07565,158,10007,0.07177,0.07955
53,53,1986,North Rhine-Westphalia,No migration background,Never,0.77898,1557,10007,0.76416,0.79358
54,54,1986,North Rhine-Westphalia,Direct migration background,Seldom,0.04852,37,10007,0.02825,0.07573
55,55,1986,North Rhine-Westphalia,Direct migration background,Never,0.95148,677,10007,0.86432,1.03648
56,56,1986,North Rhine-Westphalia,Indirect migration background,Never,1.0,34,10007,0.57863,1.58842
57,57,1986,Hesse,No migration background,At least once per week,0.10077,68,10007,0.09471,0.1072
58,58,1986,Hesse,No migration background,At least once per month,0.06307,42,10007,0.05873,0.0666
59,59,1986,Hesse,No migration background,Seldom,0.08741,60,10007,0.07817,0.09523
60,60,1986,Hesse,No migration background,Never,0.74875,479,10007,0.72368,0.77212
61,61,1986,Hesse,Direct migration background,Never,1.0,354,10007,0.88313,1.13114
62,62,1986,"Rhineland-Palatinate, Saarland",No migration background,At least once per week,0.07627,50,10007,0.07062,0.08203
63,63,1986,"Rhineland-Palatinate, Saarland",No migration background,At least once per month,0.05937,39,10007,0.05503,0.06376
64,64,1986,"Rhineland-Palatinate, Saarland",No migration background,Seldom,0.0873,57,10007,0.08087,0.09309
65,65,1986,"Rhineland-Palatinate, Saarland",No migration background,Never,0.77706,480,10007,0.75281,0.80092
66,66,1986,"Rhineland-Palatinate, Saarland",Direct migration background,Never,1.0,114,10007,0.84481,1.17617
67,67,1986,Baden-Wuerttemberg,No migration background,At least once per week,0.09169,109,10007,0.08543,0.09715
68,68,1986,Baden-Wuerttemberg,No migration background,At least once per month,0.06726,83,10007,0.06278,0.07134
69,69,1986,Baden-Wuerttemberg,No migration background,Seldom,0.11805,144,10007,0.11152,0.12461
70,70,1986,Baden-Wuerttemberg,No migration background,Never,0.72299,833,10007,0.70155,0.74028
71,71,1986,Baden-Wuerttemberg,Direct migration background,At least once per week,0.0617,31,10007,0.04252,0.08269
72,72,1986,Baden-Wuerttemberg,Direct migration background,Seldom,0.05192,37,10007,0.03281,0.0738
73,73,1986,Baden-Wuerttemberg,Direct migration background,Never,0.88639,664,10007,0.7923,0.96541
74,74,1986,Baden-Wuerttemberg,Indirect migration background,Never,1.0,33,10007,0.56881,1.56457
75,75,1986,Bavaria,No migration background,At least once per week,0.09446,128,10007,0.08896,0.09985
76,76,1986,Bavaria,No migration background,At least once per month,0.0947,128,10007,0.08931,0.10032
77,77,1986,Bavaria,No migration background,Seldom,0.07814,113,10007,0.07372,0.08308
78,78,1986,Bavaria,No migration background,Never,0.7327,979,10007,0.71688,0.74942
79,79,1986,Bavaria,Direct migration background,Never,1.0,316,10007,0.88541,1.11442
80,80,1986,Berlin,No migration background,Never,1.0,186,10007,0.93421,1.0635
81,81,1986,Berlin,Direct migration background,Never,1.0,96,10007,0.85314,1.21143
82,82,1988,Schleswig-Holstein,No migration background,Never,1.0,210,9443,0.94599,1.05749
83,83,1988,Schleswig-Holstein,Direct migration background,Never,1.0,36,9443,0.74456,1.32613
84,84,1988,Hamburg,No migration background,Never,1.0,116,9443,0.93338,1.06165
85,85,1988,Hamburg,Direct migration background,Never,1.0,45,9443,0.78767,1.26458
86,86,1988,Lower Saxony,No migration background,At least once per week,0.0788,68,9443,0.07055,0.08635
87,87,1988,Lower Saxony,No migration background,At least once per month,0.0646,64,9443,0.06103,0.06862
88,88,1988,Lower Saxony,No migration background,Seldom,0.08396,81,9443,0.07759,0.09163
89,89,1988,Lower Saxony,No migration background,Never,0.77265,643,9443,0.74592,0.79875
90,90,1988,Lower Saxony,Direct migration background,Never,1.0,145,9443,0.81804,1.19795
91,91,1988,Bremen,No migration background,Never,1.0,68,9443,0.90323,1.10126
92,92,1988,North Rhine-Westphalia,No migration background,At least once per week,0.09193,183,9443,0.08704,0.09704
93,93,1988,North Rhine-Westphalia,No migration background,At least once per month,0.05308,109,9443,0.0493,0.05703
94,94,1988,North Rhine-Westphalia,No migration background,Seldom,0.08283,162,9443,0.07725,0.08698
95,95,1988,North Rhine-Westphalia,No migration background,Never,0.77216,1461,9443,0.75704,0.79118
96,96,1988,North Rhine-Westphalia,Direct migration background,Seldom,0.05658,31,9443,0.03411,0.08175
97,97,1988,North Rhine-Westphalia,Direct migration background,Never,0.94342,623,9443,0.86501,1.03136
98,98,1988,North Rhine-Westphalia,Indirect migration background,Never,1.0,54,9443,0.70344,1.46116
99,99,1988,Hesse,No migration background,At least once per week,0.0963,58,9443,0.08803,0.10566
100,100,1988,Hesse,No migration background,At least once per month,0.08539,54,9443,0.07816,0.09522
101,101,1988,Hesse,No migration background,Seldom,0.09884,61,9443,0.08925,0.10891
102,102,1988,Hesse,No migration background,Never,0.71946,421,9443,0.69371,0.74973
103,103,1988,Hesse,Direct migration background,Never,1.0,349,9443,0.85777,1.1384
104,104,1988,"Rhineland-Palatinate, Saarland",No migration background,At least once per week,0.0994,58,9443,0.09078,0.10903
105,105,1988,"Rhineland-Palatinate, Saarland",No migration background,At least once per month,0.08111,51,9443,0.07428,0.0917
106,106,1988,"Rhineland-Palatinate, Saarland",No migration background,Seldom,0.074,42,9443,0.06689,0.08108
107,107,1988,"Rhineland-Palatinate, Saarland",No migration background,Never,0.74549,443,9443,0.72096,0.77198
108,108,1988,"Rhineland-Palatinate, Saarland",Direct migration background,Never,1.0,117,9443,0.86413,1.16744
109,109,1988,Baden-Wuerttemberg,No migration background,At least once per week,0.11912,132,9443,0.11212,0.12655
110,110,1988,Baden-Wuerttemberg,No migration background,At least once per month,0.0778,90,9443,0.0725,0.08321
111,111,1988,Baden-Wuerttemberg,No migration background,Seldom,0.17878,197,9443,0.16947,0.18655
112,112,1988,Baden-Wuerttemberg,No migration background,Never,0.6243,675,9443,0.60276,0.64696
113,113,1988,Baden-Wuerttemberg,Direct migration background,At least once per week,0.06518,32,9443,0.0401,0.092
114,114,1988,Baden-Wuerttemberg,Direct migration background,Seldom,0.09181,38,9443,0.06233,0.13056
115,115,1988,Baden-Wuerttemberg,Direct migration background,Never,0.84301,635,9443,0.75844,0.92612
116,116,1988,Baden-Wuerttemberg,Indirect migration background,Never,1.0,48,9443,0.65354,1.39419
117,117,1988,Bavaria,No migration background,At least once per week,0.09375,125,9443,0.08839,0.09979
118,118,1988,Bavaria,No migration background,At least once per month,0.09173,120,9443,0.08666,0.09816
119,119,1988,Bavaria,No migration background,Seldom,0.09266,117,9443,0.08724,0.09776
120,120,1988,Bavaria,No migration background,Never,0.72186,867,9443,0.70432,0.7414
121,121,1988,Bavaria,Direct migration background,At least once per week,0.13298,31,9443,0.08947,0.17597
122,122,1988,Bavaria,Direct migration background,Never,0.86702,282,9443,0.78107,0.96307
123,123,1988,Bavaria,Indirect migration background,Never,1.0,33,9443,0.7029,1.44062
124,124,1988,Berlin,No migration background,Never,1.0,182,9443,0.93752,1.07154
125,125,1988,Berlin,Direct migration background,Never,1.0,86,9443,0.7846,1.27263
126,126,1990,Schleswig-Holstein,No migration background,Never,1.0,190,13100,0.94624,1.0543
127,127,1990,Hamburg,No migration background,Never,1.0,94,13100,0.9286,1.07209
128,128,1990,Hamburg,Direct migration background,Never,1.0,36,13100,0.74807,1.35376
129,129,1990,Lower Saxony,No migration background,At least once per week,0.08981,70,13100,0.08019,0.09749
130,130,1990,Lower Saxony,No migration background,At least once per month,0.06728,55,13100,0.06118,0.0733
131,131,1990,Lower Saxony,No migration background,Seldom,0.10548,87,13100,0.09864,0.11237
132,132,1990,Lower Saxony,No migration background,Never,0.73744,585,13100,0.71194,0.76675
133,133,1990,Lower Saxony,Direct migration background,Never,1.0,139,13100,0.83124,1.15961
134,134,1990,Bremen,No migration background,Never,1.0,66,13100,0.90635,1.11321
135,135,1990,North Rhine-Westphalia,No migration background,At least once per week,0.08187,146,13100,0.07613,0.08836
136,136,1990,North Rhine-Westphalia,No migration background,At least once per month,0.07297,127,13100,0.06758,0.07795
137,137,1990,North Rhine-Westphalia,No migration background,Seldom,0.11822,220,13100,0.1109,0.12627
138,138,1990,North Rhine-Westphalia,No migration background,Never,0.72694,1302,13100,0.70942,0.74716
139,139,1990,North Rhine-Westphalia,Direct migration background,Seldom,0.06823,41,13100,0.05358,0.08564
140,140,1990,North Rhine-Westphalia,Direct migration background,Never,0.93177,588,13100,0.86587,1.02442
141,141,1990,North Rhine-Westphalia,Indirect migration background,Never,1.0,73,13100,0.798,1.2204
142,142,1990,Hesse,No migration background,At least once per week,0.10887,65,13100,0.09847,0.11888
143,143,1990,Hesse,No migration background,At least once per month,0.08449,53,13100,0.07686,0.09331
144,144,1990,Hesse,No migration background,Seldom,0.13962,80,13100,0.12606,0.15031
145,145,1990,Hesse,No migration background,Never,0.66703,404,13100,0.63459,0.69821
146,146,1990,Hesse,Direct migration background,Never,1.0,323,13100,0.8513,1.15363
147,147,1990,"Rhineland-Palatinate, Saarland",No migration background,At least once per week,0.10874,60,13100,0.10076,0.11676
148,148,1990,"Rhineland-Palatinate, Saarland",No migration background,Seldom,0.10348,60,13100,0.09261,0.115
149,149,1990,"Rhineland-Palatinate, Saarland",No migration background,Never,0.78778,390,13100,0.7515,0.81223
150,150,1990,"Rhineland-Palatinate, Saarland",Direct migration background,Never,1.0,113,13100,0.83496,1.18893
151,151,1990,Baden-Wuerttemberg,No migration background,At least once per week,0.10709,116,13100,0.09895,0.11446
152,152,1990,Baden-Wuerttemberg,No migration background,At least once per month,0.10864,111,13100,0.09859,0.11568
