year,migback,quintil_oecd,pli0096_h,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,1st Quintile,Never,0.7832817337461301,14443,0.7765622775985542,0.7900011898937059
1985,No migration background,1st Quintile,Seldom,0.0913312693498452,14443,0.08663297843822829,0.09602956026146212
1985,No migration background,1st Quintile,At least once per week,0.0696594427244582,14443,0.06550762440710141,0.073811261041815
1985,No migration background,1st Quintile,At least once per month,0.05572755417956656,14443,0.05198635340467098,0.05946875495446214
1985,No migration background,2nd Quintile,Never,0.7660455486542443,14443,0.7591412380817579,0.7729498592267308
1985,No migration background,2nd Quintile,Seldom,0.0862663906142167,14443,0.08168752413784239,0.09084525709059102
1985,No migration background,2nd Quintile,At least once per week,0.08488612836438923,14443,0.08034061124221925,0.08943164548655921
1985,No migration background,2nd Quintile,At least once per month,0.06280193236714976,14443,0.05884526481530712,0.0667585999189924
1985,No migration background,3rd Quintile,Never,0.7335423197492164,14443,0.7263320074736316,0.7407526320248011
1985,No migration background,3rd Quintile,At least once per week,0.10595611285266458,14443,0.10093650496109587,0.1109757207442333
1985,No migration background,3rd Quintile,Seldom,0.0877742946708464,14443,0.08315939575389497,0.09238919358779782
1985,No migration background,3rd Quintile,At least once per month,0.07272727272727272,14443,0.06849201581481096,0.07696252963973449
1985,No migration background,4th Quintile,Never,0.7504445761707172,14443,0.7433867625766124,0.7575023897648221
1985,No migration background,4th Quintile,At least once per week,0.0912863070539419,14443,0.08658905655754008,0.09598355755034373
1985,No migration background,4th Quintile,Seldom,0.0906935388263189,14443,0.08601003716779393,0.09537704048484388
1985,No migration background,4th Quintile,At least once per month,0.06757557794902193,14443,0.06348175486898402,0.07166940102905983
1985,No migration background,5th Quintile,Never,0.7245901639344262,14443,0.7173045977761372,0.7318757300927152
1985,No migration background,5th Quintile,Seldom,0.0994535519125683,14443,0.09457275683848337,0.10433434698665323
1985,No migration background,5th Quintile,At least once per week,0.09453551912568306,14443,0.08976395701024717,0.09930708124111895
1985,No migration background,5th Quintile,At least once per month,0.0814207650273224,14443,0.07696057597959914,0.08588095407504566
1985,Direct migration background,1st Quintile,Never,0.9027149321266968,14443,0.8978818322274333,0.9075480320259603
1985,Direct migration background,1st Quintile,Seldom,0.04524886877828054,14443,0.04185905126046255,0.048638686296098535
1985,Direct migration background,1st Quintile,At least once per month,0.02828054298642534,14443,0.025576947660354957,0.03098413831249572
1985,Direct migration background,1st Quintile,At least once per week,0.023755656108597284,14443,0.02127200752907715,0.02623930468811742
1985,Direct migration background,2nd Quintile,Never,0.9034267912772586,14443,0.898609508069658,0.9082440744848591
1985,Direct migration background,2nd Quintile,At least once per week,0.04205607476635514,14443,0.03878257904484816,0.04532957048786212
1985,Direct migration background,2nd Quintile,Seldom,0.03426791277258567,14443,0.03130103590238783,0.037234789642783504
1985,Direct migration background,2nd Quintile,At least once per month,0.020249221183800622,14443,0.017952071280461022,0.02254637108714022
1985,Direct migration background,3rd Quintile,Never,0.9041591320072333,14443,0.8993582042445043,0.9089600597699623
1985,Direct migration background,3rd Quintile,At least once per week,0.0379746835443038,14443,0.034857461793351106,0.04109190529525649
1985,Direct migration background,3rd Quintile,Seldom,0.03616636528028933,14443,0.033121410574785105,0.03921131998579356
1985,Direct migration background,3rd Quintile,At least once per month,0.0216998191681736,14443,0.0193235726692228,0.024076065667124398
1985,Direct migration background,4th Quintile,Never,0.8948453608247423,14443,0.8898425327316589,0.8998481889178257
