"pli0096_h","year","bildungsniveau","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Täglich","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","3","","",""
"Täglich","1995","(noch) kein Abschluss","2","2","","",""
"Täglich","1995","(noch) kein Abschluss","3","2","","",""
"Täglich","1995","(noch) kein Abschluss","4","","","",""
"Täglich","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","","","",""
"Täglich","1995","Hauptschule","1 Einkommensschwächstes Quintil","16","","",""
"Täglich","1995","Hauptschule","2","17","","",""
"Täglich","1995","Hauptschule","3","8","","",""
"Täglich","1995","Hauptschule","4","5","","",""
"Täglich","1995","Hauptschule","5 Einkommensstärkstes Quintil","3","","",""
"Täglich","1995","Realschule","1 Einkommensschwächstes Quintil","11","","",""
"Täglich","1995","Realschule","2","10","","",""
"Täglich","1995","Realschule","3","9","","",""
"Täglich","1995","Realschule","4","8","","",""
"Täglich","1995","Realschule","5 Einkommensstärkstes Quintil","4","","",""
"Täglich","1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","6","","",""
"Täglich","1995","(Fach-)Abitur","2","5","","",""
"Täglich","1995","(Fach-)Abitur","3","1","","",""
"Täglich","1995","(Fach-)Abitur","4","","","",""
"Täglich","1995","(Fach-)Abitur","5 Einkommensstärkstes Quintil","","","",""
"Täglich","1995","AkademikerIn","1 Einkommensschwächstes Quintil","5","","",""
"Täglich","1995","AkademikerIn","2","8","","",""
"Täglich","1995","AkademikerIn","3","6","","",""
"Täglich","1995","AkademikerIn","4","2","","",""
"Täglich","1995","AkademikerIn","5 Einkommensstärkstes Quintil","5","","",""
"Min 1x pro Woche","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","20","","",""
"Min 1x pro Woche","1995","(noch) kein Abschluss","2","6","","",""
"Min 1x pro Woche","1995","(noch) kein Abschluss","3","2","","",""
"Min 1x pro Woche","1995","(noch) kein Abschluss","4","4","","",""
"Min 1x pro Woche","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","2","","",""
