year,sex,pli0096_h,proportion,n,lower_confidence,upper_confidence
1985,weiblich,Nie,0.4309012066365008,14443,0.4228249510725911,0.43897746220041045
1985,maennlich,Nie,0.35935143288084465,14443,0.3515262051418209,0.36717666061986837
1985,maennlich,Min 1x pro Woche,0.049962292609351436,14443,0.046409098229698256,0.053515486989004615
1985,maennlich,Seltener,0.0428921568627451,14443,0.03958772541902146,0.046196588306468736
1985,maennlich,Min 1x pro Monat,0.03799019607843137,14443,0.034872362842670826,0.04110802931419191
1985,weiblich,Seltener,0.03506787330316742,14443,0.03206780969242313,0.038067936913911714
1985,weiblich,Min 1x pro Woche,0.024132730015082957,14443,0.021629931036934977,0.026635528993230937
1985,weiblich,Min 1x pro Monat,0.01970211161387632,14443,0.017435574750853167,0.02196864847689947
1986,weiblich,Nie,0.42892204987237387,13742,0.4206470502683121,0.4371970494764356
1986,maennlich,Nie,0.3651089731003338,13742,0.3570590460069228,0.3731589001937448
1986,maennlich,Min 1x pro Woche,0.051246809346161395,13742,0.04756008098782101,0.05493353770450178
1986,maennlich,Seltener,0.03995680345572354,13742,0.03668210092757566,0.043231505983871425
1986,maennlich,Min 1x pro Monat,0.03760062831337129,13742,0.03442004837187005,0.04078120825487253
1986,weiblich,Seltener,0.03308462595719615,13742,0.030094162866487757,0.03607508904790454
1986,weiblich,Min 1x pro Monat,0.02228548988808168,13742,0.01981747245987317,0.02475350731629019
1986,weiblich,Min 1x pro Woche,0.021794620066758294,13742,0.01935332218628949,0.024235917947227098
1988,weiblich,Nie,0.415499533146592,12817,0.4069677348327025,0.4240313314604815
1988,maennlich,Nie,0.3562610229276896,12817,0.3479701179586726,0.36455192789670654
1988,maennlich,Min 1x pro Woche,0.053532524120759414,12817,0.0496355763318988,0.05742947190962003
1988,maennlich,Seltener,0.045647888785143684,12817,0.04203439304896451,0.04926138452132286
1988,weiblich,Seltener,0.03952692187986306,12817,0.03615364511434758,0.042900198645378536
1988,maennlich,Min 1x pro Monat,0.03838572466023447,12817,0.03505952586405644,0.041711923456412496
1988,weiblich,Min 1x pro Woche,0.028114949683577136,12817,0.025253151620546282,0.03097674774660799
1988,weiblich,Min 1x pro Monat,0.023031434796140678,12817,0.020434484298160416,0.02562838529412094
1990,weiblich,Nie,0.4057981760213539,18165,0.398657153448738,0.41293919859396977
1990,maennlich,Nie,0.3311336842885742,18165,0.3242896888167104,0.337977679760438
1990,maennlich,Seltener,0.06087343367687403,18165,0.057396356477511686,0.06435051087623636
1990,weiblich,Seltener,0.04967746719062801,18165,0.04651771076087029,0.05283722362038573
1990,maennlich,Min 1x pro Monat,0.04797212130199451,18165,0.04486428836572236,0.05107995423826667
1990,maennlich,Min 1x pro Woche,0.047304812041224886,18165,0.04421758893050454,0.050392035151945236
1990,weiblich,Min 1x pro Monat,0.032253280937198786,18165,0.029684032069575032,0.03482252980482254
1990,weiblich,Min 1x pro Woche,0.024987024542151702,18165,0.0227171553020399,0.027256893782263505
1992,weiblich,Nie,0.4229876160990712,17350,0.4156363401541619,0.4303388920439805
1992,maennlich,Nie,0.3539473684210526,17350,0.34683179956535454,0.3610629372767507
1992,maennlich,Seltener,0.05580495356037152,17350,0.05238930195755462,0.05922060516318842
1992,weiblich,Seltener,0.047987616099071206,17350,0.04480713939690035,0.051168092801242064
1992,maennlich,Min 1x pro Woche,0.03862229102167183,17350,0.03575499605829231,0.04148958598505134
1992,maennlich,Min 1x pro Monat,0.03738390092879257,17350,0.0345611328298963,0.04020666902768884
1992,weiblich,Min 1x pro Monat,0.022910216718266253,17350,0.020683893751095403,0.025136539685437102
1992,weiblich,Min 1x pro Woche,0.020356037151702786,17350,0.018254741884102248,0.022457332419303325
1994,weiblich,Nie,0.42018611309949894,16642,0.4126868521397662,0.4276853740592317
1994,maennlich,Nie,0.3454227312495029,16642,0.33819820739739653,0.35264725510160927
1994,maennlich,Seltener,0.06036745406824147,16642,0.056748910815297815,0.06398599732118512
1994,weiblich,Seltener,0.051141334605901534,16642,0.04779445488375207,0.054488214328050996
1994,maennlich,Min 1x pro Woche,0.03937007874015748,16642,0.03641537114137484,0.04232478633894012
1994,maennlich,Min 1x pro Monat,0.03897240117712559,16642,0.03603204579015496,0.04191275656409622
1994,weiblich,Min 1x pro Monat,0.023940189294520003,16642,0.02161769145822202,0.026262687130817985
1994,weiblich,Min 1x pro Woche,0.020599697765052095,16642,0.01844163608281059,0.0227577594472936
1995,weiblich,Nie,0.4331686988732829,17246,0.42577320254067846,0.44056419520588735
1995,maennlich,Nie,0.36116684673560734,17246,0.35399783085483544,0.36833586261637924
1995,maennlich,Seltener,0.04452847661676185,17246,0.04144997296395383,0.04760698026956987
1995,maennlich,Min 1x pro Woche,0.043756752585275505,17246,0.040703810169264686,0.046809695001286324
1995,weiblich,Seltener,0.03742861552708751,17246,0.03459572210922351,0.040261508944951514
1995,maennlich,Min 1x pro Monat,0.03310696095076401,17246,0.030436656647853937,0.03577726525367408
1995,weiblich,Min 1x pro Woche,0.02477234141071153,17246,0.022452552789680204,0.027092130031742857
1995,weiblich,Min 1x pro Monat,0.022071307300509338,17246,0.01987860585174102,0.024264008749277657
1996,weiblich,Nie,0.40114366285445713,16862,0.3937456884983232,0.40854163721059106
1996,maennlich,Nie,0.3268839103869654,16862,0.3198037468837063,0.33396407389022453
1996,maennlich,Seltener,0.07136142879523735,16862,0.06747584162547676,0.07524701596499794
1996,weiblich,Seltener,0.06642644524518251,16862,0.06266767045465582,0.0701852200357092
1996,maennlich,Min 1x pro Woche,0.04394485351715494,16862,0.04085101949283521,0.04703868754147467
