year,migback,sampreg,pli0096_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,West,At least once per week,0.08676,709,7857,0.08053,0.09298
1985,No migration background,West,At least once per month,0.06549,542,7857,0.06002,0.07096
1985,No migration background,West,Seldom,0.08606,718,7857,0.07986,0.09226
1985,No migration background,West,Never,0.76169,5888,7857,0.75227,0.77112
1985,Direct migration background,West,At least once per week,0.04941,97,2872,0.04148,0.05733
1985,Direct migration background,West,At least once per month,0.03028,74,2872,0.02401,0.03655
1985,Direct migration background,West,Seldom,0.05511,121,2872,0.04677,0.06346
1985,Direct migration background,West,Never,0.86520,2580,2872,0.85271,0.87769
1985,Indirect migration background,West,Never,0.85265,116,116,0.78787,0.91744
1986,No migration background,West,At least once per week,0.08468,650,7498,0.07838,0.09098
1986,No migration background,West,At least once per month,0.06807,533,7498,0.06237,0.07378
1986,No migration background,West,Seldom,0.08038,641,7498,0.07423,0.08654
1986,No migration background,West,Never,0.76686,5674,7498,0.75729,0.77643
1986,Direct migration background,West,At least once per week,0.04825,111,2798,0.04031,0.05619
1986,Direct migration background,West,At least once per month,0.03916,75,2798,0.03197,0.04635
1986,Direct migration background,West,Seldom,0.04789,116,2798,0.03997,0.05580
1986,Direct migration background,West,Never,0.86470,2496,2798,0.85203,0.87738
1986,Indirect migration background,West,Never,0.86404,125,125,0.80372,0.92437
1988,No migration background,West,At least once per week,0.09423,680,6996,0.08738,0.10107
1988,No migration background,West,At least once per month,0.07049,530,6996,0.06449,0.07648
1988,No migration background,West,Seldom,0.09613,700,6996,0.08922,0.10303
1988,No migration background,West,Never,0.73916,5086,6996,0.72887,0.74945
1988,Direct migration background,West,At least once per week,0.06016,115,2636,0.05108,0.06924
1988,Direct migration background,West,At least once per month,0.02532,61,2636,0.01932,0.03131
1988,Direct migration background,West,Seldom,0.06230,125,2636,0.05307,0.07153
1988,Direct migration background,West,Never,0.85223,2335,2636,0.83868,0.86578
1988,Indirect migration background,West,Never,0.80130,182,182,0.74317,0.85944
1990,No migration background,West,At least once per week,0.08927,610,6609,0.08239,0.09614
1990,No migration background,West,At least once per month,0.07578,518,6609,0.06940,0.08216
1990,No migration background,West,Seldom,0.12452,858,6609,0.11656,0.13248
1990,No migration background,West,Never,0.71043,4623,6609,0.69950,0.72137
1990,No migration background,East,At least once per week,0.06276,274,4172,0.05540,0.07012
1990,No migration background,East,At least once per month,0.10573,478,4172,0.09640,0.11506
1990,No migration background,East,Seldom,0.09731,454,4172,0.08832,0.10631
1990,No migration background,East,Never,0.73420,2966,4172,0.72079,0.74761
1990,Direct migration background,West,At least once per week,0.05611,89,2513,0.04711,0.06511
1990,Direct migration background,West,At least once per month,0.04033,69,2513,0.03264,0.04803
1990,Direct migration background,West,Seldom,0.08566,168,2513,0.07472,0.09660
1990,Direct migration background,West,Never,0.81790,2187,2513,0.80281,0.83299
1990,Direct migration background,East,Never,0.71529,94,94,0.62357,0.80701
1990,Indirect migration background,West,Never,0.87226,257,257,0.83137,0.91315
1992,No migration background,West,At least once per week,0.07759,520,6447,0.07106,0.08412
1992,No migration background,West,At least once per month,0.06997,459,6447,0.06374,0.07619
1992,No migration background,West,Seldom,0.11819,791,6447,0.11031,0.12607
1992,No migration background,West,Never,0.73425,4677,6447,0.72347,0.74504
1992,No migration background,East,At least once per week,0.03888,151,3783,0.03272,0.04504
1992,No migration background,East,At least once per month,0.05639,229,3783,0.04904,0.06374
1992,No migration background,East,Seldom,0.08690,367,3783,0.07792,0.09588
1992,No migration background,East,Never,0.81783,3036,3783,0.80553,0.83013
1992,Direct migration background,West,At least once per week,0.04021,82,2369,0.03230,0.04812
1992,Direct migration background,West,At least once per month,0.04867,82,2369,0.04000,0.05734
1992,Direct migration background,West,Seldom,0.08178,152,2369,0.07074,0.09282
1992,Direct migration background,West,Never,0.82934,2053,2369,0.81419,0.84449
1992,Direct migration background,East,Never,0.80379,113,113,0.73024,0.87734
1992,Indirect migration background,West,Seldom,0.07616,37,367,0.04898,0.10333
1992,Indirect migration background,West,Never,0.85426,330,367,0.81811,0.89041
1994,No migration background,West,At least once per week,0.08125,530,6349,0.07453,0.08797
1994,No migration background,West,At least once per month,0.07196,465,6349,0.06560,0.07832
1994,No migration background,West,Seldom,0.12807,835,6349,0.11985,0.13629
1994,No migration background,West,Never,0.71871,4519,6349,0.70765,0.72977
1994,No migration background,East,At least once per week,0.03458,132,3590,0.02860,0.04056
1994,No migration background,East,At least once per month,0.06308,232,3590,0.05513,0.07103
1994,No migration background,East,Seldom,0.08281,332,3590,0.07379,0.09182
1994,No migration background,East,Never,0.81953,2894,3590,0.80695,0.83212
1994,Direct migration background,West,At least once per week,0.04824,82,2191,0.03927,0.05722
1994,Direct migration background,West,At least once per month,0.04173,71,2191,0.03335,0.05010
1994,Direct migration background,West,Seldom,0.08264,187,2191,0.07111,0.09417
1994,Direct migration background,West,Never,0.82739,1851,2191,0.81156,0.84321
1994,Direct migration background,East,Never,0.84741,119,119,0.78253,0.91230
1994,Indirect migration background,West,Seldom,0.10844,54,428,0.07894,0.13793
1994,Indirect migration background,West,Never,0.79886,374,428,0.76084,0.83688
1995,No migration background,West,At least once per week,0.09085,615,6418,0.08382,0.09788
1995,No migration background,West,At least once per month,0.06269,411,6418,0.05675,0.06862
1995,No migration background,West,Seldom,0.09897,639,6418,0.09166,0.10627
1995,No migration background,West,Never,0.74750,4753,6418,0.73687,0.75813
1995,No migration background,East,At least once per week,0.04432,168,3506,0.03750,0.05113
1995,No migration background,East,At least once per month,0.05581,210,3506,0.04821,0.06341
1995,No migration background,East,Seldom,0.06491,251,3506,0.05675,0.07307
1995,No migration background,East,Never,0.83497,2877,3506,0.82268,0.84726
