"pli0096_h","year","quintil_oecd","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Täglich","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","28","","",""
"Täglich","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","14","","",""
"Täglich","1995","2","Städtischer Raum","31","0.0144979710107748","0.00977448196674456","0.019221460054805"
"Täglich","1995","2","Ländlicher Raum","12","","",""
"Täglich","1995","3","Städtischer Raum","23","","",""
"Täglich","1995","3","Ländlicher Raum","3","","",""
"Täglich","1995","4","Städtischer Raum","11","","",""
"Täglich","1995","4","Ländlicher Raum","4","","",""
"Täglich","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","11","","",""
"Täglich","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","1","","",""
"Min 1x pro Woche","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","153","0.0584597510009712","0.0500867653291584","0.066832736672784"
"Min 1x pro Woche","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","87","0.0514813898903096","0.0416532452787267","0.0613095345018925"
"Min 1x pro Woche","1995","2","Städtischer Raum","146","0.065303132519465","0.0555401404108107","0.0750661246281193"
"Min 1x pro Woche","1995","2","Ländlicher Raum","72","0.0555399837868911","0.0434386417335271","0.0676413258402551"
"Min 1x pro Woche","1995","3","Städtischer Raum","110","0.0823002254760528","0.0684157120085548","0.0961847389435508"
"Min 1x pro Woche","1995","3","Ländlicher Raum","56","0.0878410006686574","0.0667661073647207","0.108915893972594"
"Min 1x pro Woche","1995","4","Städtischer Raum","74","0.0621764451750724","0.0476874124354325","0.0766654779147123"
"Min 1x pro Woche","1995","4","Ländlicher Raum","21","","",""
"Min 1x pro Woche","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","37","0.0616109648264125","0.0421761729063954","0.0810457567464297"
"Min 1x pro Woche","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","14","","",""
"Min 1x pro Monat","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","128","0.0472174211951048","0.0396476899899596","0.0547871524002499"
"Min 1x pro Monat","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","121","0.0654117399241729","0.0544150624020098","0.0764084174463359"
"Min 1x pro Monat","1995","2","Städtischer Raum","101","0.0457618821253475","0.0375041487381551","0.0540196155125399"
"Min 1x pro Monat","1995","2","Ländlicher Raum","93","0.0669091659057037","0.0537070468853265","0.0801112849260809"
"Min 1x pro Monat","1995","3","Städtischer Raum","84","0.0609346776228165","0.0488493062171326","0.0730200490285004"
"Min 1x pro Monat","1995","3","Ländlicher Raum","49","0.0624990932492266","0.0444770436658431","0.08052114283261"
"Min 1x pro Monat","1995","4","Städtischer Raum","67","0.0659598155660649","0.0510666033435438","0.080853027788586"
"Min 1x pro Monat","1995","4","Ländlicher Raum","24","","",""
"Min 1x pro Monat","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","41","0.0670854646444357","0.0468648397003703","0.0873060895885011"
"Min 1x pro Monat","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","10","","",""
"Seltener","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","169","0.0652302749020798","0.0564175676029352","0.0740429822012245"
"Seltener","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","154","0.0810229890908103","0.0688868671247056","0.093159111056915"
"Seltener","1995","2","Städtischer Raum","191","0.0754206953768061","0.0649855648039644","0.0858558259496478"
"Seltener","1995","2","Ländlicher Raum","123","0.105097296043302","0.0888932840661764","0.121301308020428"
"Seltener","1995","3","Städtischer Raum","130","0.0876198276631799","0.0733351989148373","0.101904456411522"
"Seltener","1995","3","Ländlicher Raum","80","0.121552718326982","0.0972238637124391","0.145881572941525"
"Seltener","1995","4","Städtischer Raum","123","0.125321020332705","0.105455397432297","0.145186643233112"
