year,sampreg,sex,pli0096_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,West,male,At least once per week,0.11558,548,5343,0.10701,0.12416
1985,West,male,At least once per month,0.08568,408,5343,0.07818,0.09319
1985,West,male,Seldom,0.09638,469,5343,0.08847,0.10430
1985,West,male,Never,0.70235,3918,5343,0.69009,0.71461
1985,West,female,At least once per week,0.05424,267,5523,0.04826,0.06021
1985,West,female,At least once per month,0.04116,212,5523,0.03592,0.04640
1985,West,female,Seldom,0.07082,378,5523,0.06405,0.07758
1985,West,female,Never,0.83379,4666,5523,0.82397,0.84361
1986,West,male,At least once per week,0.11650,537,5171,0.10776,0.12525
1986,West,male,At least once per month,0.08479,387,5171,0.07719,0.09238
1986,West,male,Seldom,0.08858,420,5171,0.08083,0.09633
1986,West,male,Never,0.71013,3827,5171,0.69776,0.72250
1986,West,female,At least once per week,0.04888,234,5277,0.04306,0.05470
1986,West,female,At least once per month,0.04727,228,5277,0.04154,0.05299
1986,West,female,Seldom,0.06628,347,5277,0.05957,0.07300
1986,West,female,Never,0.83757,4468,5277,0.82761,0.84752
1988,West,male,At least once per week,0.12052,528,4874,0.11138,0.12966
1988,West,male,At least once per month,0.08623,375,4874,0.07835,0.09411
1988,West,male,Seldom,0.10233,449,4874,0.09382,0.11084
1988,West,male,Never,0.69092,3522,4874,0.67795,0.70390
1988,West,female,At least once per week,0.06334,280,4976,0.05658,0.07011
1988,West,female,At least once per month,0.04750,224,4976,0.04159,0.05341
1988,West,female,Seldom,0.08354,391,4976,0.07585,0.09122
1988,West,female,Never,0.80562,4081,4976,0.79462,0.81662
1990,West,male,At least once per week,0.10980,458,4646,0.10080,0.11879
1990,West,male,At least once per month,0.09067,365,4646,0.08241,0.09893
1990,West,male,Seldom,0.13904,580,4646,0.12909,0.14899
1990,West,male,Never,0.66050,3243,4646,0.64688,0.67411
1990,West,female,At least once per week,0.06219,251,4768,0.05533,0.06905
1990,West,female,At least once per month,0.05292,225,4768,0.04657,0.05928
1990,West,female,Seldom,0.10164,468,4768,0.09307,0.11022
1990,West,female,Never,0.78324,3824,4768,0.77154,0.79494
1990,East,male,At least once per week,0.08537,189,2054,0.07328,0.09746
1990,East,male,At least once per month,0.13157,284,2054,0.11695,0.14620
1990,East,male,Seldom,0.11381,257,2054,0.10007,0.12755
1990,East,male,Never,0.66925,1324,2054,0.64890,0.68960
1990,East,female,At least once per week,0.04243,95,2256,0.03411,0.05075
1990,East,female,At least once per month,0.08377,213,2256,0.07233,0.09520
1990,East,female,Seldom,0.08282,211,2256,0.07144,0.09419
1990,East,female,Never,0.79099,1737,2256,0.77420,0.80777
1992,West,male,At least once per week,0.09466,404,4517,0.08612,0.10320
1992,West,male,At least once per month,0.08057,320,4517,0.07263,0.08851
1992,West,male,Seldom,0.12329,521,4517,0.11371,0.13288
1992,West,male,Never,0.70148,3272,4517,0.68813,0.71482
1992,West,female,At least once per week,0.05186,215,4689,0.04552,0.05821
1992,West,female,At least once per month,0.05325,227,4689,0.04682,0.05968
1992,West,female,Seldom,0.10328,459,4689,0.09457,0.11199
1992,West,female,Never,0.79160,3788,4689,0.77998,0.80323
1992,East,male,At least once per week,0.05295,102,1872,0.04280,0.06310
1992,East,male,At least once per month,0.07918,164,1872,0.06694,0.09141
1992,East,male,Seldom,0.10397,208,1872,0.09014,0.11780
1992,East,male,Never,0.76390,1398,1872,0.74466,0.78315
1992,East,female,At least once per week,0.02528,55,2062,0.01850,0.03206
1992,East,female,At least once per month,0.03521,74,2062,0.02726,0.04317
1992,East,female,Seldom,0.07344,175,2062,0.06217,0.08470
1992,East,female,Never,0.86607,1758,2062,0.85137,0.88078
1994,West,male,At least once per week,0.09920,409,4379,0.09034,0.10805
1994,West,male,At least once per month,0.08568,333,4379,0.07739,0.09397
1994,West,male,Seldom,0.14003,592,4379,0.12975,0.15031
1994,West,male,Never,0.67510,3045,4379,0.66122,0.68897
1994,West,female,At least once per week,0.05486,226,4630,0.04830,0.06142
1994,West,female,At least once per month,0.04968,221,4630,0.04342,0.05594
1994,West,female,Seldom,0.10417,484,4630,0.09537,0.11297
1994,West,female,Never,0.79129,3699,4630,0.77958,0.80300
1994,East,male,At least once per week,0.04842,95,1783,0.03845,0.05838
1994,East,male,At least once per month,0.08995,160,1783,0.07667,0.10323
1994,East,male,Seldom,0.09132,173,1783,0.07795,0.10470
1994,East,male,Never,0.77031,1355,1783,0.75078,0.78984
1994,East,female,At least once per week,0.02037,40,1964,0.01412,0.02662
1994,East,female,At least once per month,0.03706,81,1964,0.02870,0.04541
1994,East,female,Seldom,0.07337,171,1964,0.06184,0.08491
1994,East,female,Never,0.86920,1672,1964,0.85428,0.88412
1995,West,male,At least once per week,0.10643,462,4621,0.09754,0.11532
1995,West,male,At least once per month,0.06885,284,4621,0.06155,0.07615
1995,West,male,Seldom,0.10462,441,4621,0.09580,0.11345
1995,West,male,Never,0.72010,3434,4621,0.70715,0.73305
1995,West,female,At least once per week,0.06287,274,4894,0.05607,0.06967
1995,West,female,At least once per month,0.04788,212,4894,0.04190,0.05386
1995,West,female,Seldom,0.08323,377,4894,0.07549,0.09098
1995,West,female,Never,0.80602,4031,4894,0.79494,0.81710
1995,East,male,At least once per week,0.06149,115,1744,0.05022,0.07277
1995,East,male,At least once per month,0.07405,147,1744,0.06176,0.08635
1995,East,male,Seldom,0.07903,148,1744,0.06637,0.09170
1995,East,male,Never,0.78542,1334,1744,0.76615,0.80469
1995,East,female,At least once per week,0.02686,57,1920,0.01963,0.03410
1995,East,female,At least once per month,0.04002,75,1920,0.03125,0.04879
1995,East,female,Seldom,0.05115,113,1920,0.04129,0.06100
1995,East,female,Never,0.88197,1675,1920,0.86753,0.89641
1996,West,male,At least once per week,0.10426,446,4522,0.09536,0.11317
1996,West,male,At least once per month,0.08750,354,4522,0.07926,0.09574
1996,West,male,Seldom,0.16749,687,4522,0.15661,0.17838
1996,West,male,Never,0.64074,3035,4522,0.62676,0.65473
1996,West,female,At least once per week,0.06092,255,4797,0.05415,0.06769
1996,West,female,At least once per month,0.06068,253,4797,0.05393,0.06744
1996,West,female,Seldom,0.13224,642,4797,0.12265,0.14182
1996,West,female,Never,0.74616,3647,4797,0.73384,0.75848
1996,East,male,At least once per week,0.06538,121,1746,0.05378,0.07698
1996,East,male,At least once per month,0.09215,167,1746,0.07857,0.10572
1996,East,male,Seldom,0.12854,242,1746,0.11283,0.14424
1996,East,male,Never,0.71394,1216,1746,0.69274,0.73514
1996,East,female,At least once per week,0.02356,47,1920,0.01678,0.03035
1996,East,female,At least once per month,0.04475,89,1920,0.03550,0.05400
1996,East,female,Seldom,0.10173,218,1920,0.08821,0.11526
1996,East,female,Never,0.82996,1566,1920,0.81315,0.84676
1997,West,male,At least once per week,0.10405,445,4437,0.09507,0.11304
1997,West,male,At least once per month,0.08540,334,4437,0.07718,0.09362
1997,West,male,Seldom,0.13873,613,4437,0.12856,0.14891
1997,West,male,Never,0.67181,3045,4437,0.65799,0.68563
1997,West,female,At least once per week,0.06204,273,4687,0.05513,0.06895
1997,West,female,At least once per month,0.06650,264,4687,0.05936,0.07363
1997,West,female,Seldom,0.12832,589,4687,0.11874,0.13789
1997,West,female,Never,0.74315,3561,4687,0.73064,0.75566
1997,East,male,At least once per week,0.06972,121,1734,0.05773,0.08171
1997,East,male,At least once per month,0.09413,162,1734,0.08038,0.10788
1997,East,male,Seldom,0.10743,198,1734,0.09285,0.12201
1997,East,male,Never,0.72872,1253,1734,0.70779,0.74965
1997,East,female,At least once per week,0.03158,55,1869,0.02365,0.03951
1997,East,female,At least once per month,0.04061,82,1869,0.03166,0.04957
