,Unnamed: 0,year,pgisced97,regtyp,pli0096_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,Pre-primary Level,Urban regions,Never,1.0,109,10440,0.90856,1.08818
1,1,1985,Primary Level,Urban regions,Never,1.0,690,10440,0.92669,1.06878
2,2,1985,Primary Level,Rural regions,Never,1.0,98,10440,0.79285,1.22247
3,3,1985,Lower Secondary Level,Urban regions,At least once per week,0.04828,98,10440,0.04417,0.05259
4,4,1985,Lower Secondary Level,Urban regions,At least once per month,0.04015,85,10440,0.03567,0.04364
5,5,1985,Lower Secondary Level,Urban regions,Seldom,0.05804,126,10440,0.05284,0.06307
6,6,1985,Lower Secondary Level,Urban regions,Never,0.85354,1959,10440,0.82663,0.88123
7,7,1985,Lower Secondary Level,Rural regions,At least once per week,0.07044,48,10440,0.06184,0.07735
8,8,1985,Lower Secondary Level,Rural regions,Seldom,0.08097,62,10440,0.07328,0.08809
9,9,1985,Lower Secondary Level,Rural regions,Never,0.84859,601,10440,0.81746,0.87706
10,10,1985,Upper Secondary Level,Urban regions,At least once per week,0.08831,335,10440,0.08557,0.09155
11,11,1985,Upper Secondary Level,Urban regions,At least once per month,0.06148,229,10440,0.05886,0.06411
12,12,1985,Upper Secondary Level,Urban regions,Seldom,0.08203,327,10440,0.07874,0.08529
13,13,1985,Upper Secondary Level,Urban regions,Never,0.76818,3090,10440,0.75616,0.78052
14,14,1985,Upper Secondary Level,Rural regions,At least once per week,0.08828,104,10440,0.08335,0.09361
15,15,1985,Upper Secondary Level,Rural regions,At least once per month,0.08346,95,10440,0.08036,0.08681
16,16,1985,Upper Secondary Level,Rural regions,Seldom,0.09912,109,10440,0.09486,0.10282
17,17,1985,Upper Secondary Level,Rural regions,Never,0.72914,827,10440,0.7108,0.74909
18,18,1985,Post-secondary Non-tertiary Level,Urban regions,Never,1.0,165,10440,0.91239,1.11117
19,19,1985,Post-secondary Non-tertiary Level,Rural regions,Never,1.0,36,10440,0.79972,1.1725
20,20,1985,First Stage of Tertiary Education,Urban regions,At least once per week,0.11837,54,10440,0.11105,0.12615
21,21,1985,First Stage of Tertiary Education,Urban regions,At least once per month,0.08235,43,10440,0.07534,0.08788
22,22,1985,First Stage of Tertiary Education,Urban regions,Seldom,0.10321,50,10440,0.09366,0.11231
23,23,1985,First Stage of Tertiary Education,Urban regions,Never,0.69606,324,10440,0.67239,0.72023
24,24,1985,First Stage of Tertiary Education,Rural regions,Never,1.0,88,10440,0.91629,1.08476
25,25,1985,Second Stage of Tertiary Education,Urban regions,At least once per week,0.11948,72,10440,0.10878,0.13031
26,26,1985,Second Stage of Tertiary Education,Urban regions,At least once per month,0.0984,64,10440,0.08949,0.10832
27,27,1985,Second Stage of Tertiary Education,Urban regions,Seldom,0.12144,75,10440,0.11167,0.12855
28,28,1985,Second Stage of Tertiary Education,Urban regions,Never,0.66069,411,10440,0.63039,0.69274
29,29,1985,Second Stage of Tertiary Education,Rural regions,Never,1.0,66,10440,0.9146,1.10639
30,30,1986,Pre-primary Level,Urban regions,Never,1.0,131,10042,0.91802,1.08954
