year,bula_h,quintil_oecd,pli0096_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,1st Quintile,Never,1.0,57,9495,1.0,1.0
1985,Schleswig-Holstein,2nd Quintile,Never,1.0,64,9495,1.0,1.0
1985,Schleswig-Holstein,3rd Quintile,Never,1.0,45,9495,1.0,1.0
1985,Schleswig-Holstein,4th Quintile,Never,1.0,52,9495,1.0,1.0
1985,Schleswig-Holstein,5th Quintile,Never,1.0,60,9495,1.0,1.0
1985,Hamburg,1st Quintile,Never,1.0,45,9495,1.0,1.0
1985,Hamburg,2nd Quintile,Never,1.0,40,9495,1.0,1.0
1985,Hamburg,3rd Quintile,Never,1.0,48,9495,1.0,1.0
1985,Hamburg,4th Quintile,Never,1.0,43,9495,1.0,1.0
1985,Hamburg,5th Quintile,Never,1.0,63,9495,1.0,1.0
1985,Lower Saxony,1st Quintile,Never,1.0,198,9495,1.0,1.0
1985,Lower Saxony,2nd Quintile,Never,1.0,142,9495,1.0,1.0
1985,Lower Saxony,3rd Quintile,Never,1.0,175,9495,1.0,1.0
1985,Lower Saxony,4th Quintile,Never,1.0,148,9495,1.0,1.0
1985,Lower Saxony,5th Quintile,Never,1.0,185,9495,1.0,1.0
1985,Bremen,3rd Quintile,Never,1.0,37,9495,1.0,1.0
1985,North Rhine-Westphalia,1st Quintile,At least once per week,0.06028714724948669,32,9495,0.05999984359164755,0.06057445090732583
1985,North Rhine-Westphalia,1st Quintile,At least once per month,0.058603549458318686,32,9495,0.058320032237119616,0.058887066679517756
1985,North Rhine-Westphalia,1st Quintile,Seldom,0.0917735204209095,55,9495,0.09142503310090158,0.09212200774091742
1985,North Rhine-Westphalia,1st Quintile,Never,0.7893357828712851,543,9495,0.7888435648759039,0.7898280008666664
1985,North Rhine-Westphalia,2nd Quintile,At least once per week,0.08085120363919361,38,9495,0.08051842713939084,0.08118398013899639
1985,North Rhine-Westphalia,2nd Quintile,Seldom,0.06554910463344969,36,9495,0.06524698557860843,0.06585122368829095
1985,North Rhine-Westphalia,2nd Quintile,Never,0.8535996917273567,514,9495,0.853168158130078,0.8540312253246355
1985,North Rhine-Westphalia,3rd Quintile,At least once per week,0.09525452984243843,50,9495,0.09488855056725327,0.09562050911762358
1985,North Rhine-Westphalia,3rd Quintile,At least once per month,0.07727500218101233,37,9495,0.07694210806320376,0.0776078962988209
1985,North Rhine-Westphalia,3rd Quintile,Seldom,0.08941722493057211,42,9495,0.08906149469971764,0.08977295516142658
1985,North Rhine-Westphalia,3rd Quintile,Never,0.7380532430459772,396,9495,0.7375050912712153,0.738601394820739
1985,North Rhine-Westphalia,4th Quintile,At least once per week,0.08485317461653998,40,9495,0.08451699194914175,0.0851893572839382
1985,North Rhine-Westphalia,4th Quintile,Seldom,0.09138868557431637,55,9495,0.09104104443214976,0.09173632671648298
1985,North Rhine-Westphalia,4th Quintile,Never,0.8237581398091437,467,9495,0.823298465453588,0.8242178141646994
1985,North Rhine-Westphalia,5th Quintile,At least once per week,0.07103246819134196,34,9495,0.07072470153287479,0.07134023484980913
1985,North Rhine-Westphalia,5th Quintile,At least once per month,0.06128498416187839,35,9495,0.06099761724372794,0.06157235108002885
1985,North Rhine-Westphalia,5th Quintile,Seldom,0.08186155953265253,44,9495,0.08153309616501585,0.08219002290028922
1985,North Rhine-Westphalia,5th Quintile,Never,0.7858209881141272,416,9495,0.7853294659387006,0.7863125102895537
1985,Hesse,1st Quintile,Never,1.0,213,9495,1.0,1.0
1985,Hesse,2nd Quintile,Never,1.0,157,9495,1.0,1.0
1985,Hesse,3rd Quintile,Never,1.0,164,9495,1.0,1.0
1985,Hesse,4th Quintile,Never,1.0,177,9495,1.0,1.0
1985,Hesse,5th Quintile,Never,1.0,173,9495,1.0,1.0
1985,"Rhineland-Palatinate, Saarland",1st Quintile,Never,1.0,139,9495,1.0,1.0
1985,"Rhineland-Palatinate, Saarland",2nd Quintile,Never,1.0,103,9495,1.0,1.0
1985,"Rhineland-Palatinate, Saarland",3rd Quintile,Never,1.0,137,9495,1.0,1.0
1985,"Rhineland-Palatinate, Saarland",4th Quintile,Never,1.0,120,9495,1.0,1.0
1985,"Rhineland-Palatinate, Saarland",5th Quintile,Never,1.0,70,9495,1.0,1.0
1985,Baden-Wuerttemberg,1st Quintile,Never,1.0,322,9495,1.0,1.0
1985,Baden-Wuerttemberg,2nd Quintile,Never,1.0,349,9495,1.0,1.0
1985,Baden-Wuerttemberg,3rd Quintile,At least once per week,0.09600844042431904,34,9495,0.09555009244807458,0.0964667884005635
1985,Baden-Wuerttemberg,3rd Quintile,Seldom,0.10252512759179885,37,9495,0.10205318982723144,0.10299706535636627
1985,Baden-Wuerttemberg,3rd Quintile,Never,0.8014664319838822,358,9495,0.8008458229895316,0.8020870409782329
1985,Baden-Wuerttemberg,4th Quintile,Never,1.0,340,9495,1.0,1.0
1985,Baden-Wuerttemberg,5th Quintile,At least once per week,0.1384287168395318,40,9495,0.13785300585591775,0.13900442782314587
1985,Baden-Wuerttemberg,5th Quintile,Seldom,0.1425640205192292,45,9495,0.14198117745884214,0.14314686357961626
1985,Baden-Wuerttemberg,5th Quintile,Never,0.719007262641239,249,9495,0.7182579552835313,0.7197565699989468
1985,Bavaria,1st Quintile,Never,1.0,235,9495,1.0,1.0
1985,Bavaria,2nd Quintile,At least once per week,0.08049878833219506,34,9495,0.08011421891950524,0.08088335774488489
