year,bula_h,sex,pli0096_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,male,Never,0.75164,126,126,0.67589,0.82738
1985,Schleswig-Holstein,female,Never,0.86693,153,153,0.81293,0.92093
1985,Hamburg,male,Never,0.83872,115,115,0.77121,0.90624
1985,Hamburg,female,Never,0.90803,124,124,0.85696,0.95910
1985,Lower Saxony,male,At least once per week,0.13667,70,533,0.10748,0.16586
1985,Lower Saxony,male,At least once per month,0.07389,41,533,0.05166,0.09612
1985,Lower Saxony,male,Seldom,0.08380,43,533,0.06025,0.10734
1985,Lower Saxony,male,Never,0.70564,379,533,0.66691,0.74437
1985,Lower Saxony,female,Seldom,0.05478,34,504,0.03489,0.07466
1985,Lower Saxony,female,Never,0.85911,470,504,0.82871,0.88951
1985,Bremen,male,Never,0.72533,39,39,0.58342,0.86725
1985,Bremen,female,Never,0.91213,56,56,0.83732,0.98695
1985,North Rhine-Westphalia,male,At least once per week,0.10359,128,1445,0.08787,0.11931
1985,North Rhine-Westphalia,male,At least once per month,0.07395,98,1445,0.06045,0.08744
1985,North Rhine-Westphalia,male,Seldom,0.09680,133,1445,0.08155,0.11205
1985,North Rhine-Westphalia,male,Never,0.72566,1086,1445,0.70265,0.74867
1985,North Rhine-Westphalia,female,At least once per week,0.05270,66,1477,0.04130,0.06410
1985,North Rhine-Westphalia,female,At least once per month,0.04680,62,1477,0.03602,0.05757
1985,North Rhine-Westphalia,female,Seldom,0.06924,99,1477,0.05629,0.08219
1985,North Rhine-Westphalia,female,Never,0.83126,1250,1477,0.81216,0.85037
1985,Hesse,male,At least once per week,0.13716,62,560,0.10864,0.16568
1985,Hesse,male,At least once per month,0.09014,43,560,0.06640,0.11388
1985,Hesse,male,Seldom,0.08407,41,560,0.06106,0.10707
1985,Hesse,male,Never,0.68863,414,560,0.65025,0.72702
1985,Hesse,female,Seldom,0.08402,37,508,0.05987,0.10816
1985,Hesse,female,Never,0.81086,471,508,0.77677,0.84495
1985,"Rhineland-Palatinate, Saarland",male,At least once per week,0.11517,44,377,0.08290,0.14744
1985,"Rhineland-Palatinate, Saarland",male,At least once per month,0.10567,37,377,0.07460,0.13675
1985,"Rhineland-Palatinate, Saarland",male,Seldom,0.12069,41,377,0.08776,0.15362
1985,"Rhineland-Palatinate, Saarland",male,Never,0.65847,255,377,0.61053,0.70640
