"pli0096_h","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Taeglich","1985","(noch) kein Abschluss","maennlich","","","",""
"Taeglich","1985","(noch) kein Abschluss","weiblich","","","",""
"Taeglich","1985","Hauptschule","maennlich","","","",""
"Taeglich","1985","Hauptschule","weiblich","","","",""
"Taeglich","1985","Realschule","maennlich","","","",""
"Taeglich","1985","Realschule","weiblich","","","",""
"Taeglich","1985","(Fach-)Abitur","maennlich","","","",""
"Taeglich","1985","(Fach-)Abitur","weiblich","","","",""
"Taeglich","1985","AkademikerIn","maennlich","","","",""
"Taeglich","1985","AkademikerIn","weiblich","","","",""
"Min 1x pro Woche","1985","(noch) kein Abschluss","maennlich","27","","",""
"Min 1x pro Woche","1985","(noch) kein Abschluss","weiblich","11","","",""
"Min 1x pro Woche","1985","Hauptschule","maennlich","268","","",""
"Min 1x pro Woche","1985","Hauptschule","weiblich","131","","",""
"Min 1x pro Woche","1985","Realschule","maennlich","125","","",""
"Min 1x pro Woche","1985","Realschule","weiblich","78","0.06729724910268","0.0520998899696077","0.0824946082357524"
"Min 1x pro Woche","1985","(Fach-)Abitur","maennlich","56","0.131398725700543","0.100492387257819","0.162305064143267"
"Min 1x pro Woche","1985","(Fach-)Abitur","weiblich","25","","",""
"Min 1x pro Woche","1985","AkademikerIn","maennlich","68","0.137149235574272","0.107086490215301","0.167211980933243"
"Min 1x pro Woche","1985","AkademikerIn","weiblich","21","","",""
"Min 1x pro Monat","1985","(noch) kein Abschluss","maennlich","11","","",""
"Min 1x pro Monat","1985","(noch) kein Abschluss","weiblich","6","0.0103975181702361","0.00216355262199937","0.0186314837184729"
"Min 1x pro Monat","1985","Hauptschule","maennlich","233","","",""
"Min 1x pro Monat","1985","Hauptschule","weiblich","102","","",""
"Min 1x pro Monat","1985","Realschule","maennlich","78","0.102860264031055","0.0811196741691604","0.124600853892949"
"Min 1x pro Monat","1985","Realschule","weiblich","54","0.0549995534767845","0.0411704689753152","0.0688286379782539"
"Min 1x pro Monat","1985","(Fach-)Abitur","maennlich","26","","",""
"Min 1x pro Monat","1985","(Fach-)Abitur","weiblich","22","","",""
"Min 1x pro Monat","1985","AkademikerIn","maennlich","59","0.11521245681325","0.0873105864128029","0.143114327213698"
"Min 1x pro Monat","1985","AkademikerIn","weiblich","25","","",""
"Seltener","1985","(noch) kein Abschluss","maennlich","24","","",""
"Seltener","1985","(noch) kein Abschluss","weiblich","18","","",""
"Seltener","1985","Hauptschule","maennlich","258","","",""
"Seltener","1985","Hauptschule","weiblich","207","","",""
