"pli0096_h","year","age_gr","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Täglich","1995","17-29","1 Einkommensschwächstes Quintil","14","","",""
"Täglich","1995","17-29","2","7","","",""
"Täglich","1995","17-29","3","4","","",""
"Täglich","1995","17-29","4","3","","",""
"Täglich","1995","17-29","5 Einkommensstärkstes Quintil","","","",""
"Täglich","1995","30-45","1 Einkommensschwächstes Quintil","16","","",""
"Täglich","1995","30-45","2","15","","",""
"Täglich","1995","30-45","3","9","","",""
"Täglich","1995","30-45","4","5","","",""
"Täglich","1995","30-45","5 Einkommensstärkstes Quintil","1","","",""
"Täglich","1995","46-65","1 Einkommensschwächstes Quintil","9","","",""
"Täglich","1995","46-65","2","18","","",""
"Täglich","1995","46-65","3","10","","",""
"Täglich","1995","46-65","4","7","","",""
"Täglich","1995","46-65","5 Einkommensstärkstes Quintil","6","","",""
"Täglich","1995","66","1 Einkommensschwächstes Quintil","","","",""
"Täglich","1995","66","2","","","",""
"Täglich","1995","66","3","","","",""
"Täglich","1995","66","4","","","",""
"Täglich","1995","66","5 Einkommensstärkstes Quintil","","","",""
"Min 1x pro Woche","1995","17-29","1 Einkommensschwächstes Quintil","66","0.0623317988276567","0.0496225431947721","0.0750410544605413"
"Min 1x pro Woche","1995","17-29","2","52","0.0717984941226334","0.0551532216936626","0.0884437665516042"
"Min 1x pro Woche","1995","17-29","3","37","0.071731891262882","0.0498865641605919","0.0935772183651721"
"Min 1x pro Woche","1995","17-29","4","26","","",""
"Min 1x pro Woche","1995","17-29","5 Einkommensstärkstes Quintil","4","","",""
"Min 1x pro Woche","1995","30-45","1 Einkommensschwächstes Quintil","109","0.0724857605413719","0.0603270286684433","0.0846444924143004"
"Min 1x pro Woche","1995","30-45","2","83","0.0717996041269382","0.0573549313102862","0.0862442769435902"
"Min 1x pro Woche","1995","30-45","3","55","0.0739067400942017","0.0547838719333365","0.093029608255067"
"Min 1x pro Woche","1995","30-45","4","30","0.0632294461251327","0.0409160181605229","0.0855428740897425"
"Min 1x pro Woche","1995","30-45","5 Einkommensstärkstes Quintil","17","","",""
"Min 1x pro Woche","1995","46-65","1 Einkommensschwächstes Quintil","47","0.0442878538744082","0.0331214028409874","0.0554543049078291"
"Min 1x pro Woche","1995","46-65","2","68","0.071985219664835","0.0571562226850571","0.0868142166446129"
"Min 1x pro Woche","1995","46-65","3","59","0.107849691665332","0.084952511499142","0.130746871831522"
"Min 1x pro Woche","1995","46-65","4","32","0.0653072197437624","0.043453650083271","0.0871607894042537"
"Min 1x pro Woche","1995","46-65","5 Einkommensstärkstes Quintil","23","","",""
"Min 1x pro Woche","1995","66","1 Einkommensschwächstes Quintil","","","",""
"Min 1x pro Woche","1995","66","2","","","",""
"Min 1x pro Woche","1995","66","3","","","",""
"Min 1x pro Woche","1995","66","4","","","",""
"Min 1x pro Woche","1995","66","5 Einkommensstärkstes Quintil","","","",""
"Min 1x pro Monat","1995","17-29","1 Einkommensschwächstes Quintil","48","0.0410473226763314","0.0306173854018017","0.051477259950861"
"Min 1x pro Monat","1995","17-29","2","35","0.0392389524962591","0.0267196970357013","0.0517582079568169"
"Min 1x pro Monat","1995","17-29","3","27","","",""
"Min 1x pro Monat","1995","17-29","4","18","","",""
"Min 1x pro Monat","1995","17-29","5 Einkommensstärkstes Quintil","4","","",""
"Min 1x pro Monat","1995","30-45","1 Einkommensschwächstes Quintil","86","0.0510192802697268","0.0407012333862588","0.0613373271531947"
"Min 1x pro Monat","1995","30-45","2","57","0.0472103853957057","0.0353433267151938","0.0590774440762177"
"Min 1x pro Monat","1995","30-45","3","49","0.0640054254583455","0.0461146689145035","0.0818961820021875"
"Min 1x pro Monat","1995","30-45","4","31","0.0703767316498014","0.0469259117827362","0.0938275515168667"
"Min 1x pro Monat","1995","30-45","5 Einkommensstärkstes Quintil","17","","",""
"Min 1x pro Monat","1995","46-65","1 Einkommensschwächstes Quintil","88","0.0722541033357105","0.0582015554348846","0.0863066512365364"
"Min 1x pro Monat","1995","46-65","2","75","0.0623893674623079","0.0485128905934181","0.0762658443311976"
"Min 1x pro Monat","1995","46-65","3","48","0.0720395987745646","0.0529540831666233","0.0911251143825059"
"Min 1x pro Monat","1995","46-65","4","34","0.0731419974462565","0.0501118162368926","0.0961721786556204"
"Min 1x pro Monat","1995","46-65","5 Einkommensstärkstes Quintil","25","","",""
"Min 1x pro Monat","1995","66","1 Einkommensschwächstes Quintil","","","",""
"Min 1x pro Monat","1995","66","2","","","",""
"Min 1x pro Monat","1995","66","3","","","",""
"Min 1x pro Monat","1995","66","4","","","",""
"Min 1x pro Monat","1995","66","5 Einkommensstärkstes Quintil","","","",""
"Seltener","1995","17-29","1 Einkommensschwächstes Quintil","88","0.0865999720648138","0.0718146742381706","0.101385269891457"
"Seltener","1995","17-29","2","68","0.0869922808457435","0.0688208264307489","0.105163735260738"
"Seltener","1995","17-29","3","52","0.103625181350152","0.0778237872848864","0.129426575415417"
"Seltener","1995","17-29","4","43","0.143451769795204","0.107973590555004","0.178929949035404"
"Seltener","1995","17-29","5 Einkommensstärkstes Quintil","12","","",""
"Seltener","1995","30-45","1 Einkommensschwächstes Quintil","128","0.0798630663618972","0.0671514475600194","0.092574685163775"
"Seltener","1995","30-45","2","118","0.104717465690664","0.0875851752904782","0.12184975609085"
"Seltener","1995","30-45","3","75","0.111943154622464","0.0888967703131914","0.134989538931737"
"Seltener","1995","30-45","4","52","0.127003501104936","0.0964750979267929","0.157531904283079"
"Seltener","1995","30-45","5 Einkommensstärkstes Quintil","16","","",""
"Seltener","1995","46-65","1 Einkommensschwächstes Quintil","86","0.0745754129056901","0.0603167879621203","0.08883403784926"
"Seltener","1995","46-65","2","106","0.0938507136609048","0.0771193503751402","0.11058207694667"
"Seltener","1995","46-65","3","65","0.0870971204046666","0.0662825371793235","0.10791170363001"
"Seltener","1995","46-65","4","64","0.137196328917393","0.106764042516187","0.167628615318599"
"Seltener","1995","46-65","5 Einkommensstärkstes Quintil","32","0.125236217522747","0.0854605349848911","0.165011900060603"
"Seltener","1995","66","1 Einkommensschwächstes Quintil","","","",""
"Seltener","1995","66","2","","","",""
"Seltener","1995","66","3","","","",""
"Seltener","1995","66","4","","","",""
"Seltener","1995","66","5 Einkommensstärkstes Quintil","","","",""
"Nie","1995","17-29","1 Einkommensschwächstes Quintil","1174","0.800928753218374","0.779937329183441","0.821920177253307"
"Nie","1995","17-29","2","762","0.793474616474658","0.767373123864311","0.819576109085004"
"Nie","1995","17-29","3","416","0.76015521651515","0.724007407848704","0.796303025181596"
"Nie","1995","17-29","4","285","0.755693207269021","0.712204851539038","0.799181562999003"
"Nie","1995","17-29","5 Einkommensstärkstes Quintil","90","0.804465401258924","0.730348502172182","0.878582300345665"
"Nie","1995","30-45","1 Einkommensschwächstes Quintil","1408","0.785381694690949","0.766129714484173","0.804633674897725"
"Nie","1995","30-45","2","954","0.75920614687766","0.735282445894772","0.783129847860547"
"Nie","1995","30-45","3","531","0.73395901108643","0.701659657856465","0.766258364316395"
"Nie","1995","30-45","4","339","0.724069909683995","0.683089171936973","0.765050647431016"
"Nie","1995","30-45","5 Einkommensstärkstes Quintil","211","0.807040600245342","0.759257083793935","0.854824116696749"
"Nie","1995","46-65","1 Einkommensschwächstes Quintil","1074","0.801177038716005","0.779514626721453","0.822839450710557"
"Nie","1995","46-65","2","900","0.755500905338763","0.730842284360734","0.780159526316792"
"Nie","1995","46-65","3","523","0.717725277544508","0.684499997663952","0.750950557425064"
"Nie","1995","46-65","4","354","0.709530243928197","0.669374908223774","0.749685579632619"
"Nie","1995","46-65","5 Einkommensstärkstes Quintil","180","0.691642653936368","0.636144912836906","0.747140395035829"
"Nie","1995","66","1 Einkommensschwächstes Quintil","","","",""
"Nie","1995","66","2","","","",""
"Nie","1995","66","3","","","",""
"Nie","1995","66","4","","","",""
"Nie","1995","66","5 Einkommensstärkstes Quintil","","","",""
"Täglich","1996","17-29","1 Einkommensschwächstes Quintil","","","",""
"Täglich","1996","17-29","2","","","",""
"Täglich","1996","17-29","3","","","",""
"Täglich","1996","17-29","4","","","",""
"Täglich","1996","17-29","5 Einkommensstärkstes Quintil","","","",""
"Täglich","1996","30-45","1 Einkommensschwächstes Quintil","","","",""
"Täglich","1996","30-45","2","","","",""
"Täglich","1996","30-45","3","","","",""
"Täglich","1996","30-45","4","","","",""
"Täglich","1996","30-45","5 Einkommensstärkstes Quintil","","","",""
"Täglich","1996","46-65","1 Einkommensschwächstes Quintil","","","",""
"Täglich","1996","46-65","2","","","",""
"Täglich","1996","46-65","3","","","",""
"Täglich","1996","46-65","4","","","",""
"Täglich","1996","46-65","5 Einkommensstärkstes Quintil","","","",""
"Täglich","1996","66","1 Einkommensschwächstes Quintil","","","",""
