,Unnamed: 0,year,pgisced97,sex,pli0096_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,Pre-primary Level,male,Never,1.0,76,10460,0.91966,1.06812
1,1,1985,Pre-primary Level,female,Never,1.0,55,10460,0.87262,1.13415
2,2,1985,Primary Level,male,Never,1.0,316,10460,0.87002,1.15515
3,3,1985,Primary Level,female,Never,1.0,472,10460,0.90608,1.10971
4,4,1985,Lower Secondary Level,male,At least once per week,0.08217,68,10460,0.07327,0.09133
5,5,1985,Lower Secondary Level,male,At least once per month,0.06344,54,10460,0.05399,0.07211
6,6,1985,Lower Secondary Level,male,Seldom,0.08376,71,10460,0.07314,0.09529
7,7,1985,Lower Secondary Level,male,Never,0.77063,821,10460,0.73199,0.80876
8,8,1985,Lower Secondary Level,female,At least once per week,0.04382,78,10460,0.04015,0.04754
9,9,1985,Lower Secondary Level,female,At least once per month,0.03212,60,10460,0.02897,0.03558
10,10,1985,Lower Secondary Level,female,Seldom,0.05661,117,10460,0.05265,0.06011
11,11,1985,Lower Secondary Level,female,Never,0.86745,1739,10460,0.84856,0.88444
12,12,1985,Upper Secondary Level,male,At least once per week,0.11923,313,10460,0.11473,0.12368
13,13,1985,Upper Secondary Level,male,At least once per month,0.08836,230,10460,0.08494,0.09179
14,14,1985,Upper Secondary Level,male,Seldom,0.09113,253,10460,0.08714,0.09485
15,15,1985,Upper Secondary Level,male,Never,0.70128,2009,10460,0.68717,0.71556
16,16,1985,Upper Secondary Level,female,At least once per week,0.05322,126,10460,0.04985,0.05654
17,17,1985,Upper Secondary Level,female,At least once per month,0.04225,94,10460,0.03923,0.04469
18,18,1985,Upper Secondary Level,female,Seldom,0.08046,183,10460,0.07622,0.08506
19,19,1985,Upper Secondary Level,female,Never,0.82407,1908,10460,0.80743,0.84105
20,20,1985,Post-secondary Non-tertiary Level,male,Never,1.0,124,10460,0.88884,1.11306
21,21,1985,Post-secondary Non-tertiary Level,female,Never,1.0,77,10460,0.87246,1.14763
22,22,1985,First Stage of Tertiary Education,male,At least once per week,0.13801,50,10460,0.12858,0.14517
23,23,1985,First Stage of Tertiary Education,male,At least once per month,0.10849,42,10460,0.09945,0.11609
24,24,1985,First Stage of Tertiary Education,male,Seldom,0.12124,41,10460,0.10751,0.13624
25,25,1985,First Stage of Tertiary Education,male,Never,0.63226,221,10460,0.60756,0.65787
26,26,1985,First Stage of Tertiary Education,female,Never,1.0,191,10460,0.94826,1.05863
27,27,1985,Second Stage of Tertiary Education,male,At least once per week,0.13715,68,10460,0.12507,0.14772
28,28,1985,Second Stage of Tertiary Education,male,At least once per month,0.11521,59,10460,0.10412,0.12534
29,29,1985,Second Stage of Tertiary Education,male,Seldom,0.13515,67,10460,0.12662,0.1453
30,30,1985,Second Stage of Tertiary Education,male,Never,0.61249,309,10460,0.58173,0.63868
31,31,1985,Second Stage of Tertiary Education,female,Never,1.0,168,10460,0.92904,1.08598
32,32,1986,Pre-primary Level,male,Never,1.0,90,10066,0.88373,1.1229
33,33,1986,Pre-primary Level,female,Never,1.0,59,10066,0.84199,1.13059
34,34,1986,Primary Level,male,Never,1.0,291,10066,0.87212,1.13669
35,35,1986,Primary Level,female,Never,1.0,432,10066,0.90018,1.10991
36,36,1986,Lower Secondary Level,male,At least once per week,0.09607,66,10066,0.08658,0.10597
37,37,1986,Lower Secondary Level,male,At least once per month,0.05646,45,10066,0.04707,0.0655
38,38,1986,Lower Secondary Level,male,Seldom,0.08784,75,10066,0.07471,0.10084
39,39,1986,Lower Secondary Level,male,Never,0.75964,813,10066,0.71778,0.80367
40,40,1986,Lower Secondary Level,female,At least once per week,0.03757,62,10066,0.03313,0.04228
41,41,1986,Lower Secondary Level,female,At least once per month,0.04129,65,10066,0.03693,0.04693
42,42,1986,Lower Secondary Level,female,Seldom,0.05452,107,10066,0.04976,0.05933
43,43,1986,Lower Secondary Level,female,Never,0.86662,1628,10066,0.84446,0.89091
44,44,1986,Upper Secondary Level,male,At least once per week,0.12137,308,10066,0.11707,0.12665
45,45,1986,Upper Secondary Level,male,At least once per month,0.09419,238,10066,0.08971,0.09846
46,46,1986,Upper Secondary Level,male,Seldom,0.08191,214,10066,0.07782,0.08598
47,47,1986,Upper Secondary Level,male,Never,0.70253,1945,10066,0.68716,0.72067
48,48,1986,Upper Secondary Level,female,At least once per week,0.05206,114,10066,0.04871,0.0563
