year,quintil_oecd,regtyp,plh0035,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,1st Quintile,Urban regions,Very concerned,0.28511,438,1659,0.26338,0.30684
1999,1st Quintile,Urban regions,Somewhat concerned,0.41111,696,1659,0.38743,0.43480
1999,1st Quintile,Urban regions,Not concerned at all,0.30377,525,1659,0.28164,0.32591
1999,1st Quintile,Rural regions,Very concerned,0.22466,205,931,0.19783,0.25148
1999,1st Quintile,Rural regions,Somewhat concerned,0.49424,456,931,0.46211,0.52637
1999,1st Quintile,Rural regions,Not concerned at all,0.28110,270,931,0.25221,0.31000
1999,2nd Quintile,Urban regions,Very concerned,0.26875,413,1729,0.24785,0.28965
1999,2nd Quintile,Urban regions,Somewhat concerned,0.43371,794,1729,0.41035,0.45708
1999,2nd Quintile,Urban regions,Not concerned at all,0.29753,522,1729,0.27598,0.31909
1999,2nd Quintile,Rural regions,Very concerned,0.27608,290,1136,0.25007,0.30209
1999,2nd Quintile,Rural regions,Somewhat concerned,0.50396,566,1136,0.47487,0.53305
1999,2nd Quintile,Rural regions,Not concerned at all,0.21996,280,1136,0.19586,0.24406
1999,3rd Quintile,Urban regions,Very concerned,0.21376,354,1711,0.19433,0.23319
1999,3rd Quintile,Urban regions,Somewhat concerned,0.49389,824,1711,0.47020,0.51759
1999,3rd Quintile,Urban regions,Not concerned at all,0.29235,533,1711,0.27079,0.31391
1999,3rd Quintile,Rural regions,Very concerned,0.21734,236,1108,0.19305,0.24164
1999,3rd Quintile,Rural regions,Somewhat concerned,0.51159,573,1108,0.48214,0.54103
1999,3rd Quintile,Rural regions,Not concerned at all,0.27107,299,1108,0.24488,0.29726
1999,4th Quintile,Urban regions,Very concerned,0.15713,278,1869,0.14063,0.17363
1999,4th Quintile,Urban regions,Somewhat concerned,0.50707,915,1869,0.48440,0.52975
1999,4th Quintile,Urban regions,Not concerned at all,0.33579,676,1869,0.31438,0.35721
1999,4th Quintile,Rural regions,Very concerned,0.19259,148,889,0.16666,0.21853
1999,4th Quintile,Rural regions,Somewhat concerned,0.49494,463,889,0.46205,0.52782
1999,4th Quintile,Rural regions,Not concerned at all,0.31247,278,889,0.28198,0.34295
1999,5th Quintile,Urban regions,Very concerned,0.11692,218,1894,0.10245,0.13140
1999,5th Quintile,Urban regions,Somewhat concerned,0.52706,969,1894,0.50457,0.54955
1999,5th Quintile,Urban regions,Not concerned at all,0.35602,707,1894,0.33445,0.37759
1999,5th Quintile,Rural regions,Very concerned,0.12474,78,710,0.10042,0.14906
1999,5th Quintile,Rural regions,Somewhat concerned,0.53756,388,710,0.50086,0.57426
1999,5th Quintile,Rural regions,Not concerned at all,0.33770,244,710,0.30289,0.37251
2000,1st Quintile,Urban regions,Very concerned,0.25955,371,1593,0.23802,0.28109
2000,1st Quintile,Urban regions,Somewhat concerned,0.43319,704,1593,0.40885,0.45753
2000,1st Quintile,Urban regions,Not concerned at all,0.30726,518,1593,0.28460,0.32992
2000,1st Quintile,Rural regions,Very concerned,0.24505,229,968,0.21794,0.27216
2000,1st Quintile,Rural regions,Somewhat concerned,0.51577,486,968,0.48427,0.54727
