year,migback,sex,plh0035,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,No migration background,male,Very concerned,0.15942,798,5187,0.14946,0.16939
1999,No migration background,male,Somewhat concerned,0.49211,2568,5187,0.47850,0.50572
1999,No migration background,male,Not concerned at all,0.34847,1821,5187,0.33550,0.36144
1999,No migration background,female,Very concerned,0.22527,1118,5652,0.21438,0.23617
1999,No migration background,female,Somewhat concerned,0.50069,2901,5652,0.48766,0.51373
1999,No migration background,female,Not concerned at all,0.27403,1633,5652,0.26240,0.28566
1999,Direct migration background,male,Very concerned,0.26641,295,1104,0.24032,0.29250
1999,Direct migration background,male,Somewhat concerned,0.44145,478,1104,0.41215,0.47076
1999,Direct migration background,male,Not concerned at all,0.29214,331,1104,0.26531,0.31898
1999,Direct migration background,female,Very concerned,0.29024,345,1091,0.26330,0.31719
1999,Direct migration background,female,Somewhat concerned,0.49521,501,1091,0.46553,0.52490
1999,Direct migration background,female,Not concerned at all,0.21454,245,1091,0.19017,0.23891
1999,Indirect migration background,male,Very concerned,0.19984,55,303,0.15474,0.24494
1999,Indirect migration background,male,Somewhat concerned,0.28731,86,303,0.23628,0.33835
1999,Indirect migration background,male,Not concerned at all,0.51285,162,303,0.45648,0.56922
1999,Indirect migration background,female,Very concerned,0.14688,47,299,0.10669,0.18707
1999,Indirect migration background,female,Somewhat concerned,0.39026,110,299,0.33488,0.44565
1999,Indirect migration background,female,Not concerned at all,0.46286,142,299,0.40624,0.51947
2000,No migration background,male,Very concerned,0.15579,1446,9484,0.14849,0.16309
2000,No migration background,male,Somewhat concerned,0.48689,4610,9484,0.47683,0.49695
2000,No migration background,male,Not concerned at all,0.35732,3428,9484,0.34768,0.36697
2000,No migration background,female,Very concerned,0.20625,1956,10365,0.19846,0.21404
2000,No migration background,female,Somewhat concerned,0.49109,5133,10365,0.48146,0.50071
2000,No migration background,female,Not concerned at all,0.30267,3276,10365,0.29382,0.31151
2000,Direct migration background,male,Very concerned,0.19943,330,1610,0.17990,0.21895
2000,Direct migration background,male,Somewhat concerned,0.44952,729,1610,0.42522,0.47383
2000,Direct migration background,male,Not concerned at all,0.35105,551,1610,0.32773,0.37437
2000,Direct migration background,female,Very concerned,0.25048,409,1661,0.22964,0.27132
