year,plh0035,age_gr,sex,proportion,n,lower_confidence,upper_confidence
1999,Very concerned,46-65 y.,female,0.21921463972550514,17396,0.21306666632599336,0.22536261312501693
1999,Very concerned,46-65 y.,male,0.1864277544796035,17396,0.1806403382429036,0.1922151707163034
1999,Very concerned,66 and older,female,0.16965306900495616,17396,0.16407553759794322,0.1752306004119691
1999,Very concerned,30-45 y.,female,0.11056042699199391,17396,0.10590038908338119,0.11522046490060663
1999,Very concerned,30-45 y.,male,0.09759817003431186,17396,0.09318803189755552,0.1020083081710682
1999,Very concerned,66 and older,male,0.09607319862752574,17396,0.09169395477845078,0.10045244247660069
1999,Very concerned,18-29 y.,female,0.06862371330537552,17396,0.06486680091766509,0.07238062569308595
1999,Very concerned,18-29 y.,male,0.05184902783072817,17396,0.048554141564540014,0.05514391409691633
1999,Somewhat concerned,30-45 y.,female,0.18485354378509639,17396,0.17908504129221306,0.1906220462779797
1999,Somewhat concerned,46-65 y.,female,0.17756867506450144,17396,0.17188977311025186,0.18324757701875102
1999,Somewhat concerned,30-45 y.,male,0.17119441493398088,17396,0.1655968066657178,0.17679202320224396
1999,Somewhat concerned,46-65 y.,male,0.16846258916375778,17396,0.1629006785634981,0.17402449976401746
1999,Somewhat concerned,18-29 y.,female,0.09075732281074518,17396,0.08648846080524855,0.09502618481624181
1999,Somewhat concerned,66 and older,female,0.07558051297617241,17396,0.07165251879789489,0.07950850715444993
1999,Somewhat concerned,18-29 y.,male,0.07026862953407194,17396,0.06647031560575901,0.07406694346238486
1999,Somewhat concerned,66 and older,male,0.061314311731674,17396,0.05774920612775268,0.06487941733559532
1999,Not concerned at all,30-45 y.,male,0.2239657631954351,17396,0.21777045907943368,0.2301610673114365
1999,Not concerned at all,30-45 y.,female,0.20708511650023775,17396,0.20106341670965994,0.21310681629081557
1999,Not concerned at all,18-29 y.,male,0.17498811222063718,17396,0.16934178883612364,0.18063443560515072
1999,Not concerned at all,18-29 y.,female,0.15097479790775084,17396,0.14565440272883062,0.15629519308667106
1999,Not concerned at all,46-65 y.,male,0.11269614835948645,17396,0.10799696823954115,0.11739532847943175
1999,Not concerned at all,46-65 y.,female,0.08464098906324298,17396,0.08050463727749642,0.08877734084898954
1999,Not concerned at all,66 and older,female,0.023537803138373753,17396,0.021284902426574916,0.02579070385017259
1999,Not concerned at all,66 and older,male,0.02211126961483595,17396,0.01992611117201592,0.02429642805765598
