year,migback,regtyp,plj0589,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2013,No migration background,Urban regions,Very often,0.005074722261734041,132,25373,0.005056828040221439,0.005092616483246643
2013,No migration background,Urban regions,Often,0.021215184400296613,426,25373,0.021178895111692464,0.021251473688900763
2013,No migration background,Urban regions,Sometimes,0.05388410165897277,1169,25373,0.05382724073257917,0.05394096258536637
2013,No migration background,Urban regions,Seldom,0.1531904140317383,3429,25373,0.15309971135259864,0.15328111671087796
2013,No migration background,Urban regions,Never,0.3346001511212807,8009,25373,0.3344813239242567,0.3347189783183047
2013,No migration background,Rural regions,Very often,0.004245072722896341,102,25373,0.004228699648438117,0.004261445797354564
2013,No migration background,Rural regions,Often,0.013175385813670564,310,25373,0.013146670531055263,0.013204101096285866
2013,No migration background,Rural regions,Sometimes,0.03211955830901894,841,25373,0.03207515584441817,0.032163960773619715
2013,No migration background,Rural regions,Seldom,0.09584983307985577,2432,25373,0.09577569737836242,0.09592396878134912
2013,No migration background,Rural regions,Never,0.17088645341370554,4712,25373,0.17079166128825635,0.17098124553915472
2013,Direct migration background,Urban regions,Often,0.003203722272970798,104,25373,0.0031894910549669572,0.0032179534909746385
2013,Direct migration background,Urban regions,Sometimes,0.010221234232176423,303,25373,0.010195904408064924,0.010246564056287922
2013,Direct migration background,Urban regions,Seldom,0.01992961221638405,596,25373,0.019894416525444342,0.019964807907323755
2013,Direct migration background,Urban regions,Never,0.03398915390960391,1027,25373,0.033943521582635555,0.03403478623657226
2013,Direct migration background,Rural regions,Often,0.0015285910999535462,34,25373,0.0015187526899451324,0.00153842950996196
2013,Direct migration background,Rural regions,Sometimes,0.0029530644889639943,109,25373,0.0029393996126661427,0.002966729365261846
2013,Direct migration background,Rural regions,Seldom,0.004954403487824966,188,25373,0.004936721600657427,0.004972085374992504
2013,Direct migration background,Rural regions,Never,0.010060157660153038,342,25373,0.010035026170446066,0.01008528914986001
2013,Indirect migration background,Urban regions,Often,0.0009149172138856317,37,25373,0.0009073033769005055,0.0009225310508707578
2013,Indirect migration background,Urban regions,Sometimes,0.002174346844753948,97,25373,0.002162616705137952,0.002186076984369944
2013,Indirect migration background,Urban regions,Seldom,0.0066085130812657215,236,25373,0.006588108695231755,0.006628917467299688
2013,Indirect migration background,Urban regions,Never,0.013312223276366117,531,25373,0.013283361264022351,0.013341085288709883
2013,Indirect migration background,Rural regions,Sometimes,0.001185717658618438,35,25373,0.001177051144411831,0.001194384172825045
2013,Indirect migration background,Rural regions,Seldom,0.0014327661633562081,56,25373,0.001423240664012706,0.0014422916626997103
2013,Indirect migration background,Rural regions,Never,0.0032906995805536098,116,25373,0.0032762771050240656,0.003305122056083154
2016,Direct migration background,Urban regions,Very often,0.047055957577760286,116,2857,0.04630729339742169,0.04780462175809888
2016,Direct migration background,Urban regions,Often,0.09146309561103334,221,2857,0.09044394051131611,0.09248225071075057
2016,Direct migration background,Urban regions,Sometimes,0.16519586668448838,447,2857,0.16388294769089706,0.1665087856780797
2016,Direct migration background,Urban regions,Seldom,0.12997391038504894,362,2857,0.12878502420663784,0.13116279656346003
2016,Direct migration background,Urban regions,Never,0.2777719500067482,875,2857,0.2761884159172587,0.2793554840962377
2016,Direct migration background,Rural regions,Very often,0.020536363751131156,55,2857,0.020034943373066372,0.02103778412919594
2016,Direct migration background,Rural regions,Often,0.048245777291831334,128,2857,0.0474881805338644,0.049003374049798265
