"plj0589","year","bildungsniveau","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr oft","2013","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","12","","",""
"Sehr oft","2013","(noch) kein Abschluss","2","2","","",""
"Sehr oft","2013","(noch) kein Abschluss","3","2","","",""
"Sehr oft","2013","(noch) kein Abschluss","4","","","",""
"Sehr oft","2013","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","","","",""
"Sehr oft","2013","Hauptschule","1 Einkommensschwächstes Quintil","66","0.0356804814125257","0.0264992508605894","0.044861711964462"
"Sehr oft","2013","Hauptschule","2","39","0.0210859883781488","0.0148712497241916","0.0273007270321061"
"Sehr oft","2013","Hauptschule","3","16","","",""
"Sehr oft","2013","Hauptschule","4","10","","",""
"Sehr oft","2013","Hauptschule","5 Einkommensstärkstes Quintil","3","","",""
"Sehr oft","2013","Realschule","1 Einkommensschwächstes Quintil","35","0.0331695789105131","0.0220592234729359","0.0442799343480902"
"Sehr oft","2013","Realschule","2","21","","",""
"Sehr oft","2013","Realschule","3","10","","",""
"Sehr oft","2013","Realschule","4","10","","",""
"Sehr oft","2013","Realschule","5 Einkommensstärkstes Quintil","4","","",""
"Sehr oft","2013","(Fach-)Abitur","1 Einkommensschwächstes Quintil","6","","",""
"Sehr oft","2013","(Fach-)Abitur","2","9","","",""
"Sehr oft","2013","(Fach-)Abitur","3","4","","",""
"Sehr oft","2013","(Fach-)Abitur","4","1","","",""
"Sehr oft","2013","(Fach-)Abitur","5 Einkommensstärkstes Quintil","1","","",""
"Sehr oft","2013","AkademikerIn","1 Einkommensschwächstes Quintil","10","","",""
"Sehr oft","2013","AkademikerIn","2","7","","",""
"Sehr oft","2013","AkademikerIn","3","1","","",""
"Sehr oft","2013","AkademikerIn","4","8","","",""
"Sehr oft","2013","AkademikerIn","5 Einkommensstärkstes Quintil","4","","",""
"Oft","2013","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","37","0.162892083069033","0.118263722836814","0.207520443301252"
"Oft","2013","(noch) kein Abschluss","2","12","","",""
"Oft","2013","(noch) kein Abschluss","3","4","","",""
"Oft","2013","(noch) kein Abschluss","4","4","","",""
"Oft","2013","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","3","","",""
"Oft","2013","Hauptschule","1 Einkommensschwächstes Quintil","136","0.0886961461030855","0.0746240419691744","0.102768250236997"
"Oft","2013","Hauptschule","2","95","0.0506438550017051","0.0411589807474713","0.0601287292559389"
"Oft","2013","Hauptschule","3","59","0.0401539046404466","0.0308598039094221","0.0494480053714712"
"Oft","2013","Hauptschule","4","28","","",""
"Oft","2013","Hauptschule","5 Einkommensstärkstes Quintil","18","","",""
"Oft","2013","Realschule","1 Einkommensschwächstes Quintil","94","0.100740045830903","0.082066511718706","0.119413579943101"
"Oft","2013","Realschule","2","71","0.0608043720410391","0.0488457580908951","0.0727629859911831"
"Oft","2013","Realschule","3","42","0.0283931074906382","0.019984984971616","0.0368012300096604"
"Oft","2013","Realschule","4","49","0.0326962764474074","0.0244019080745487","0.0409906448202661"
"Oft","2013","Realschule","5 Einkommensstärkstes Quintil","16","","",""
"Oft","2013","(Fach-)Abitur","1 Einkommensschwächstes Quintil","35","0.0771658509677345","0.052753132000016","0.101578569935453"
"Oft","2013","(Fach-)Abitur","2","17","","",""
"Oft","2013","(Fach-)Abitur","3","15","","",""
"Oft","2013","(Fach-)Abitur","4","22","","",""
"Oft","2013","(Fach-)Abitur","5 Einkommensstärkstes Quintil","13","","",""
"Oft","2013","AkademikerIn","1 Einkommensschwächstes Quintil","19","","",""
"Oft","2013","AkademikerIn","2","23","","",""
"Oft","2013","AkademikerIn","3","18","","",""
"Oft","2013","AkademikerIn","4","26","","",""
"Oft","2013","AkademikerIn","5 Einkommensstärkstes Quintil","32","0.0154589064485743","0.0110070270434566","0.019910785853692"
"Manchmal","2013","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","51","0.187971816578392","0.140754409164595","0.23518922399219"
"Manchmal","2013","(noch) kein Abschluss","2","21","","",""
"Manchmal","2013","(noch) kein Abschluss","3","9","","",""
"Manchmal","2013","(noch) kein Abschluss","4","9","","",""
"Manchmal","2013","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","10","","",""
"Manchmal","2013","Hauptschule","1 Einkommensschwächstes Quintil","282","0.188887944131726","0.169514019318511","0.208261868944942"
"Manchmal","2013","Hauptschule","2","276","0.124977635107995","0.110672915671207","0.139282354544783"
"Manchmal","2013","Hauptschule","3","166","0.0953976397219802","0.081490418744592","0.109304860699368"
"Manchmal","2013","Hauptschule","4","129","0.0843708515876708","0.0704438252541295","0.0982978779212121"
"Manchmal","2013","Hauptschule","5 Einkommensstärkstes Quintil","56","0.0612777119389784","0.0451161718223467","0.07743925205561"
"Manchmal","2013","Realschule","1 Einkommensschwächstes Quintil","184","0.212970958192981","0.187570684749455","0.238371231636507"
"Manchmal","2013","Realschule","2","190","0.123753077908083","0.107274236710754","0.140231919105412"
"Manchmal","2013","Realschule","3","139","0.0985806822641572","0.0834900785386891","0.113671285989625"
"Manchmal","2013","Realschule","4","145","0.0823372462718893","0.0695171152739871","0.0951573772697915"
"Manchmal","2013","Realschule","5 Einkommensstärkstes Quintil","87","0.0640136005855293","0.0511594486261631","0.0768677525448955"
