year,plj0589,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2013,Very often,0.01097229130715435,286,25431,0.010946080628290488,0.01099850198601821
2013,Often,0.04007393308134639,917,25431,0.04002458443410465,0.040123281728588124
2013,Sometimes,0.1023558846322006,2554,25431,0.10227961812147329,0.10243215114292792
2013,Seldom,0.28146468592640556,6937,25431,0.28135153414626163,0.2815778377065495
2013,Never,0.5651332050528931,14737,25431,0.5650084727582806,0.5652579373475056
2019,Sometimes,0.1914469066719685,54,229,0.18767270133208366,0.19522111201185335
2019,Seldom,0.24108891087353848,50,229,0.23698563096837533,0.24519219077870164
2019,Never,0.5674641824544929,125,229,0.5627116253696155,0.5722167395393704
2020,Very often,0.03818149545032432,34,974,0.03732655189632277,0.03903643900432587
2020,Often,0.1021739319655258,93,974,0.10082269794945932,0.10352516598159227
2020,Sometimes,0.25014579437625395,241,974,0.24821360615845162,0.2520779825940563
2020,Seldom,0.21852732551355994,254,974,0.2166836937385204,0.22037095728859948
2020,Never,0.39097145269433603,352,974,0.38879446607398443,0.3931484393146876
2021,Very often,0.017529815916441,486,19499,0.017498892584697147,0.017560739248184853
2021,Often,0.056621378147223345,1253,19499,0.05656691896128224,0.05667583733316445
2021,Sometimes,0.12079929093394817,2459,19499,0.12072249926268376,0.12087608260521258
2021,Seldom,0.3075759522387525,5366,19499,0.30746720952373824,0.30768469495376677
2021,Never,0.497473562763635,9935,19499,0.4973557472794789,0.49759137824779115
