"plj0589","year","bildungsniveau","migback","n","percent","lower_confidence","upper_confidence"
"Sehr oft","2013","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Sehr oft","2013","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Sehr oft","2013","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Sehr oft","2013","Hauptschule","kein Migrationshintergrund","115","0.0164634293389768","0.0133336289743777","0.0195932297035758"
"Sehr oft","2013","Hauptschule","direkter Migrationshintergrund","","","",""
"Sehr oft","2013","Hauptschule","indirekter Migrationshintergrund","","","",""
"Sehr oft","2013","Realschule","kein Migrationshintergrund","73","0.0099764340028314","0.00758727152863437","0.0123655964770284"
"Sehr oft","2013","Realschule","direkter Migrationshintergrund","","","",""
"Sehr oft","2013","Realschule","indirekter Migrationshintergrund","","","",""
"Sehr oft","2013","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Sehr oft","2013","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Sehr oft","2013","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Sehr oft","2013","AkademikerIn","kein Migrationshintergrund","","","",""
"Sehr oft","2013","AkademikerIn","direkter Migrationshintergrund","","","",""
"Sehr oft","2013","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Oft","2013","(noch) kein Abschluss","kein Migrationshintergrund","31","0.0702875951926508","0.0484000980351549","0.0921750923501467"
"Oft","2013","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Oft","2013","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Oft","2013","Hauptschule","kein Migrationshintergrund","280","0.0463410954908175","0.0411704958631463","0.0515116951184886"
"Oft","2013","Hauptschule","direkter Migrationshintergrund","45","0.0452042267159047","0.0327035027575988","0.0577049506742105"
"Oft","2013","Hauptschule","indirekter Migrationshintergrund","","","",""
"Oft","2013","Realschule","kein Migrationshintergrund","246","0.0400228235336304","0.0353106685337665","0.0447349785334942"
"Oft","2013","Realschule","direkter Migrationshintergrund","","","",""
"Oft","2013","Realschule","indirekter Migrationshintergrund","","","",""
"Oft","2013","(Fach-)Abitur","kein Migrationshintergrund","72","0.0310907165554341","0.0243155715847569","0.0378658615261113"
"Oft","2013","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Oft","2013","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Oft","2013","AkademikerIn","kein Migrationshintergrund","86","0.0255483711465798","0.0212069230742433","0.0298898192189163"
"Oft","2013","AkademikerIn","direkter Migrationshintergrund","","","",""
"Oft","2013","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Manchmal","2013","(noch) kein Abschluss","kein Migrationshintergrund","52","0.111671265423171","0.0847038067763608","0.138638724069982"
"Manchmal","2013","(noch) kein Abschluss","direkter Migrationshintergrund","39","0.216909794873302","0.154213839482489","0.279605750264114"
"Manchmal","2013","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Manchmal","2013","Hauptschule","kein Migrationshintergrund","694","0.105281932522052","0.0977330745206069","0.112830790523496"
"Manchmal","2013","Hauptschule","direkter Migrationshintergrund","161","0.162250206339769","0.140066189168513","0.184434223511024"
"Manchmal","2013","Hauptschule","indirekter Migrationshintergrund","54","0.1513873383936","0.110828361242245","0.191946315544955"
"Manchmal","2013","Realschule","kein Migrationshintergrund","677","0.103116721363823","0.0958058732182864","0.110427569509361"
"Manchmal","2013","Realschule","direkter Migrationshintergrund","33","0.185113831682802","0.136381062969439","0.233846600396165"
"Manchmal","2013","Realschule","indirekter Migrationshintergrund","35","0.12255838745948","0.0853883388200182","0.159728436098941"
"Manchmal","2013","(Fach-)Abitur","kein Migrationshintergrund","209","0.0931956144613099","0.0818476958548507","0.104543533067769"
"Manchmal","2013","(Fach-)Abitur","direkter Migrationshintergrund","86","0.111377397259138","0.0850374426639941","0.137717351854282"
"Manchmal","2013","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Manchmal","2013","AkademikerIn","kein Migrationshintergrund","322","0.0735906757615216","0.0664063550067298","0.0807749965163134"
"Manchmal","2013","AkademikerIn","direkter Migrationshintergrund","72","0.112401219986931","0.0862406056549306","0.138561834318931"
"Manchmal","2013","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Selten","2013","(noch) kein Abschluss","kein Migrationshintergrund","151","0.287650286224641","0.248892275384761","0.32640829706452"
"Selten","2013","(noch) kein Abschluss","direkter Migrationshintergrund","47","0.314154479327272","0.243542427956316","0.384766530698228"
"Selten","2013","(noch) kein Abschluss","indirekter Migrationshintergrund","32","0.23925161392442","0.159885601709586","0.318617626139255"
"Selten","2013","Hauptschule","kein Migrationshintergrund","1738","0.279774220516033","0.268733449399458","0.290814991632608"
"Selten","2013","Hauptschule","direkter Migrationshintergrund","323","0.261153908767399","0.234722783418582","0.287585034116216"
"Selten","2013","Hauptschule","indirekter Migrationshintergrund","79","0.315138615334504","0.262568417100414","0.367708813568594"
"Selten","2013","Realschule","kein Migrationshintergrund","1868","0.298350561021934","0.287351419950662","0.309349702093207"
"Selten","2013","Realschule","direkter Migrationshintergrund","59","0.242013048256415","0.188272334085664","0.295753762427166"
"Selten","2013","Realschule","indirekter Migrationshintergrund","65","0.254797312146896","0.205406391173855","0.304188233119937"
"Selten","2013","(Fach-)Abitur","kein Migrationshintergrund","683","0.271232064483025","0.253876976844259","0.28858715212179"
