"plj0589","year","regtyp","sex","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Sehr oft","2013","Staedtischer Raum","maennlich","59","0.00966026740731499","0.00740740072054174","0.0119131340940882"
"Sehr oft","2013","Staedtischer Raum","weiblich","112","0.0103693350064515","0.00826120055351027","0.0124774694593927"
"Sehr oft","2013","Laendlicher Raum","maennlich","36","0.0107558773859614","0.00766050911768191","0.0138512456542409"
"Sehr oft","2013","Laendlicher Raum","weiblich","79","0.0158353842962091","0.0123936396210547","0.0192771289713635"
"Oft","2013","Staedtischer Raum","maennlich","214","0.0320201431839663","0.0279651174743683","0.0360751688935643"
"Oft","2013","Staedtischer Raum","weiblich","353","0.0445306813927291","0.0402380428140928","0.0488233199713655"
"Oft","2013","Laendlicher Raum","maennlich","129","0.0354956104065652","0.0299432570881145","0.0410479637250159"
"Oft","2013","Laendlicher Raum","weiblich","221","0.0500368701326831","0.0440261166714214","0.0560476235939448"
"Manchmal","2013","Staedtischer Raum","maennlich","605","0.0930783017937775","0.0863862708713964","0.0997703327161586"
"Manchmal","2013","Staedtischer Raum","weiblich","958","0.107648371674279","0.101198396785994","0.114098346562564"
"Manchmal","2013","Laendlicher Raum","maennlich","432","0.102588891150312","0.0934838155959514","0.111693966704672"
"Manchmal","2013","Laendlicher Raum","weiblich","559","0.108460197203644","0.0998871338006518","0.117033260606636"
"Selten","2013","Staedtischer Raum","maennlich","2019","0.284293807541287","0.273904181771538","0.294683433311036"
"Selten","2013","Staedtischer Raum","weiblich","2238","0.261253641385","0.252111137913681","0.270396144856319"
"Selten","2013","Laendlicher Raum","maennlich","1311","0.322068754134302","0.308046921222924","0.336090587045679"
"Selten","2013","Laendlicher Raum","weiblich","1369","0.276892993516588","0.264556613467637","0.289229373565539"
"Nie","2013","Staedtischer Raum","maennlich","4344","0.580947480073655","0.569582950014321","0.592312010132988"
"Nie","2013","Staedtischer Raum","weiblich","5209","0.576197970541541","0.56591416965529","0.586481771427792"
"Nie","2013","Laendlicher Raum","maennlich","2358","0.52909086692286","0.514112262389433","0.544069471456287"
"Nie","2013","Laendlicher Raum","weiblich","2826","0.548774554850875","0.535055498299015","0.562493611402736"
"Sehr oft","2014","Staedtischer Raum","maennlich","","","",""
"Sehr oft","2014","Staedtischer Raum","weiblich","","","",""
"Sehr oft","2014","Laendlicher Raum","maennlich","","","",""
"Sehr oft","2014","Laendlicher Raum","weiblich","","","",""
"Oft","2014","Staedtischer Raum","maennlich","","","",""
"Oft","2014","Staedtischer Raum","weiblich","","","",""
"Oft","2014","Laendlicher Raum","maennlich","","","",""
