year,migback,plj0589,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2013,No migration background,Very often,0.01054,234,25419,0.01051,0.01057
2013,No migration background,Often,0.03889,736,25419,0.03884,0.03894
2013,No migration background,Sometimes,0.09726,2010,25419,0.09718,0.09734
2013,No migration background,Seldom,0.28164,5861,25419,0.28152,0.28176
2013,No migration background,Never,0.57166,12721,25419,0.57153,0.57179
2013,Direct migration background,Very often,0.01586,40,25419,0.01575,0.01596
2013,Direct migration background,Often,0.05363,138,25419,0.05344,0.05382
2013,Direct migration background,Sometimes,0.14930,412,25419,0.14900,0.14960
2013,Direct migration background,Seldom,0.28201,784,25419,0.28162,0.28239
2013,Direct migration background,Never,0.49920,1369,25419,0.49878,0.49963
2013,Indirect migration background,Often,0.03522,43,25419,0.03495,0.03549
2013,Indirect migration background,Sometimes,0.11576,132,25419,0.11529,0.11623
2013,Indirect migration background,Seldom,0.27703,292,25419,0.27637,0.27769
2013,Indirect migration background,Never,0.57199,647,25419,0.57126,0.57272
2019,Direct migration background,Sometimes,0.19145,54,229,0.18767,0.19522
2019,Direct migration background,Seldom,0.24109,50,229,0.23699,0.24519
2019,Direct migration background,Never,0.56746,125,229,0.56271,0.57222
2020,Direct migration background,Very often,0.03818,34,974,0.03733,0.03904
2020,Direct migration background,Often,0.10217,93,974,0.10082,0.10353
2020,Direct migration background,Sometimes,0.25015,241,974,0.24821,0.25208
2020,Direct migration background,Seldom,0.21853,254,974,0.21668,0.22037
2020,Direct migration background,Never,0.39097,352,974,0.38879,0.39315
2021,No migration background,Very often,0.01496,191,19478,0.01493,0.01499
2021,No migration background,Often,0.05067,674,19478,0.05062,0.05073
2021,No migration background,Sometimes,0.10720,1281,19478,0.10711,0.10728
2021,No migration background,Seldom,0.31247,3890,19478,0.31235,0.31259
2021,No migration background,Never,0.51470,7173,19478,0.51457,0.51483
2021,Direct migration background,Very often,0.02523,274,19478,0.02514,0.02533
2021,Direct migration background,Often,0.08322,515,19478,0.08305,0.08338
2021,Direct migration background,Sometimes,0.18154,1042,19478,0.18131,0.18177
2021,Direct migration background,Seldom,0.28473,1189,19478,0.28446,0.28500
2021,Direct migration background,Never,0.42528,2335,19478,0.42498,0.42558
2021,Indirect migration background,Often,0.07060,64,19478,0.07034,0.07087
2021,Indirect migration background,Sometimes,0.15273,136,19478,0.15236,0.15310
2021,Indirect migration background,Seldom,0.31119,287,19478,0.31071,0.31167
2021,Indirect migration background,Never,0.46548,427,19478,0.46496,0.46599
