"plj0589","year","age_gr","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr oft","2013","17-34","kein Migrationshintergrund","46","0.00725793479089033","0.00473632140833487","0.00977954817344578"
"Sehr oft","2013","17-34","direkter Migrationshintergrund","6","0.00332407708478419","-0.0012776767375535","0.00792583090712189"
"Sehr oft","2013","17-34","indirekter Migrationshintergrund","9","0.0105984927919745","0.00275033809297189","0.0184466474909772"
"Sehr oft","2013","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2013","35-65","kein Migrationshintergrund","153","","",""
"Sehr oft","2013","35-65","direkter Migrationshintergrund","26","","",""
"Sehr oft","2013","35-65","indirekter Migrationshintergrund","5","0.00740660184565143","5.11724645870428e-05","0.0147620312267158"
"Sehr oft","2013","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2013","66 +","kein Migrationshintergrund","36","0.0084431905155512","0.0057839969074395","0.0111023841236629"
"Sehr oft","2013","66 +","direkter Migrationshintergrund","5","0.0158726060613177","0.00312041863283521","0.0286247934898002"
"Sehr oft","2013","66 +","indirekter Migrationshintergrund","","","",""
"Sehr oft","2013","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2013","17-34","kein Migrationshintergrund","154","","",""
"Oft","2013","17-34","direkter Migrationshintergrund","23","","",""
"Oft","2013","17-34","indirekter Migrationshintergrund","26","","",""
"Oft","2013","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2013","35-65","kein Migrationshintergrund","450","0.039761526852652","0.0363637181349408","0.0431593355703632"
"Oft","2013","35-65","direkter Migrationshintergrund","85","0.0515379836004093","0.0409531321623651","0.0621228350384535"
"Oft","2013","35-65","indirekter Migrationshintergrund","20","","",""
"Oft","2013","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2013","66 +","kein Migrationshintergrund","132","","",""
"Oft","2013","66 +","direkter Migrationshintergrund","27","","",""
"Oft","2013","66 +","indirekter Migrationshintergrund","","","",""
"Oft","2013","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2013","17-34","kein Migrationshintergrund","461","0.0996030792234496","0.0907068259137731","0.108499332533126"
"Manchmal","2013","17-34","direkter Migrationshintergrund","100","","",""
"Manchmal","2013","17-34","indirekter Migrationshintergrund","81","0.130102552638883","0.104319392033453","0.155885713244313"
"Manchmal","2013","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2013","35-65","kein Migrationshintergrund","1181","","",""
"Manchmal","2013","35-65","direkter Migrationshintergrund","246","","",""
"Manchmal","2013","35-65","indirekter Migrationshintergrund","59","0.109778834552216","0.082961160666612","0.13659650843782"
"Manchmal","2013","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
