year,migback,quintil_oecd,plj0589,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,No migration background,1st Quintile,Very often,0.02314,116,3818,0.01837,0.02791
2013,No migration background,1st Quintile,Often,0.07368,309,3818,0.06539,0.08197
2013,No migration background,1st Quintile,Sometimes,0.13174,607,3818,0.12101,0.14247
2013,No migration background,1st Quintile,Seldom,0.21978,1058,3818,0.20664,0.23291
2013,No migration background,1st Quintile,Never,0.36653,1728,3818,0.35124,0.38181
2013,No migration background,2nd Quintile,Very often,0.00907,46,4223,0.00621,0.01193
2013,No migration background,2nd Quintile,Often,0.03528,156,4223,0.02971,0.04084
2013,No migration background,2nd Quintile,Sometimes,0.09103,448,4223,0.08236,0.09971
2013,No migration background,2nd Quintile,Seldom,0.23806,1188,4223,0.22522,0.25091
2013,No migration background,2nd Quintile,Never,0.46166,2385,4223,0.44662,0.47670
2013,No migration background,3rd Quintile,Very often,0.00865,32,4196,0.00584,0.01145
2013,No migration background,3rd Quintile,Often,0.02872,119,4196,0.02366,0.03377
2013,No migration background,3rd Quintile,Sometimes,0.08256,365,4196,0.07423,0.09089
2013,No migration background,3rd Quintile,Seldom,0.24718,1175,4196,0.23413,0.26024
2013,No migration background,3rd Quintile,Never,0.47931,2505,4196,0.46419,0.49443
2013,No migration background,4th Quintile,Often,0.02400,91,4302,0.01943,0.02858
2013,No migration background,4th Quintile,Sometimes,0.06054,288,4302,0.05342,0.06767
2013,No migration background,4th Quintile,Seldom,0.24933,1184,4302,0.23640,0.26226
2013,No migration background,4th Quintile,Never,0.52903,2739,4302,0.51411,0.54395
2013,No migration background,5th Quintile,Often,0.01345,59,4941,0.01023,0.01666
2013,No migration background,5th Quintile,Sometimes,0.06279,300,4941,0.05603,0.06956
2013,No migration background,5th Quintile,Seldom,0.24369,1247,4941,0.23172,0.25566
2013,No migration background,5th Quintile,Never,0.57235,3335,4941,0.55855,0.58614
2013,Direct migration background,1st Quintile,Often,0.08081,76,942,0.06340,0.09823
2013,Direct migration background,1st Quintile,Sometimes,0.20734,205,942,0.18144,0.23324
2013,Direct migration background,1st Quintile,Seldom,0.22387,276,942,0.19724,0.25051
2013,Direct migration background,1st Quintile,Never,0.38808,385,942,0.35694,0.41921
2013,Direct migration background,2nd Quintile,Sometimes,0.14289,97,677,0.11651,0.16927
2013,Direct migration background,2nd Quintile,Seldom,0.28674,215,677,0.25265,0.32083
2013,Direct migration background,2nd Quintile,Never,0.46893,365,677,0.43131,0.50655
2013,Direct migration background,3rd Quintile,Sometimes,0.13962,60,440,0.10720,0.17204
2013,Direct migration background,3rd Quintile,Seldom,0.27459,128,440,0.23284,0.31634
2013,Direct migration background,3rd Quintile,Never,0.49847,252,440,0.45170,0.54524
2013,Direct migration background,4th Quintile,Sometimes,0.08940,33,318,0.05799,0.12081
2013,Direct migration background,4th Quintile,Seldom,0.25206,86,318,0.20426,0.29986
2013,Direct migration background,4th Quintile,Never,0.61489,199,318,0.56132,0.66846
2013,Direct migration background,5th Quintile,Seldom,0.34515,90,294,0.29071,0.39959
2013,Direct migration background,5th Quintile,Never,0.53500,204,294,0.47789,0.59212
2013,Indirect migration background,1st Quintile,Sometimes,0.07683,50,280,0.04558,0.10808
2013,Indirect migration background,1st Quintile,Seldom,0.10561,96,280,0.06954,0.14167
2013,Indirect migration background,1st Quintile,Never,0.17111,134,280,0.12692,0.21530
2013,Indirect migration background,2nd Quintile,Seldom,0.09327,57,210,0.05384,0.13269
2013,Indirect migration background,2nd Quintile,Never,0.20333,153,210,0.14877,0.25790
2013,Indirect migration background,3rd Quintile,Seldom,0.16707,60,173,0.11132,0.22282
2013,Indirect migration background,3rd Quintile,Never,0.29573,113,173,0.22753,0.36394
2013,Indirect migration background,4th Quintile,Seldom,0.10285,33,147,0.05357,0.15212
2013,Indirect migration background,4th Quintile,Never,0.37595,114,147,0.29738,0.45452
2013,Indirect migration background,5th Quintile,Seldom,0.19591,43,167,0.13553,0.25628
2013,Indirect migration background,5th Quintile,Never,0.38574,124,167,0.31169,0.45979
2021,No migration background,1st Quintile,Very often,0.02706,63,1961,0.01988,0.03424
2021,No migration background,1st Quintile,Often,0.07850,199,1961,0.06659,0.09040
2021,No migration background,1st Quintile,Sometimes,0.12245,290,1961,0.10794,0.13696
2021,No migration background,1st Quintile,Seldom,0.26524,606,1961,0.24570,0.28479
2021,No migration background,1st Quintile,Never,0.36870,803,1961,0.34734,0.39006
2021,No migration background,2nd Quintile,Very often,0.02083,52,2401,0.01512,0.02655
2021,No migration background,2nd Quintile,Often,0.05112,158,2401,0.04231,0.05993
2021,No migration background,2nd Quintile,Sometimes,0.09671,256,2401,0.08489,0.10854
2021,No migration background,2nd Quintile,Seldom,0.29222,780,2401,0.27403,0.31042
2021,No migration background,2nd Quintile,Never,0.37414,1155,2401,0.35478,0.39350
2021,No migration background,3rd Quintile,Often,0.04128,129,2436,0.03338,0.04918
2021,No migration background,3rd Quintile,Sometimes,0.08944,251,2436,0.07811,0.10078
2021,No migration background,3rd Quintile,Seldom,0.26798,753,2436,0.25038,0.28557
2021,No migration background,3rd Quintile,Never,0.41988,1303,2436,0.40028,0.43949
2021,No migration background,4th Quintile,Often,0.03508,88,2628,0.02804,0.04211
2021,No migration background,4th Quintile,Sometimes,0.09056,244,2628,0.07959,0.10154
2021,No migration background,4th Quintile,Seldom,0.26307,781,2628,0.24623,0.27990
2021,No migration background,4th Quintile,Never,0.46762,1515,2628,0.44854,0.48670
2021,No migration background,5th Quintile,Often,0.02430,99,3638,0.01929,0.02930
2021,No migration background,5th Quintile,Sometimes,0.06917,231,3638,0.06092,0.07741
2021,No migration background,5th Quintile,Seldom,0.25110,950,3638,0.23700,0.26519
2021,No migration background,5th Quintile,Never,0.54172,2358,3638,0.52553,0.55791
2021,Direct migration background,1st Quintile,Very often,0.03465,155,2579,0.02759,0.04171
2021,Direct migration background,1st Quintile,Often,0.09222,275,2579,0.08105,0.10339
2021,Direct migration background,1st Quintile,Sometimes,0.20146,545,2579,0.18598,0.21695
2021,Direct migration background,1st Quintile,Seldom,0.21550,486,2579,0.19963,0.23138
2021,Direct migration background,1st Quintile,Never,0.35033,1118,2579,0.33191,0.36874
2021,Direct migration background,2nd Quintile,Very often,0.02533,48,935,0.01525,0.03540
2021,Direct migration background,2nd Quintile,Often,0.09167,91,935,0.07316,0.11018
2021,Direct migration background,2nd Quintile,Sometimes,0.13942,171,935,0.11721,0.16164
2021,Direct migration background,2nd Quintile,Seldom,0.30914,233,935,0.27950,0.33878
2021,Direct migration background,2nd Quintile,Never,0.36719,392,935,0.33627,0.39810
2021,Direct migration background,3rd Quintile,Often,0.08868,44,517,0.06415,0.11321
2021,Direct migration background,3rd Quintile,Sometimes,0.12126,95,517,0.09310,0.14943
2021,Direct migration background,3rd Quintile,Seldom,0.30240,165,517,0.26277,0.34203
2021,Direct migration background,3rd Quintile,Never,0.45629,213,517,0.41331,0.49927
2021,Direct migration background,4th Quintile,Sometimes,0.15691,56,369,0.11975,0.19407
