"plj0589","year","bildungsniveau","bula_h","n","percent","lower_confidence","upper_confidence"
"Sehr oft","2013","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"Sehr oft","2013","(noch) kein Abschluss","Hamburg","","","",""
"Sehr oft","2013","(noch) kein Abschluss","Niedersachsen","","","",""
"Sehr oft","2013","(noch) kein Abschluss","Bremen","","","",""
"Sehr oft","2013","(noch) kein Abschluss","Nordrhein-Westfalen","","","",""
"Sehr oft","2013","(noch) kein Abschluss","Hessen","","","",""
"Sehr oft","2013","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","","","",""
"Sehr oft","2013","(noch) kein Abschluss","Baden-Wuerttemberg","","","",""
"Sehr oft","2013","(noch) kein Abschluss","Bayern","","","",""
"Sehr oft","2013","(noch) kein Abschluss","Berlin","","","",""
"Sehr oft","2013","(noch) kein Abschluss","Brandenburg","","","",""
"Sehr oft","2013","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Sehr oft","2013","(noch) kein Abschluss","Sachsen","","","",""
"Sehr oft","2013","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Sehr oft","2013","(noch) kein Abschluss","Thueringen","","","",""
"Sehr oft","2013","Hauptschule","Schleswig-Holstein","","","",""
"Sehr oft","2013","Hauptschule","Hamburg","","","",""
"Sehr oft","2013","Hauptschule","Niedersachsen","","","",""
"Sehr oft","2013","Hauptschule","Bremen","","","",""
"Sehr oft","2013","Hauptschule","Nordrhein-Westfalen","","","",""
"Sehr oft","2013","Hauptschule","Hessen","","","",""
"Sehr oft","2013","Hauptschule","Rheinland-Pfalz,Saarland","","","",""
"Sehr oft","2013","Hauptschule","Baden-Wuerttemberg","","","",""
"Sehr oft","2013","Hauptschule","Bayern","","","",""
"Sehr oft","2013","Hauptschule","Berlin","","","",""
"Sehr oft","2013","Hauptschule","Brandenburg","","","",""
"Sehr oft","2013","Hauptschule","Mecklenburg-Vorpommern","","","",""
"Sehr oft","2013","Hauptschule","Sachsen","","","",""
"Sehr oft","2013","Hauptschule","Sachsen-Anhalt","","","",""
"Sehr oft","2013","Hauptschule","Thueringen","","","",""
"Sehr oft","2013","Realschule","Schleswig-Holstein","","","",""
"Sehr oft","2013","Realschule","Hamburg","","","",""
"Sehr oft","2013","Realschule","Niedersachsen","","","",""
"Sehr oft","2013","Realschule","Bremen","","","",""
"Sehr oft","2013","Realschule","Nordrhein-Westfalen","","","",""
"Sehr oft","2013","Realschule","Hessen","","","",""
"Sehr oft","2013","Realschule","Rheinland-Pfalz,Saarland","","","",""
"Sehr oft","2013","Realschule","Baden-Wuerttemberg","","","",""
"Sehr oft","2013","Realschule","Bayern","","","",""
"Sehr oft","2013","Realschule","Berlin","","","",""
"Sehr oft","2013","Realschule","Brandenburg","","","",""
"Sehr oft","2013","Realschule","Mecklenburg-Vorpommern","","","",""
"Sehr oft","2013","Realschule","Sachsen","","","",""
"Sehr oft","2013","Realschule","Sachsen-Anhalt","","","",""
"Sehr oft","2013","Realschule","Thueringen","","","",""
"Sehr oft","2013","(Fach-)Abitur","Schleswig-Holstein","","","",""
"Sehr oft","2013","(Fach-)Abitur","Hamburg","","","",""
"Sehr oft","2013","(Fach-)Abitur","Niedersachsen","","","",""
"Sehr oft","2013","(Fach-)Abitur","Bremen","","","",""
"Sehr oft","2013","(Fach-)Abitur","Nordrhein-Westfalen","","","",""
"Sehr oft","2013","(Fach-)Abitur","Hessen","","","",""
"Sehr oft","2013","(Fach-)Abitur","Rheinland-Pfalz,Saarland","","","",""
"Sehr oft","2013","(Fach-)Abitur","Baden-Wuerttemberg","","","",""
"Sehr oft","2013","(Fach-)Abitur","Bayern","","","",""
"Sehr oft","2013","(Fach-)Abitur","Berlin","","","",""
"Sehr oft","2013","(Fach-)Abitur","Brandenburg","","","",""
"Sehr oft","2013","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"Sehr oft","2013","(Fach-)Abitur","Sachsen","","","",""
"Sehr oft","2013","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"Sehr oft","2013","(Fach-)Abitur","Thueringen","","","",""
