year,quintil_oecd,sex,plj0589,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2013,1st Quintile,male,Very often,0.03147,45,25329,0.03131,0.03163
2013,1st Quintile,male,Often,0.08540,136,25329,0.08514,0.08566
2013,1st Quintile,male,Sometimes,0.17727,325,25329,0.17692,0.17762
2013,1st Quintile,male,Seldom,0.27946,582,25329,0.27905,0.27987
2013,1st Quintile,male,Never,0.42641,885,25329,0.42595,0.42686
2013,1st Quintile,female,Very often,0.02762,101,25329,0.02749,0.02775
2013,1st Quintile,female,Often,0.09247,266,25329,0.09224,0.09270
2013,1st Quintile,female,Sometimes,0.16706,525,25329,0.16676,0.16735
2013,1st Quintile,female,Seldom,0.24809,845,25329,0.24774,0.24843
2013,1st Quintile,female,Never,0.46477,1405,25329,0.46437,0.46517
2013,2nd Quintile,male,Often,0.03076,69,25329,0.03061,0.03091
2013,2nd Quintile,male,Sometimes,0.11477,232,25329,0.11449,0.11504
2013,2nd Quintile,male,Seldom,0.31262,684,25329,0.31222,0.31302
2013,2nd Quintile,male,Never,0.54185,1239,25329,0.54142,0.54228
2013,2nd Quintile,female,Very often,0.01379,42,25329,0.01369,0.01388
2013,2nd Quintile,female,Often,0.05208,126,25329,0.05190,0.05225
2013,2nd Quintile,female,Sometimes,0.11428,345,25329,0.11403,0.11453
2013,2nd Quintile,female,Seldom,0.26441,778,25329,0.26406,0.26475
2013,2nd Quintile,female,Never,0.55546,1601,25329,0.55507,0.55585
2013,3rd Quintile,male,Often,0.03648,69,25329,0.03633,0.03664
2013,3rd Quintile,male,Sometimes,0.08637,180,25329,0.08614,0.08660
2013,3rd Quintile,male,Seldom,0.31875,680,25329,0.31837,0.31913
2013,3rd Quintile,male,Never,0.55840,1309,25329,0.55799,0.55880
2013,3rd Quintile,female,Often,0.03857,78,25329,0.03842,0.03872
2013,3rd Quintile,female,Sometimes,0.11261,268,25329,0.11236,0.11286
2013,3rd Quintile,female,Seldom,0.27369,679,25329,0.27334,0.27404
2013,3rd Quintile,female,Never,0.57513,1590,25329,0.57474,0.57552
2013,4th Quintile,male,Often,0.01981,38,25329,0.01970,0.01991
2013,4th Quintile,male,Sometimes,0.06512,138,25329,0.06493,0.06531
2013,4th Quintile,male,Seldom,0.29677,654,25329,0.29642,0.29713
2013,4th Quintile,male,Never,0.61830,1470,25329,0.61793,0.61868
2013,4th Quintile,female,Often,0.03287,63,25329,0.03273,0.03301
